combo,odds,combo_prob,stake,date,race_code,venue,race,actual,hit,payout100,return
3-1-5,24.9,0.022281230808838644,900,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-1-4,23.2,0.01795539930064994,800,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-1-2,64.9,0.017118875520673784,700,2026-08-05,202608051709,17,09R,3-1-2,1,4900,34300
3-1-6,180.2,0.011230400843213523,500,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-4-1,26.0,0.009531354682874423,500,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-2-4,30.1,0.009517773492995185,500,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-2-1,88.7,0.008186327783468622,400,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-6-1,267.6,0.005107875991079616,300,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-6-4,241.9,0.0035794486291441485,200,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-6-2,327.0,0.003066840827378311,200,2026-08-05,202608051709,17,09R,3-1-2,0,0,0
3-1-5,11.0,0.021860516934044238,1400,2026-08-06,202608061209,12,09R,5-3-4,0,0,0
3-1-4,24.9,0.017507318959411235,1100,2026-08-06,202608061209,12,09R,5-3-4,0,0,0
3-1-2,38.6,0.016725999754291596,1100,2026-08-06,202608061209,12,09R,5-3-4,0,0,0
3-4-1,43.0,0.009258885904442966,700,2026-08-06,202608061209,12,09R,5-3-4,0,0,0
3-2-4,87.4,0.009229658085300019,700,2026-08-06,202608061209,12,09R,5-3-4,0,0,0
3-1-5,34.4,0.021285578470388648,1100,2026-08-06,202608061407,14,07R,3-6-1,0,0,0
3-1-4,20.5,0.01722135433700469,900,2026-08-06,202608061407,14,07R,3-6-1,0,0,0
3-1-2,20.7,0.016489356521632782,900,2026-08-06,202608061407,14,07R,3-6-1,0,0,0
3-4-1,47.7,0.009084678289105759,600,2026-08-06,202608061407,14,07R,3-6-1,0,0,0
3-2-4,80.7,0.009052594316688273,500,2026-08-06,202608061407,14,07R,3-6-1,0,0,0
3-4-2,76.3,0.008811857373969062,500,2026-08-06,202608061407,14,07R,3-6-1,0,0,0
3-2-1,52.4,0.007860584316085413,500,2026-08-06,202608061407,14,07R,3-6-1,0,0,0
3-1-5,15.6,0.015773250457778734,1400,2026-08-06,202608061703,17,03R,3-5-4,0,0,0
3-1-4,29.3,0.012662904912912547,1100,2026-08-06,202608061703,17,03R,3-5-4,0,0,0
3-1-2,56.3,0.012096104000898751,1100,2026-08-06,202608061703,17,03R,3-5-4,0,0,0
3-1-6,12.9,0.00805021318386647,800,2026-08-06,202608061703,17,03R,3-5-4,0,0,0
3-2-1,154.3,0.005774005245856058,600,2026-08-06,202608061703,17,03R,3-5-4,0,0,0
3-1-5,143.1,0.02309468320311512,800,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-1-4,34.4,0.01874309849360187,600,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-1-2,37.7,0.017930895775476362,600,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-1-6,250.1,0.01168326030968381,400,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-2-4,19.1,0.010161329800587702,400,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-4-1,34.0,0.010003617025276348,400,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-2-1,40.4,0.0086470702559763,400,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-4-6,91.4,0.007757421231358056,300,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-5-2,151.3,0.0071978393930763225,300,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
3-5-1,293.3,0.006910940067061294,300,2026-08-07,202608071406,14,06R,3-2-5,0,0,0
