combo,odds,pair_prob,combo_prob,market_share,train_pair_count,ev,stake,date,race_code,venue,race,score3,tickets,composite_odds,actual_combo,hit,payout100,return
3-1-5,96.5,0.133193575217297,0.017999782070291247,0.030223970916191934,87,1.7369789697831053,600,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-1-4,111.5,0.10718971561355972,0.01448562003139332,0.026157965860201988,70,1.615146633500355,500,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-1-2,42.1,0.10313622257247558,0.013937830911355632,0.06927822312143757,67,0.5867826813680721,500,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-1-6,93.8,0.06755534604318593,0.00912943063865251,0.031093957285847778,44,0.8563405939056055,400,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-2-4,45.0,0.05728016643078203,0.007740842687209403,0.06481362652027826,37,0.3483379209244231,300,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-4-1,169.7,0.05669846568526678,0.007662231638348236,0.01718687798121698,37,1.3002807090276955,300,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-4-2,102.9,0.05530802017147457,0.007474326807442971,0.02834415153948029,36,0.7691082284858818,300,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-2-1,33.7,0.04991201692288492,0.006745110834624906,0.08654638556120241,32,0.22731023512685936,300,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-4-6,124.5,0.044560935719026334,0.006021965627712718,0.023426611995281295,29,0.7497347206502334,300,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-5-2,62.1,0.04179500941715038,0.005648178299194575,0.04696639602918714,27,0.3507518723799831,300,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-5-1,124.5,0.03998078304727061,0.005403003716030667,0.023426611995281295,26,0.672673962645818,200,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-4-5,160.5,0.03533645245580176,0.004775368799162921,0.018172044818769603,23,0.7664466922656489,200,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-5-4,175.3,0.033790996508034646,0.004566515855515599,0.016637839095336688,22,0.8005102294718844,200,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-6-1,106.2,0.030869781997776055,0.004171742875817109,0.027463401067914513,20,0.443039093411777,200,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-6-4,112.4,0.02169097424067942,0.0029313186359594596,0.025948515955627412,14,0.3294802146818433,200,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-5-6,89.1,0.02024713471521492,0.0027361981373886044,0.032734154808221345,13,0.24379525404132463,200,2026-08-03,202608030102,01,02R,60.19,16,5.13,2-3-5,0,0,0
3-1-5,34.3,0.1341784729126247,0.018157540566016515,0.11086246972114629,87,0.6228036414143664,800,2026-08-03,202608030411,04,11R,60.4,11,5.07,1-3-4,0,0,0
3-1-4,22.3,0.10895290875236932,0.014743921416849753,0.17051940410023844,70,0.3287894475957495,700,2026-08-03,202608030411,04,11R,60.4,11,5.07,1-3-4,0,0,0
3-1-2,56.3,0.10311500987597745,0.013953914768485117,0.06754143359565395,67,0.785605401465712,600,2026-08-03,202608030411,04,11R,60.4,11,5.07,1-3-4,0,0,0
