actual_combo,combo,combo_prob,composite_odds,date,ev,head,hit,market_share,model,odds,pair_prob,payout100,race,race_code,return,score,stake,tickets,train_pair_count,venue
5-4-6,4-1-5,0.00869516538261191,5.72,2026-08-03,0.62779094062458,4,0,0.07928923213096165,4カド攻め,72.2,0.10595711079966817,0,07R,202608031707,0,53.18,400,20,48,17
5-4-6,4-5-1,0.006540359235538598,5.72,2026-08-03,0.5147262718368877,4,0,0.07274056619892542,4カド攻め,78.7,0.07969918198168062,0,07R,202608031707,0,53.18,300,20,36,17
5-4-6,4-1-2,0.006218234116020909,5.72,2026-08-03,0.36501034261042736,4,0,0.09752440476755418,4カド攻め,58.7,0.07577384583472863,0,07R,202608031707,0,53.18,300,20,34,17
5-4-6,4-5-2,0.005365562428240337,5.72,2026-08-03,0.24305997799928727,4,0,0.12637268344051725,4カド攻め,45.3,0.0653834018900308,0,07R,202608031707,0,53.18,300,20,29,17
5-4-6,4-5-6,0.005235955324952409,5.72,2026-08-03,0.8382764475248807,4,0,0.035756917925393074,4カド攻め,160.1,0.06380404214249051,0,07R,202608031707,0,53.18,300,20,29,17
5-4-6,4-1-3,0.004863453128919682,5.72,2026-08-03,1.09962675244874,4,0,0.025319250596441537,4カド攻め,226.1,0.059264823539807256,0,07R,202608031707,0,53.18,300,20,27,17
5-4-6,4-1-6,0.004696617095862243,5.72,2026-08-03,0.7984249062965812,4,0,0.03367460329326724,4カド攻め,170.0,0.05723180136458854,0,07R,202608031707,0,53.18,300,20,26,17
5-4-6,4-6-2,0.00431388566006107,5.72,2026-08-03,1.5353119064157348,4,0,0.016085087271299328,4カド攻め,355.9,0.0525679318042928,0,07R,202608031707,0,53.18,300,20,24,17
5-4-6,4-3-5,0.003954606658841376,5.72,2026-08-03,1.5201507996586248,4,0,0.014892514463723805,4カド攻め,384.4,0.04818984774664442,0,07R,202608031707,0,53.18,300,20,22,17
5-4-6,4-2-5,0.0038870625321777395,5.72,2026-08-03,0.10222974459627455,4,0,0.21766853839754488,4カド攻め,26.3,0.04736677191106832,0,07R,202608031707,0,53.18,200,20,20,17
5-4-6,4-6-1,0.003771985176673481,5.72,2026-08-03,1.7683066508245278,4,0,0.012211353583309367,4カド攻め,468.8,0.04596446803631041,0,07R,202608031707,0,53.18,200,20,21,17
5-4-6,4-3-1,0.0034105790796390783,5.72,2026-08-03,2.0483937952312306,4,0,0.009531605993765286,4カド攻め,600.6,0.04156046372102423,0,07R,202608031707,0,53.18,200,20,19,17
5-4-6,4-2-1,0.0033993093184142005,5.72,2026-08-03,0.15364878119232186,4,0,0.12665226902335025,4カド攻め,45.2,0.041423133229165146,0,07R,202608031707,0,53.18,200,20,18,17
5-4-6,4-2-6,0.003111832762975081,5.72,2026-08-03,0.35163710221618416,4,0,0.0506609076093401,4カド攻め,113.0,0.03792001581889918,0,07R,202608031707,0,53.18,200,20,17,17
5-4-6,4-2-3,0.0030713321217504374,5.72,2026-08-03,0.786875289592462,4,0,0.022344584542761243,4カド攻め,256.2,0.0374264851336429,0,07R,202608031707,0,53.18,200,20,17,17
5-4-6,4-5-3,0.0028861496333169798,5.72,2026-08-03,0.9244337275514286,4,0,0.0178728771771946,4カド攻め,320.3,0.035169897641432586,0,07R,202608031707,0,53.18,200,20,16,17
5-4-6,4-6-5,0.002521758269527816,5.72,2026-08-03,1.1015040121297501,4,0,0.01310595824142727,4カド攻め,436.8,0.03072951561205102,0,07R,202608031707,0,53.18,200,20,14,17
5-4-6,4-3-2,0.0025209062076407985,5.72,2026-08-03,1.1535666806164295,4,0,0.012510232866816936,4カド攻め,457.6,0.030719132598985916,0,07R,202608031707,0,53.18,200,20,14,17
5-4-6,4-3-6,0.0021560899657073612,5.72,2026-08-03,1.6576019656358192,4,0,0.0074462572318619025,4カド攻め,768.8,0.02627357311079498,0,07R,202608031707,0,53.18,200,20,12,17
5-4-6,4-6-3,0.0014422219567116342,5.72,2026-08-03,0.9899411510868656,4,0,0.008340155244544626,4カド攻め,686.4,0.017574556082693586,0,07R,202608031707,0,53.18,200,20,8,17
1-3-2,4-1-5,0.011401021349989594,5.01,2026-08-03,0.41955758567961704,4,0,0.10541416152805264,4カド攻め,36.8,0.1064124472597482,0,10R,202608031910,0,59.64,500,15,48,19
1-3-2,4-5-1,0.008493680541864137,5.01,2026-08-03,0.679494443349131,4,0,0.048490514302904214,4カド攻め,80.0,0.0792765231251051,0,10R,202608031910,0,59.64,400,15,36,19
1-3-2,4-1-2,0.008419220512263192,5.01,2026-08-03,0.1262883076839479,4,0,0.25861607628215577,4カド攻め,15.0,0.07858154381319661,0,10R,202608031910,0,59.64,400,15,34,19
1-3-2,4-5-2,0.006850490341611043,5.01,2026-08-03,0.6103786894375439,4,0,0.04353805998016091,4カド攻め,89.1,0.0639396611761248,0,10R,202608031910,0,59.64,400,15,29,19
1-3-2,4-5-6,0.006807557377743784,5.01,2026-08-03,1.2852668329180266,4,0,0.020546828094450936,4カド攻め,188.8,0.06353894253759391,0,10R,202608031910,0,59.64,400,15,29,19
1-3-2,4-1-3,0.006385900276915597,5.01,2026-08-03,0.5536575540085823,4,0,0.044743265792760514,4カド攻め,86.7,0.05960336846697622,0,10R,202608031910,0,59.64,300,15,27,19
