actual_combo,combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,payout100,race,race_code,return,stake,train_pair_count,venue
1-3-6,3-4-2,0.005240318378971136,2026-08-27,1.5244086164427033,0,0.009380403245857087,3まくり,290.9,0.08040084747723643,0,09R,202608270909,0,500,23,09
1-3-6,3-4-6,0.004811852910893119,2026-08-27,0.5576937523725125,0,0.023544083729247857,3まくり,115.9,0.07382701278687799,0,09R,202608270909,0,400,21,09
1-3-6,3-1-5,0.004486423101420101,2026-08-27,0.1296576276310409,0,0.09442073717023622,3まくり,28.9,0.06883402751694039,0,09R,202608270909,0,400,19,09
1-3-6,3-5-2,0.00413624259063188,2026-08-27,0.4231376170216413,0,0.02667408899530622,3まくり,102.3,0.06346129864795279,0,09R,202608270909,0,400,18,09
1-3-6,3-4-1,0.0041272840144279755,2026-08-27,0.5179741438107109,0,0.021743102025655988,3まくり,125.5,0.06332384953381619,0,09R,202608270909,0,400,18,09
1-3-6,3-2-4,0.004113750877967715,2026-08-27,0.7853150426040368,0,0.014294181792665409,3まくり,190.9,0.06311621412662483,0,09R,202608270909,0,400,18,09
1-3-6,3-2-1,0.003981012152307507,2026-08-27,0.1640177006750693,0,0.06623202194708316,3まくり,41.2,0.0610796382424274,0,09R,202608270909,0,400,17,09
1-3-6,3-4-5,0.003654688498762863,2026-08-27,0.8584863283593965,0,0.011616684990293002,3まくり,234.9,0.05607293895443326,0,09R,202608270909,0,400,16,09
1-3-6,3-1-2,0.0035848149161607427,2026-08-27,0.09965785466926864,0,0.0981568095043103,3まくり,27.8,0.05500088667607834,0,09R,202608270909,0,400,15,09
1-3-6,3-5-1,0.003484679821877221,2026-08-27,0.22092870070701578,0,0.04304036757444521,3まくり,63.4,0.05346453986270231,0,09R,202608270909,0,400,15,09
1-3-6,3-1-4,0.003253823723758712,2026-08-27,0.2167046600023302,0,0.04097236192522262,3まくり,66.6,0.049922574548438264,0,09R,202608270909,0,300,14,09
1-3-6,3-6-1,0.0030927280794034577,2026-08-27,0.10917330120294205,0,0.07730196329234637,3まくり,35.3,0.04745092580605843,0,09R,202608270909,0,300,13,09
1-3-6,3-5-4,0.0025183816189103068,2026-08-27,0.615240629499788,0,0.011169706525664454,3まくり,244.3,0.038638876836952316,0,09R,202608270909,0,300,11,09
1-4-3,3-4-2,0.0032326245454717697,2026-08-28,0.15387292836445624,0,0.05579679613985083,3まくり,47.6,0.08169468421295752,0,06R,202608280506,0,700,23,05
1-4-3,3-4-6,0.0030238198591652473,2026-08-28,0.06894309278896764,0,0.11648804808144296,3まくり,22.8,0.07641778531237471,0,06R,202608280506,0,600,21,05
1-4-3,3-1-5,0.002706516320640751,2026-08-28,0.09120960000559332,0,0.07881090493343915,3まくり,33.7,0.06839891024204708,0,06R,202608280506,0,600,19,05
1-4-3,3-4-1,0.0026079852791077145,2026-08-28,0.06050525847529897,0,0.11447963345934913,3まくり,23.2,0.06590883995705503,0,06R,202608280506,0,600,18,05
