actual_combo,combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,payout100,race_code,return,stake,train_pair_count
1-4-5,5-1-2,0.002749929259875726,2026-08-27,0.29066752276886426,0,0.12345932829401339,5頭展開,105.7,0.10085363390608934,0,202608270412,0,400,33
1-4-5,5-1-4,0.0027256607494493446,2026-08-27,0.4137553017664105,0,0.08596608037336768,5頭展開,151.8,0.09996358647770605,0,202608270412,0,400,33
1-4-5,5-1-6,0.002633751780494554,2026-08-27,0.4983058368695696,0,0.06897278541584152,5頭展開,189.2,0.09659282576654817,0,202608270412,0,400,32
1-4-5,5-1-3,0.0021802988301192726,2026-08-27,0.24026893107914385,0,0.11841788566857728,5頭展開,110.2,0.07996244238975851,0,202608270412,0,300,26
1-4-5,5-2-1,0.0019875132005864426,2026-08-27,0.36749119078843323,0,0.07057680368132621,5頭展開,184.9,0.07289203094792467,0,202608270412,0,300,24
1-4-5,5-4-1,0.0014222336638311048,2026-08-27,0.2568553996878975,0,0.07225720376897683,5頭展開,180.6,0.0521604083980766,0,202608270412,0,300,17
1-4-5,5-2-4,0.0013961406963837173,2026-08-27,0.5703234744727486,0,0.031945290087337125,5頭展開,408.5,0.0512034490228448,0,202608270412,0,300,17
1-4-5,5-2-3,0.0012364361024243507,2026-08-27,0.4582232195584644,0,0.03521222612163307,5頭展開,370.6,0.045346284299623334,0,202608270412,0,200,15
1-4-5,5-3-2,0.001234321490444657,2026-08-27,0.5042203288466424,0,0.031945290087337125,5頭展開,408.5,0.04526873092195459,0,202608270412,0,200,15
1-4-5,5-3-6,0.0012279001401561955,2026-08-27,0.7275308330425458,0,0.02202472742730332,5頭展開,592.5,0.04503322795079652,0,202608270412,0,200,15
1-4-5,5-4-6,0.0011535700031196636,2026-08-27,0.4676572792647116,0,0.032189568329248186,5頭展開,405.4,0.04230717076152518,0,202608270412,0,200,14
1-4-5,5-2-6,0.0011485582269815272,2026-08-27,0.6131003815627392,0,0.024446704759605125,5頭展開,533.8,0.042123363911207246,0,202608270412,0,200,14
1-4-5,5-3-1,0.0010230877906117922,2026-08-27,0.16563791330004915,0,0.08060315627348495,5頭展開,161.9,0.03752173664744178,0,202608270412,0,200,12
1-4-5,5-4-3,0.0009187555872286372,2026-08-27,0.2699303915277736,0,0.044416783528513325,5頭展開,293.8,0.0336953539116561,0,202608270412,0,200,11
1-4-5,5-6-1,0.0009099037166479793,2026-08-27,0.38625412771706724,0,0.03074122732786152,5頭展開,424.5,0.033370711627961104,0,202608270412,0,200,11
1-4-5,5-3-4,0.0008304801731151652,2026-08-27,0.32803966838049026,0,0.033037091140954974,5頭展開,395.0,0.030457853795630978,0,202608270412,0,200,10
1-4-5,5-4-2,0.0007556823142610774,2026-08-27,0.23214560694100295,0,0.04247933268449615,5頭展開,307.2,0.027714642912391597,0,202608270412,0,200,9
1-4-5,5-6-2,0.0006599653270623044,2026-08-27,0.4393389182253761,0,0.019602900707041033,5頭展開,665.7,0.02420422316218495,0,202608270412,0,200,8
1-4-5,5-6-3,0.0006583211969921805,2026-08-27,0.5034840514596196,0,0.01706282819126205,5頭展開,764.8,0.024143924704837085,0,202608270412,0,200,8
1-4-5,5-6-4,0.000414025950945997,2026-08-27,0.36897992748307257,0,0.014642786131819139,5頭展開,891.2,0.015184398483841404,0,202608270412,0,200,5
1-2-5,3-4-6,0.0029023612893497295,2026-08-27,0.35466854955853694,0,0.031285286989214234,3まくり,122.2,0.07674139967061301,0,202608270809,0,500,24
1-2-5,3-4-2,0.0028904829611051644,2026-08-27,0.5853227996237957,0,0.018879318864602368,3まくり,202.5,0.07642732452821778,0,202608270809,0,500,24
1-2-5,3-1-5,0.0027449801460433278,2026-08-27,0.08976085077561682,0,0.11691321315235409,3まくり,32.7,0.07258008134562922,0,202608270809,0,400,22
1-2-5,3-4-1,0.0027069881299387434,2026-08-27,0.1339959124319678,0,0.07723357717337333,3まくり,49.5,0.0715755335993259,0,202608270809,0,400,22
1-2-5,3-2-4,0.0025357713479363256,2026-08-27,0.414091461118002,0,0.023411280282192158,3まくり,163.3,0.06704838684258714,0,202608270809,0,400,21
1-2-5,3-4-5,0.002298278293140648,2026-08-27,0.3463505387762956,0,0.025368693232129924,3まくり,150.7,0.060768827676762775,0,202608270809,0,400,19
1-2-5,3-5-2,0.0021684271070802298,2026-08-27,0.5620563061551955,0,0.0147494678629706,3まくり,259.2,0.057335429566151154,0,202608270809,0,400,18
1-2-5,3-1-4,0.002071367772878381,2026-08-27,0.048470005885354106,0,0.16337872094367434,3まくり,23.4,0.05476908154287783,0,202608270809,0,400,16
1-2-5,3-1-2,0.0020279149843124887,2026-08-27,0.06570444549172463,0,0.1179957429037648,3まくり,32.4,0.05362014538996873,0,202608270809,0,400,16
1-2-5,3-5-1,0.001961449333898739,2026-08-27,0.15436606257783078,0,0.04857766289811918,3まくり,78.7,0.05186272564299036,0,202608270809,0,300,16
1-2-5,3-2-1,0.001838016542822366,2026-08-27,0.15733421606559453,0,0.04466194007105117,3まくり,85.6,0.048599036457494964,0,202608270809,0,300,15
1-2-5,3-6-1,0.0016203316784294138,2026-08-27,0.0920348393347907,0,0.06730743081130246,3まくり,56.8,0.04284322609648867,0,202608270809,0,300,13
1-2-5,3-5-4,0.0015700090651923648,2026-08-27,0.4069463496978609,0,0.0147494678629706,3まくり,259.2,0.04151264475602458,0,202608270809,0,300,13
1-3-6,3-4-6,0.005704942699451473,2026-08-27,0.6612028588664257,0,0.023544083729247857,3まくり,115.9,0.07654541984124678,0,202608270909,0,500,24
1-3-6,3-4-2,0.005678218106280857,2026-08-27,1.651793647117101,0,0.009380403245857087,3まくり,290.9,0.07618684565179384,0,202608270909,0,500,24
1-3-6,3-1-5,0.005366965676476253,2026-08-27,0.1551053080501637,0,0.09442073717023622,3まくり,28.9,0.07201065157393004,0,202608270909,0,400,22
1-3-6,3-4-1,0.005229834636693272,2026-08-27,0.6563442469050056,0,0.021743102025655988,3まくり,125.5,0.07017071144368749,0,202608270909,0,400,22
1-3-6,3-2-4,0.0049799247694617505,2026-08-27,0.9506676384902482,0,0.014294181792665409,3まくり,190.9,0.06681757422259912,0,202608270909,0,400,21
1-3-6,3-4-5,0.004503162863308094,2026-08-27,1.0577929565910713,0,0.011616684990293002,3まくり,234.9,0.060420675569374506,0,202608270909,0,400,19
1-3-6,3-5-2,0.004295718819824285,2026-08-27,0.4394520352680244,0,0.02667408899530622,3まくり,102.3,0.057637318708741926,0,202608270909,0,400,18
1-3-6,3-1-2,0.003958885348191234,2026-08-27,0.1100570126797163,0,0.0981568095043103,3まくり,27.8,0.053117893911501526,0,202608270909,0,400,16
1-3-6,3-5-1,0.0038548894631305146,2026-08-27,0.2443999919624746,0,0.04304036757444521,3まくり,63.4,0.051722540951251776,0,202608270909,0,400,16
1-3-6,3-1-4,0.003850987468185429,2026-08-27,0.2564757653811495,0,0.04097236192522262,3まくり,66.6,0.05167018637785374,0,202608270909,0,300,16
1-3-6,3-2-1,0.003662793445329551,2026-08-27,0.1509070899475775,0,0.06623202194708316,3まくり,41.2,0.04914511447967299,0,202608270909,0,300,15
1-3-6,3-6-1,0.0032119707498255968,2026-08-27,0.11338256746884355,0,0.07730196329234637,3まくり,35.3,0.04309625223524927,0,202608270909,0,300,13
1-3-6,3-5-4,0.0030871897891412096,2026-08-27,0.7542004654871975,0,0.011169706525664454,3まくり,244.3,0.041422017886725684,0,202608270909,0,300,13
3-1-6,3-4-6,0.005260212613560948,2026-08-27,0.43344151935742214,0,0.020677483975393703,3まくり,82.4,0.07647284769557959,0,202608270910,0,600,24
3-1-6,3-4-2,0.005233723715906013,2026-08-27,1.6313516822479044,0,0.005466232529908377,3まくり,311.7,0.07608775272227616,0,202608270910,0,600,24
3-1-6,3-1-5,0.005032054657250878,2026-08-27,0.06139106681846071,0,0.1396577606206919,3まくり,12.2,0.07315589267394157,0,202608270910,0,600,22
3-1-6,3-4-1,0.004834152775847093,2026-08-27,0.31663700681798457,0,0.02601259052782353,3まくり,65.5,0.07027879976019807,0,202608270910,0,500,22
3-1-6,3-2-4,0.004583014242607303,2026-08-27,1.1489616706216508,0,0.006796269164628804,3まくり,250.7,0.06662775364973744,0,202608270910,0,500,21
3-1-6,3-4-5,0.004153745734271691,2026-08-27,0.6878602935953919,0,0.010288796374229718,3まくり,165.6,0.06038705813605645,0,202608270910,0,500,19
3-1-6,3-5-2,0.003933623070492846,2026-08-27,0.7544689049205279,0,0.008883340352306783,3まくり,191.8,0.05718692000891916,0,202608270910,0,500,18
3-1-6,3-1-4,0.003653322920836214,2026-08-27,0.06356781882255011,0,0.09792095859611732,3まくり,17.4,0.05311192300243335,0,202608270910,0,400,16
3-1-6,3-2-1,0.0032836720250634913,2026-08-27,0.5253875240101586,0,0.010648904247327758,3まくり,160.0,0.04773794694297032,0,202608270910,0,400,15
3-1-6,3-5-4,0.002851138606242802,2026-08-27,0.3960231524071252,0,0.012266556368412103,3まくり,138.9,0.04144978623717499,0,202608270910,0,400,13
1-5-3,3-4-6,0.005250653309116144,2026-08-27,0.6138013718356773,0,0.029404802448200262,3まくり,116.9,0.07669379246704304,0,202608271412,0,600,24
1-5-3,3-4-2,0.005228031713634889,2026-08-27,1.0989322662060537,0,0.016353098982847813,3まくり,210.2,0.07636336959450248,0,202608271412,0,500,24
1-5-3,3-1-5,0.005099220910200739,2026-08-27,0.09127605429259322,0,0.19203471542986653,3まくり,17.9,0.07448189152987003,0,202608271412,0,500,22
1-5-3,3-4-1,0.00486502043516219,2026-08-27,0.2938472342837963,0,0.05691095043368562,3まくり,60.4,0.07106103671984014,0,202608271412,0,500,22
