combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,race_code,return,stake,train_pair_count
3-4-2,0.007348565650675753,2026-08-03,0.7561674054545351,0,0.02834415153948029,3直まくりv29,102.9,0.07736505372364555,202608030102,0,400,26
3-4-6,0.007057349254719738,2026-08-03,0.8786399822126073,0,0.023426611995281295,3直まくりv29,124.5,0.07429915308543436,202608030102,0,400,25
3-2-4,0.006589733242341465,2026-08-03,0.29653799590536595,0,0.06481362652027826,3直まくりv29,45.0,0.06937613277923961,202608030102,0,400,23
3-1-5,0.006232005375111707,2026-08-03,0.6013885186982797,0,0.030223970916191934,3直まくりv29,96.5,0.06561000521336145,202608030102,0,400,22
3-4-1,0.006202782106016657,2026-08-03,1.0526121233910266,0,0.01718687798121698,3直まくりv29,169.7,0.06530234520309657,202608030102,0,400,22
3-4-5,0.005644603414305169,2026-08-03,0.9059588479959796,0,0.018172044818769603,3直まくりv29,160.5,0.059425888963274796,202608030102,0,300,20
3-2-1,0.0055176742832157375,2026-08-03,0.18594562334437037,0,0.08654638556120241,3直まくりv29,33.7,0.05808959021973339,202608030102,0,300,19
3-1-2,0.00547896686889636,2026-08-03,0.23066450518053677,0,0.06927822312143757,3直まくりv29,42.1,0.05768208196156785,202608030102,0,300,19
3-5-2,0.005428953838355642,2026-08-03,0.33713803336188536,0,0.04696639602918714,3直まくりv29,62.1,0.05715554916883037,202608030102,0,300,19
3-1-4,0.0051021172489098396,2026-08-03,0.5688860732534471,0,0.026157965860201988,3直まくりv29,111.5,0.05371464226218766,202608030102,0,300,18
3-5-1,0.005095994788221211,2026-08-03,0.6344513511335408,0,0.023426611995281295,3直まくりv29,124.5,0.05365018553381195,202608030102,0,300,18
3-1-6,0.003992407529572726,2026-08-03,0.3744878262739217,0,0.031093957285847778,3直まくりv29,93.8,0.0420317158061557,202608030102,0,300,14
3-5-4,0.003960003447308509,2026-08-03,0.6941886043131816,0,0.016637839095336688,3直まくりv29,175.3,0.04169056847422624,202608030102,0,300,14
3-6-1,0.003704075968468459,2026-08-03,0.39337286785135034,0,0.027463401067914513,3直まくりv29,106.2,0.03899618645587999,202608030102,0,200,13
3-5-6,0.002875310130129507,2026-08-03,0.25619013259453904,0,0.032734154808221345,3直まくりv29,89.1,0.030271012502848884,202608030102,0,200,10
3-6-4,0.002860099795190557,2026-08-03,0.3214752169794186,0,0.025948515955627412,3直まくりv29,112.4,0.03011087943258118,202608030102,0,200,10
3-1-5,0.014751341993928769,2026-08-03,1.3999023552238403,1,0.040423412089135725,3まくり差しv29,94.9,0.20161539289108976,202608030105,93600,800,65
3-1-4,0.011895976891726204,2026-08-03,0.5376981555060245,0,0.08487127892165885,3まくり差しv29,45.2,0.16258941429436194,202608030105,0,700,52
3-1-2,0.01095663473389927,2026-08-03,0.6475371127734468,0,0.0649100136592044,3まくり差しv29,59.1,0.14975086453479516,202608030105,0,700,48
3-1-6,0.006942410601340333,2026-08-03,0.28672155783535574,0,0.09288575804501165,3まくり差しv29,41.3,0.09488606809987683,202608030105,0,400,30
3-4-1,0.003521611499522102,2026-08-03,0.18171515337534047,0,0.0743446086678097,3まくり差しv29,51.6,0.048131965646118754,202608030105,0,300,15
3-2-4,0.0032623608670117603,2026-08-03,0.22412419156370794,0,0.05583961873739418,3まくり差しv29,68.7,0.04458863256141714,202608030105,0,300,14
3-2-1,0.003041307729838137,2026-08-03,0.19950978707738176,0,0.05847838120821617,3まくり差しv29,65.6,0.041567367437239905,202608030105,0,300,13
3-2-6,0.0025928183816145644,2026-08-03,0.16516253090884775,0,0.06022263433687567,3まくり差しv29,63.7,0.035437595909552484,202608030105,0,200,11
3-2-5,0.00252937783431677,2026-08-03,0.3864889330836025,0,0.025105901879967148,3まくり差しv29,152.8,0.034570516095801654,202608030105,0,200,11
3-4-2,0.002357775515129531,2026-08-03,0.16410117585301534,0,0.05511755470199685,3まくり差しv29,69.6,0.03222512480745671,202608030105,0,200,10
3-5-1,0.0018442879784351528,2026-08-03,0.33879570163853756,0,0.02088286231496451,3まくり差しv29,183.7,0.025206984254690486,202608030105,0,200,8
3-5-2,0.0018414751447684056,2026-08-03,0.3655328162365285,0,0.019325852933294613,3まくり差しv29,198.5,0.02516853957859987,202608030105,0,200,8
3-5-4,0.0018389010388785863,2026-08-03,0.3940764926316811,0,0.017900988367984042,3まくり差しv29,214.3,0.02513335773748109,202608030105,0,200,8
3-6-1,0.0016978074424481196,2026-08-03,0.10051020059292869,0,0.06480036836586114,3まくり差しv29,59.2,0.0232049473670583,202608030105,0,200,7
