combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,period,race_code,return,stake,train_pair_count
3-1-5,0.04570191086637835,2026-07-19,1.9880331226874581,0,0.05259923607410851,3攻め頭,43.5,0.17916582741686954,validation,202607190209,0,1300,8
3-1-2,0.03091366749666154,2026-07-19,0.8130294551621985,0,0.0869987364723848,3攻め頭,26.3,0.12119127429317188,validation,202607190209,0,1000,5
3-1-6,0.01941567430584019,2026-07-19,0.6154768754951341,0,0.0721787624360795,3攻め頭,31.7,0.07611553403167311,validation,202607190209,0,600,3
3-1-4,0.019357460034211883,2026-07-19,0.6252459591050438,0,0.07083798047132261,3攻め頭,32.3,0.07588731582490597,validation,202607190209,0,600,3
3-4-1,0.018524325763052813,2026-07-19,0.8206276313032396,0,0.0516493627364271,3攻め頭,44.3,0.0726211681253493,validation,202607190209,0,600,3
3-4-6,0.014828282335206897,2026-07-19,0.3707070583801724,0,0.09152267076894881,3攻め頭,25.0,0.058131518428757245,validation,202607190209,0,500,2
3-5-4,0.012038609153302095,2026-07-19,1.0100393079620458,0,0.02727135600981788,3攻め頭,83.9,0.04719512442720305,validation,202607190209,0,400,2
3-1-5,0.051138565173934704,2026-07-19,0.9307218861656116,0,0.08800212366881448,3攻め頭,18.2,0.185191850837245,validation,202607191608,0,2300,8
3-1-2,0.03304864284608264,2026-07-19,0.677497178344694,0,0.07812871467182553,3攻め頭,20.5,0.1196814833483958,validation,202607191608,0,1500,5
3-1-6,0.024005565480106884,2026-07-19,0.28326567266526126,0,0.13573208904851045,3攻め頭,11.8,0.08693312154017198,validation,202607191608,0,1200,3
3-1-5,0.055258268723834096,2026-07-19,0.607840955962175,0,0.18359041641233723,3攻め頭,11.0,0.20146219853827016,validation,202607191904,0,1600,8
3-1-2,0.03140304794142105,2026-07-19,1.3314892327162524,0,0.047629589163578054,3攻め頭,42.4,0.11449014283635371,validation,202607191904,0,1000,5
3-1-4,0.01919427638591518,2026-07-19,1.0729600499726586,0,0.03612691557308961,3攻め頭,55.9,0.06997904945924929,validation,202607191904,0,600,3
3-4-1,0.0185063919971386,2026-07-19,1.7470034045298841,0,0.02139295106499692,3攻め頭,94.4,0.06747114060680799,validation,202607191904,0,600,3
3-1-6,0.018163281034179406,2026-07-19,2.611879812714999,0,0.014043773160888104,3攻め頭,143.8,0.06622021670823627,validation,202607191904,0,600,3
3-5-4,0.01627097149168689,2026-07-19,0.3335549155795813,1,0.09851193075783948,3攻め頭,20.5,0.05932117970346204,validation,202607191904,11880,600,2
4-3-5,0.011539457761759412,2026-07-19,2.4267479672980046,0,0.028371041189792882,4刺され,210.3,0.3251514099629495,validation,202607192001,0,1100,4
4-3-2,0.004120622023086857,2026-07-19,0.3861022835632385,0,0.0636758800663121,4刺され,93.7,0.11610823388696132,validation,202607192001,0,500,1
4-3-6,0.002373496509861607,2026-07-19,0.13030495839140221,0,0.10867814138822302,4刺され,54.9,0.06687885623890648,validation,202607192001,0,300,0
4-6-3,0.0020108789875216393,2026-07-19,0.13030495839140221,0,0.09207453645391116,4刺され,64.8,0.05666125320240688,validation,202607192001,0,300,0
4-1-3,0.001965383987803955,2026-07-19,0.13030495839140221,0,0.08999140214499914,4刺され,66.3,0.05537932439692256,validation,202607192001,0,300,0
4-3-1,0.001965383987803955,2026-07-19,0.13030495839140221,0,0.08999140214499914,4刺され,66.3,0.05537932439692256,validation,202607192001,0,300,0
4-1-6,0.0017373994452186967,2026-07-19,0.13030495839140224,0,0.07955239949617925,4刺され,75.0,0.04895532276687955,validation,202607192001,0,200,0
4-6-1,0.0016027670158844064,2026-07-19,0.13030495839140224,0,0.07338782241344949,4刺され,81.3,0.045161736869815075,validation,202607192001,0,200,0
4-2-3,0.0013447364127079694,2026-07-19,0.13030495839140224,0,0.061573064625525725,4刺され,96.9,0.037891116692631226,validation,202607192001,0,200,0
4-1-2,0.0010576701168133298,2026-07-19,0.13030495839140224,0,0.04842881462835586,4刺され,123.2,0.029802347463603614,validation,202607192001,0,200,0
4-6-2,0.001042439667131218,2026-07-19,0.13030495839140224,0,0.047731439697707545,4刺され,125.0,0.029373193660127726,validation,202607192001,0,200,0
4-1-5,0.0009067846791329314,2026-07-19,0.13030495839140224,0,0.041520041490698975,4刺され,143.7,0.02555079476350707,validation,202607192001,0,200,0
4-2-6,0.0008461360934506639,2026-07-19,0.13030495839140224,0,0.038743051702684696,4刺され,154.0,0.023841877970882896,validation,202607192001,0,200,0
4-2-1,0.0006648212162826645,2026-07-19,0.13030495839140224,0,0.030440969194966545,4刺され,196.0,0.018732904119979417,validation,202607192001,0,200,0
4-5-6,0.000543843732852263,2026-07-19,0.13030495839140221,0,0.024901627555147923,4刺され,239.6,0.015324078495475648,validation,202607192001,0,100,0
4-5-3,0.0004381471364875664,2026-07-19,0.13030495839140224,0,0.02006197028316558,4刺され,297.4,0.012345827866563438,validation,202607192001,0,100,0
4-5-1,0.0003776955315692818,2026-07-19,0.13030495839140221,0,0.017293999890473748,4刺され,345.0,0.01064246147106077,validation,202607192001,0,100,0
4-2-5,0.00031727528218018563,2026-07-19,0.13030495839140224,0,0.014527465211135727,4刺され,410.7,0.008939978591468141,validation,202607192001,0,100,0
4-5-2,0.00031727528218018563,2026-07-19,0.13030495839140224,0,0.014527465211135727,4刺され,410.7,0.008939978591468141,validation,202607192001,0,100,0
4-6-5,0.00031727528218018563,2026-07-19,0.13030495839140224,0,0.014527465211135727,4刺され,410.7,0.008939978591468141,validation,202607192001,0,100,0
3-1-5,0.05273512102721332,2026-07-20,1.381660170912989,0,0.17850192823933816,3攻め頭,26.2,0.20059607289180223,validation,202607200211,0,800,8
3-1-2,0.033109094191264773,2026-07-20,1.3475401335844763,0,0.11490787518109728,3攻め頭,40.7,0.12594176598827186,validation,202607200211,0,500,5
3-1-4,0.020445378004901395,2026-07-20,1.1674310840798696,0,0.08190456251962627,3攻め頭,57.1,0.07777098936504277,validation,202607200211,0,400,3
3-1-6,0.019484135820294013,2026-07-20,1.5080721124907568,0,0.060423133331662264,3攻め頭,77.4,0.07411457588624039,validation,202607200211,0,300,3
3-4-1,0.018734345428914417,2026-07-20,2.006448395436734,0,0.04366713837414248,3攻め頭,107.1,0.07126249163815192,validation,202607200211,0,300,3
3-5-1,0.01578631099047974,2026-07-20,0.7182771500668282,0,0.10278572571144308,3攻め頭,45.5,0.06004863416364988,validation,202607200211,0,300,2
