date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,hit,payout,profit,actual_combo
2026-08-03,202608030111,01,11R,3日目以降,5,5-6-4,64.57,0.0683,0.0023,601.9,1.381,0.03361,100,0,0,-100,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-6-3,64.57,0.0683,0.0015,919.7,1.381,0.02199,100,0,0,-100,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-1,64.57,0.0683,0.00321,429.9,1.381,0.04705,100,0,0,-100,4-1-2
2026-08-03,202608031910,19,10R,初日,5,5-6-4,63.47,0.067,0.00174,742.0,1.294,0.02605,100,0,0,-100,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-4-3,63.47,0.067,0.00208,622.5,1.294,0.03105,100,0,0,-100,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-3-1,63.47,0.067,0.00224,578.4,1.294,0.03342,100,0,0,-100,1-3-2
2026-08-03,202608032110,21,10R,2日目,4,4-6-5,60.69,0.149,0.00401,318.0,1.276,0.02693,100,0,0,-100,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-6-3,60.69,0.149,0.00236,539.8,1.276,0.01587,100,0,0,-100,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-5-2,60.69,0.149,0.00594,214.9,1.276,0.03985,100,0,0,-100,5-1-6
2026-08-03,202608032112,21,12R,2日目,5,5-6-3,61.65,0.065,0.00136,974.0,1.328,0.02098,100,0,0,-100,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-6-1,61.65,0.065,0.00338,393.0,1.328,0.05201,100,0,0,-100,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-4-3,61.65,0.065,0.00252,527.1,1.328,0.03878,100,0,0,-100,1-2-4
2026-08-03,202608032309,23,09R,3日目以降,4,4-5-3,67.59,0.189,0.00612,216.9,1.328,0.03239,100,0,0,-100,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-2,67.59,0.189,0.00358,371.2,1.328,0.01893,100,0,0,-100,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-5,67.59,0.189,0.02012,66.0,1.328,0.10645,100,0,0,-100,4-1-2
2026-08-04,202608040512,05,12R,3日目以降,5,5-6-3,60.14,0.0633,0.00124,2343.0,2.91,0.01962,100,0,0,-100,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-6-2,60.14,0.0633,0.0014,2075.0,2.91,0.02215,100,0,0,-100,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-4-2,60.14,0.0633,0.00192,1513.0,2.91,0.03038,100,0,0,-100,1-6-4
2026-08-04,202608041212,12,12R,初日,5,5-6-3,67.43,0.0658,0.0011,1065.0,1.167,0.01664,100,0,0,-100,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-6-2,67.43,0.0658,0.00141,827.7,1.167,0.02141,100,0,0,-100,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-6-1,67.43,0.0658,0.00206,565.8,1.167,0.03132,100,0,0,-100,1-3-6
2026-08-05,202608051706,17,06R,3日目以降,5,5-6-1,66.9,0.0663,0.00208,681.7,1.419,0.03141,100,0,0,-100,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-4,66.9,0.0663,0.00277,511.3,1.419,0.04188,100,0,0,-100,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-1,66.9,0.0663,0.00428,331.6,1.419,0.06458,100,0,0,-100,1-2-4
2026-08-05,202608051711,17,11R,3日目以降,4,4-3-5,67.78,0.1903,0.00593,244.8,1.451,0.03114,100,0,0,-100,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-5-2,67.78,0.1903,0.01287,112.7,1.451,0.06764,100,0,0,-100,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-5-1,67.78,0.1903,0.0241,60.2,1.451,0.12664,100,0,0,-100,1-4-2
2026-08-05,202608051905,19,05R,3日目以降,5,5-6-4,66.12,0.0672,0.0028,480.1,1.344,0.04166,100,0,0,-100,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-6-2,66.12,0.0672,0.00108,1248.0,1.344,0.01603,100,0,0,-100,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-3-6,66.12,0.0672,0.00187,720.2,1.344,0.02777,100,0,0,-100,5-2-4
2026-08-06,202608060910,09,10R,2日目,4,4-5-6,60.99,0.1505,0.01979,61.0,1.207,0.1315,100,0,0,-100,2-1-4
2026-08-06,202608060910,09,10R,2日目,4,4-6-1,60.99,0.1505,0.00595,202.8,1.207,0.03955,100,0,0,-100,2-1-4
2026-08-06,202608060910,09,10R,2日目,4,4-3-5,60.99,0.1505,0.00224,538.7,1.207,0.01489,100,0,0,-100,2-1-4
2026-08-06,202608061810,18,10R,初日,5,5-6-2,64.65,0.068,0.00235,563.1,1.321,0.03448,100,0,0,-100,1-3-4
2026-08-06,202608061810,18,10R,初日,5,5-4-6,64.65,0.068,0.00283,466.8,1.321,0.04159,100,0,0,-100,1-3-4
2026-08-06,202608061810,18,10R,初日,5,5-4-3,64.65,0.068,0.0025,527.5,1.321,0.03681,100,0,0,-100,1-3-4
2026-08-07,202608070410,04,10R,3日目以降,5,5-2-1,77.0,0.0507,0.00474,251.4,1.192,0.09349,100,0,0,-100,1-4-2
2026-08-07,202608070410,04,10R,3日目以降,5,5-6-4,77.0,0.0507,0.00148,806.9,1.192,0.02913,100,0,0,-100,1-4-2
2026-08-07,202608070410,04,10R,3日目以降,5,5-6-1,77.0,0.0507,0.00136,878.4,1.192,0.02676,100,0,0,-100,1-4-2
2026-08-07,202608071508,15,08R,初日,5,5-6-4,62.61,0.0659,0.00229,532.0,1.22,0.03476,100,0,0,-100,1-3-4
2026-08-07,202608071508,15,08R,初日,5,5-6-2,62.61,0.0659,0.00175,695.8,1.22,0.02658,100,0,0,-100,1-3-4
