actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return_kelly,score,stake_kelly
1-3-4,A,3-4-2,0.011347873710236054,0.037721276084109495,2026-08-03,1.5308281635108436,3,0.3008348308507111,0,0.0039643626849204154,3まくり,134.9,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-4-5,0.01395828939504662,0.04639851494447929,2026-08-03,1.427933005113269,3,0.3008348308507111,0,0.004224412686211936,3まくり,102.3,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-4-6,0.017866723812640532,0.05939047603668895,2026-08-03,1.4186178707236583,3,0.3008348308507111,0,0.005339513657189519,3まくり,79.4,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-5-4,0.010605773422189522,0.03525447300167388,2026-08-03,1.69056028349701,3,0.3008348308507111,0,0.00435959774934981,3まくり,159.4,610,test,202608030411,0,82.21433333333336,100
1-4-5,A,3-4-6,0.0065480446164868445,0.02452467153243135,2026-08-03,1.5695662945718964,3,0.2669982596026915,0,0.002386117698248414,3まくり,239.7,2910,test,202608031301,0,72.24300000000001,100
1-4-5,A,3-6-4,0.002607765629062479,0.009766976132889335,2026-08-03,1.4379219678650508,3,0.2669982596026915,0,0.0007956431102199324,3まくり,551.4,2910,test,202608031301,0,72.24300000000001,100
4-5-6,A,5-1-2,0.017849153907867166,0.17849153907867166,2026-08-03,2.684512747743222,5,0.1,0,0.011275185727866276,5頭展開,150.4,7090,test,202608031304,0,72.271,200
5-4-6,A,5-1-2,0.03196204674863847,0.31962046748638473,2026-08-03,1.4990199925111443,5,0.1,0,0.010871895261680703,5頭展開,46.9,9050,test,202608031707,0,61.86833333333334,200
1-3-6,A,3-4-2,0.005162832321632039,0.02524701012403691,2026-08-04,1.5839569562767095,3,0.2044928209822621,0,0.0019096041735667414,3まくり,306.8,1110,test,202608040503,0,60.089,100
1-3-6,A,3-4-5,0.0054527984360112315,0.026664987112110954,2026-08-04,1.5371438791115661,3,0.2044928209822621,0,0.0019122245607389326,3まくり,281.9,1110,test,202608040503,0,60.089,100
