actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return,score,stake
1-3-4,A,3-2-1,0.010345543174266935,0.034389446012655686,2026-08-03,1.441134164175384,3,0.3008348308507111,0,0.003189690268802488,3まくり,139.3,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-2-4,0.015394111488630758,0.051171307009559894,2026-08-03,1.9596703925026955,3,0.3008348308507111,0,0.0075983403998629885,3まくり,127.3,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-4-1,0.03844721838725839,0.12780175180691683,2026-08-03,1.7032117745555466,3,0.3008348308507111,0,0.016240456687195072,3まくり,44.3,610,test,202608030411,0,82.21433333333336,200
1-3-4,A,3-4-2,0.01995155428963624,0.06632062595018184,2026-08-03,2.6914646736719288,3,0.3008348308507111,0,0.012632297786944949,3まくり,134.9,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-4-5,0.022286256501286707,0.0740813702930105,2026-08-03,2.27988404008163,3,0.3008348308507111,0,0.012634590721437612,3まくり,102.3,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-4-6,0.028244628495254245,0.09388749439479169,2026-08-03,2.242623502523187,3,0.3008348308507111,0,0.015849789572999835,3まくり,79.4,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-5-1,0.014041252782773638,0.046674292145850595,2026-08-03,1.3886799002163128,3,0.3008348308507111,0,0.003970172627337209,3まくり,98.9,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-5-4,0.02089330711177285,0.06945109066224159,2026-08-03,3.3303931536165927,3,0.3008348308507111,0,0.014712077990003741,3まくり,159.4,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-5-6,0.010315179747537435,0.034288515456697,2026-08-03,1.5018901712414505,3,0.3008348308507111,0,0.003470886384795647,3まくり,145.6,610,test,202608030411,0,82.21433333333336,100
1-3-4,A,3-6-4,0.011799760308038573,0.039223384721346274,2026-08-03,1.4230510931494518,3,0.3008348308507111,0,0.0035372164979051153,3まくり,120.6,610,test,202608030411,0,82.21433333333336,100
