date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,composite_odds_race,tickets_race,hit,payout,actual_combo
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-2,64.57,0.0683,0.00793,174.1,1.381,0.11618,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-3,64.57,0.0683,0.0044,314.3,1.381,0.06436,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-4,64.57,0.0683,0.00454,304.6,1.381,0.0664,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-6,64.57,0.0683,0.00364,379.1,1.381,0.05336,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-1,64.57,0.0683,0.00683,202.2,1.381,0.10003,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-3,64.57,0.0683,0.00392,352.2,1.381,0.05743,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-4,64.57,0.0683,0.00364,379.1,1.381,0.05336,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-6,64.57,0.0683,0.00327,422.6,1.381,0.04786,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-1,64.57,0.0683,0.00321,429.9,1.381,0.04705,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-2,64.57,0.0683,0.00298,463.0,1.381,0.04369,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-4,64.57,0.0683,0.00193,717.1,1.381,0.02821,100,28.74,12,0,0,4-1-2
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-6,64.57,0.0683,0.00177,779.0,1.381,0.02597,100,28.74,12,0,0,4-1-2
2026-08-03,202608031910,19,10R,初日,5,5-1-2,63.47,0.067,0.00684,189.3,1.294,0.10211,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-1-3,63.47,0.067,0.0046,281.4,1.294,0.06869,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-1-4,63.47,0.067,0.00706,183.2,1.294,0.10551,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-1-6,63.47,0.067,0.00301,429.6,1.294,0.045,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-2-1,63.47,0.067,0.00601,215.4,1.294,0.08974,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-2-3,63.47,0.067,0.00264,489.7,1.294,0.03947,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-2-4,63.47,0.067,0.00497,260.5,1.294,0.0742,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-2-6,63.47,0.067,0.00224,578.4,1.294,0.03342,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-3-1,63.47,0.067,0.00224,578.4,1.294,0.03342,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-3-2,63.47,0.067,0.00164,789.9,1.294,0.02447,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-3-4,63.47,0.067,0.00196,661.8,1.294,0.02921,100,29.03,12,0,0,1-3-2
2026-08-03,202608031910,19,10R,初日,5,5-3-6,63.47,0.067,0.00137,941.8,1.294,0.02052,100,29.03,12,0,0,1-3-2
2026-08-03,202608032110,21,10R,2日目,4,4-1-2,60.69,0.149,0.02389,53.4,1.276,0.16039,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-1-3,60.69,0.149,0.00473,269.9,1.276,0.03173,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-1-5,60.69,0.149,0.01017,125.4,1.276,0.0683,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-1-6,60.69,0.149,0.01391,91.7,1.276,0.0934,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-2-1,60.69,0.149,0.01512,84.4,1.276,0.10148,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-2-3,60.69,0.149,0.00412,309.5,1.276,0.02767,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-2-5,60.69,0.149,0.00698,182.7,1.276,0.04688,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-2-6,60.69,0.149,0.01342,95.1,1.276,0.09006,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-3-1,60.69,0.149,0.0028,455.2,1.276,0.01881,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-3-2,60.69,0.149,0.00275,464.3,1.276,0.01845,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-3-5,60.69,0.149,0.00198,644.8,1.276,0.01328,100,12.47,12,0,0,5-1-6
2026-08-03,202608032110,21,10R,2日目,4,4-3-6,60.69,0.149,0.00242,527.6,1.276,0.01623,100,12.47,12,0,0,5-1-6
2026-08-03,202608032112,21,12R,2日目,5,5-1-2,61.65,0.065,0.00418,317.7,1.328,0.06433,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-1-3,61.65,0.065,0.00314,422.7,1.328,0.04835,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-1-4,61.65,0.065,0.0075,177.1,1.328,0.11541,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-1-6,61.65,0.065,0.0048,276.5,1.328,0.07392,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-2-1,61.65,0.065,0.00258,515.0,1.328,0.03969,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-2-3,61.65,0.065,0.00225,589.5,1.328,0.03467,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-2-4,61.65,0.065,0.00323,411.0,1.328,0.04973,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-2-6,61.65,0.065,0.00258,515.0,1.328,0.03969,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-3-1,61.65,0.065,0.00213,622.3,1.328,0.03284,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-3-2,61.65,0.065,0.00184,722.6,1.328,0.02829,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-3-4,61.65,0.065,0.00172,772.5,1.328,0.02646,100,35.76,12,0,0,1-2-4
2026-08-03,202608032112,21,12R,2日目,5,5-3-6,61.65,0.065,0.00119,1120.0,1.328,0.01825,100,35.76,12,0,0,1-2-4
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-2,67.59,0.189,0.01598,83.1,1.328,0.08454,100,11.69,12,1,7540,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-3,67.59,0.189,0.00811,163.7,1.328,0.04292,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-5,67.59,0.189,0.02012,66.0,1.328,0.10645,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-6,67.59,0.189,0.01137,116.8,1.328,0.06015,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-1,67.59,0.189,0.01288,103.1,1.328,0.06814,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-3,67.59,0.189,0.00652,203.7,1.328,0.03449,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-5,67.59,0.189,0.01201,110.6,1.328,0.06352,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-6,67.59,0.189,0.01018,130.5,1.328,0.05384,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-1,67.59,0.189,0.00477,278.4,1.328,0.02524,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-2,67.59,0.189,0.00358,371.2,1.328,0.01893,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-5,67.59,0.189,0.00429,309.3,1.328,0.02271,100,11.69,12,0,0,4-1-2
2026-08-03,202608032309,23,09R,3日目以降,4,4-3-6,67.59,0.189,0.00382,348.0,1.328,0.02019,100,11.69,12,0,0,4-1-2
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-2,60.14,0.0633,0.00813,357.8,2.91,0.12848,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-3,60.14,0.0633,0.00749,388.4,2.91,0.11835,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-4,60.14,0.0633,0.00497,585.8,2.91,0.07847,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-1-6,60.14,0.0633,0.00349,835.0,2.91,0.05505,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-1,60.14,0.0633,0.00477,610.4,2.91,0.07531,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-3,60.14,0.0633,0.00409,712.2,2.91,0.06454,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-4,60.14,0.0633,0.00192,1513.0,2.91,0.03038,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-2-6,60.14,0.0633,0.00208,1397.0,2.91,0.03291,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-1,60.14,0.0633,0.00481,605.3,2.91,0.07594,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-2,60.14,0.0633,0.00228,1274.0,2.91,0.03608,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-4,60.14,0.0633,0.00168,1729.0,2.91,0.02659,100,61.04,12,0,0,1-6-4
2026-08-04,202608040512,05,12R,3日目以降,5,5-3-6,60.14,0.0633,0.00196,1482.0,2.91,0.03102,100,61.04,12,0,0,1-6-4
2026-08-04,202608041212,12,12R,初日,5,5-1-2,67.43,0.0658,0.00891,131.0,1.167,0.13526,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-1-3,67.43,0.0658,0.00787,148.2,1.167,0.11956,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-1-4,67.43,0.0658,0.00658,177.2,1.167,0.1,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-1-6,67.43,0.0658,0.00515,226.7,1.167,0.07816,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-2-1,67.43,0.0658,0.00402,290.3,1.167,0.06104,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-2-3,67.43,0.0658,0.00221,527.3,1.167,0.0336,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-2-4,67.43,0.0658,0.00219,531.7,1.167,0.03333,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-2-6,67.43,0.0658,0.00179,650.8,1.167,0.02723,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-3-1,67.43,0.0658,0.00433,269.5,1.167,0.06575,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-3-2,67.43,0.0658,0.00201,581.3,1.167,0.03048,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-3-4,67.43,0.0658,0.00212,551.2,1.167,0.03215,100,23.94,12,0,0,1-3-6
2026-08-04,202608041212,12,12R,初日,5,5-3-6,67.43,0.0658,0.00156,750.0,1.167,0.02363,100,23.94,12,0,0,1-3-6
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-2,66.9,0.0663,0.00555,255.6,1.419,0.08378,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-3,66.9,0.0663,0.00335,423.1,1.419,0.05061,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-4,66.9,0.0663,0.00555,255.6,1.419,0.08378,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-1-6,66.9,0.0663,0.0022,645.9,1.419,0.03315,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-1,66.9,0.0663,0.00428,331.6,1.419,0.06458,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-3,66.9,0.0663,0.00671,211.5,1.419,0.10125,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-4,66.9,0.0663,0.00277,511.3,1.419,0.04188,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-2-6,66.9,0.0663,0.0022,645.9,1.419,0.03315,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-1,66.9,0.0663,0.00312,454.5,1.419,0.04711,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-2,66.9,0.0663,0.00462,306.8,1.419,0.0698,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-4,66.9,0.0663,0.00301,472.0,1.419,0.04537,100,31.14,12,0,0,1-2-4
2026-08-05,202608051706,17,06R,3日目以降,5,5-3-6,66.9,0.0663,0.0022,645.9,1.419,0.03315,100,31.14,12,0,0,1-2-4
2026-08-05,202608051711,17,11R,3日目以降,4,4-1-2,67.78,0.1903,0.04019,36.1,1.451,0.21118,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-1-3,67.78,0.1903,0.01084,133.8,1.451,0.05698,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-1-5,67.78,0.1903,0.03217,45.1,1.451,0.16903,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-2-1,67.78,0.1903,0.02764,52.5,1.451,0.14521,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-2-3,67.78,0.1903,0.00716,202.7,1.451,0.03761,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-2-5,67.78,0.1903,0.01323,109.7,1.451,0.06949,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-3-1,67.78,0.1903,0.0047,308.8,1.451,0.02469,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-3-2,67.78,0.1903,0.00477,304.1,1.451,0.02507,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-3-5,67.78,0.1903,0.00593,244.8,1.451,0.03114,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-5-1,67.78,0.1903,0.0241,60.2,1.451,0.12664,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-5-2,67.78,0.1903,0.01287,112.7,1.451,0.06764,100,7.62,12,0,0,1-4-2
2026-08-05,202608051711,17,11R,3日目以降,4,4-5-3,67.78,0.1903,0.00672,215.8,1.451,0.03533,100,7.62,12,0,0,1-4-2
2026-08-05,202608051905,19,05R,3日目以降,5,5-1-2,66.12,0.0672,0.0033,407.0,1.344,0.04914,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-1-3,66.12,0.0672,0.00545,246.3,1.344,0.0812,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-1-4,66.12,0.0672,0.00919,146.2,1.344,0.1368,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-1-6,66.12,0.0672,0.00301,445.8,1.344,0.04486,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-2-1,66.12,0.0672,0.00194,693.5,1.344,0.02884,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-2-3,66.12,0.0672,0.00266,506.0,1.344,0.03953,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-2-4,66.12,0.0672,0.00301,445.8,1.344,0.04486,100,33.25,12,1,145330,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-2-6,66.12,0.0672,0.00201,668.7,1.344,0.02991,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-3-1,66.12,0.0672,0.00373,360.1,1.344,0.05554,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-3-2,66.12,0.0672,0.00187,720.2,1.344,0.02777,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-3-4,66.12,0.0672,0.00237,567.4,1.344,0.03525,100,33.25,12,0,0,5-2-4
2026-08-05,202608051905,19,05R,3日目以降,5,5-3-6,66.12,0.0672,0.00187,720.2,1.344,0.02777,100,33.25,12,0,0,5-2-4
2026-08-06,202608060910,09,10R,2日目,4,4-1-2,60.99,0.1505,0.01593,75.8,1.207,0.10582,100,15.22,12,0,0,2-1-4
