date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,composite_odds_race,tickets_race,hit,payout,actual_combo,stake_v8,return_v8,profit_v8
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-2,64.57,0.0683,0.00793,174.1,1.381,0.11618,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-3,64.57,0.0683,0.0044,314.3,1.381,0.06436,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-4,64.57,0.0683,0.00454,304.6,1.381,0.0664,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-1-6,64.57,0.0683,0.00364,379.1,1.381,0.05336,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-1,64.57,0.0683,0.00683,202.2,1.381,0.10003,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-3,64.57,0.0683,0.00392,352.2,1.381,0.05743,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-4,64.57,0.0683,0.00364,379.1,1.381,0.05336,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-2-6,64.57,0.0683,0.00327,422.6,1.381,0.04786,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-1,64.57,0.0683,0.00321,429.9,1.381,0.04705,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-2,64.57,0.0683,0.00298,463.0,1.381,0.04369,100,20.23,20,0,0,4-1-2,300,0,-300
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-4,64.57,0.0683,0.00193,717.1,1.381,0.02821,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-3-6,64.57,0.0683,0.00177,779.0,1.381,0.02597,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-4-1,64.57,0.0683,0.00371,372.7,1.381,0.05427,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-4-2,64.57,0.0683,0.00328,420.8,1.381,0.04807,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-4-3,64.57,0.0683,0.00221,624.7,1.381,0.03238,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-4-6,64.57,0.0683,0.00287,482.1,1.381,0.04196,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-6-1,64.57,0.0683,0.00229,603.8,1.381,0.0335,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-6-2,64.57,0.0683,0.00207,666.6,1.381,0.03034,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-6-3,64.57,0.0683,0.0015,919.7,1.381,0.02199,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608030111,01,11R,3日目以降,5,5-6-4,64.57,0.0683,0.0023,601.9,1.381,0.03361,100,20.23,20,0,0,4-1-2,200,0,-200
2026-08-03,202608031910,19,10R,初日,5,5-1-2,63.47,0.067,0.00684,189.3,1.294,0.10211,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-1-3,63.47,0.067,0.0046,281.4,1.294,0.06869,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-1-4,63.47,0.067,0.00706,183.2,1.294,0.10551,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-1-6,63.47,0.067,0.00301,429.6,1.294,0.045,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-2-1,63.47,0.067,0.00601,215.4,1.294,0.08974,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-2-3,63.47,0.067,0.00264,489.7,1.294,0.03947,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-2-4,63.47,0.067,0.00497,260.5,1.294,0.0742,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-2-6,63.47,0.067,0.00224,578.4,1.294,0.03342,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-3-1,63.47,0.067,0.00224,578.4,1.294,0.03342,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-3-2,63.47,0.067,0.00164,789.9,1.294,0.02447,100,19.33,20,0,0,1-3-2,300,0,-300
2026-08-03,202608031910,19,10R,初日,5,5-3-4,63.47,0.067,0.00196,661.8,1.294,0.02921,100,19.33,20,0,0,1-3-2,200,0,-200
2026-08-03,202608031910,19,10R,初日,5,5-3-6,63.47,0.067,0.00137,941.8,1.294,0.02052,100,19.33,20,0,0,1-3-2,200,0,-200
2026-08-03,202608031910,19,10R,初日,5,5-4-1,63.47,0.067,0.00668,193.8,1.294,0.09974,100,19.33,20,0,0,1-3-2,200,0,-200
2026-08-03,202608031910,19,10R,初日,5,5-4-2,63.47,0.067,0.00499,259.5,1.294,0.07449,100,19.33,20,0,0,1-3-2,200,0,-200
