race_code,combo,odds
202511010911,1-2-3,2.9
202511010911,1-2-4,12.1
202511010911,1-2-5,53.8
202511010911,1-2-6,25.5
202511010911,1-3-2,9.0
202511010911,1-3-4,2.9
202511010911,1-3-5,13.3
202511010911,1-3-6,5.4
202511010911,1-4-2,29.6
202511010911,1-4-3,13.5
202511010911,1-4-5,42.7
202511010911,1-4-6,19.0
202511010911,1-5-2,126.9
202511010911,1-5-3,90.8
202511010911,1-5-4,2.5
202511010911,1-5-6,88.1
202511010911,1-6-2,80.9
202511010911,1-6-3,35.7
202511010911,1-6-4,66.2
202511010911,1-6-5,151.2
202511010911,2-1-3,101.2
202511010911,2-1-4,173.4
202511010911,2-1-5,365.2
202511010911,2-1-6,191.2
202511010911,2-3-1,5.4
202511010911,2-3-4,9.7
202511010911,2-3-5,78.5
202511010911,2-3-6,54.8
202511010911,2-4-1,399.8
202511010911,2-4-3,543.3
202511010911,2-4-5,85.5
202511010911,2-4-6,116.3
202511010911,2-5-1,1060.0
202511010911,2-5-3,1247.0
202511010911,2-5-4,1292.0
202511010911,2-5-6,193.8
202511010911,2-6-1,478.7
202511010911,2-6-3,569.5
202511010911,2-6-4,823.8
202511010911,2-6-5,1362.0
202511010911,3-1-2,34.8
202511010911,3-1-4,18.1
202511010911,3-1-5,51.0
202511010911,3-1-6,22.8
202511010911,3-2-1,101.2
202511010911,3-2-4,1.7
202511010911,3-2-5,100.7
202511010911,3-2-6,211.3
202511010911,3-4-1,5.9
202511010911,3-4-2,3.9
202511010911,3-4-5,49.2
202511010911,3-4-6,21.5
202511010911,3-5-1,144.0
202511010911,3-5-2,397.1
202511010911,3-5-4,243.6
202511010911,3-5-6,64.6
202511010911,3-6-1,64.9
202511010911,3-6-2,8.7
202511010911,3-6-4,97.4
202511010911,3-6-5,177.3
202511010911,4-1-2,5.9
202511010911,4-1-3,77.9
202511010911,4-1-5,198.3
202511010911,4-1-6,110.7
202511010911,4-2-1,396.2
202511010911,4-2-3,520.9
202511010911,4-2-5,868.3
202511010911,4-2-6,89.0
202511010911,4-3-1,100.1
202511010911,4-3-2,344.6
202511010911,4-3-5,259.7
202511010911,4-3-6,138.1
202511010911,4-5-1,334.8
202511010911,4-5-2,820.0
202511010911,4-5-3,447.3
202511010911,4-5-6,107.6
202511010911,4-6-1,187.8
202511010911,4-6-2,467.3
202511010911,4-6-3,5.5
202511010911,4-6-5,1.3
202511010911,5-1-2,5.3
202511010911,5-1-3,1.6
202511010911,5-1-4,731.9
202511010911,5-1-6,536.7
202511010911,5-2-1,947.2
202511010911,5-2-3,1256.0
202511010911,5-2-4,1362.0
202511010911,5-2-6,1405.0
202511010911,5-3-1,270.0
202511010911,5-3-2,48.5
202511010911,5-3-4,492.0
202511010911,5-3-6,308.6
202511010911,5-4-1,717.1
202511010911,5-4-2,1553.0
202511010911,5-4-3,592.4
202511010911,5-4-6,628.1
202511010911,5-6-1,753.7
202511010911,5-6-2,77.7
202511010911,5-6-3,673.5
202511010911,5-6-4,835.5
202511010911,6-1-2,291.8
202511010911,6-1-3,153.0
202511010911,6-1-4,258.9
202511010911,6-1-5,443.9
202511010911,6-2-1,492.0
202511010911,6-2-3,615.0
202511010911,6-2-4,899.1
202511010911,6-2-5,1440.0
202511010911,6-3-1,197.6
202511010911,6-3-2,545.0
202511010911,6-3-4,308.6
202511010911,6-3-5,648.8
202511010911,6-4-1,52.3
202511010911,6-4-2,864.0
202511010911,6-4-3,376.8
202511010911,6-4-5,868.3
202511010911,6-5-1,62.8
202511010911,6-5-2,1595.0
202511010911,6-5-3,741.1
202511010911,6-5-4,1018.0
202511012005,1-2-3,9.3
202511012005,1-2-4,1.7
202511012005,1-2-5,11.8
202511012005,1-2-6,7.6
202511012005,1-3-2,43.5
202511012005,1-3-4,107.9
202511012005,1-3-5,81.4
202511012005,1-3-6,52.8
202511012005,1-4-2,5.5
202511012005,1-4-3,25.4
202511012005,1-4-5,11.6
202511012005,1-4-6,7.8
202511012005,1-5-2,7.7
202511012005,1-5-3,4.5
202511012005,1-5-4,82.7
202511012005,1-5-6,66.7
202511012005,1-6-2,37.7
202511012005,1-6-3,146.0
202511012005,1-6-4,44.0
202511012005,1-6-5,150.3
202511012005,2-1-3,123.6
202511012005,2-1-4,30.2
202511012005,2-1-5,151.4
202511012005,2-1-6,85.2
202511012005,2-3-1,451.9
202511012005,2-3-4,84.7
202511012005,2-3-5,1.8
202511012005,2-3-6,119.7
202511012005,2-4-1,66.2
202511012005,2-4-3,414.7
202511012005,2-4-5,6.2
202511012005,2-4-6,36.3
202511012005,2-5-1,612.9
202511012005,2-5-3,1340.0
202511012005,2-5-4,771.7
202511012005,2-5-6,113.0
202511012005,2-6-1,13.3
202511012005,2-6-3,1069.0
202511012005,2-6-4,4.1
202511012005,2-6-5,1024.0
202511012005,3-1-2,492.0
202511012005,3-1-4,729.7
202511012005,3-1-5,4.1
202511012005,3-1-6,8.1
202511012005,3-2-1,669.0
202511012005,3-2-4,1133.0
202511012005,3-2-5,1650.0
202511012005,3-2-6,1915.0
202511012005,3-4-1,1209.0
202511012005,3-4-2,1476.0
202511012005,3-4-5,58.1
202511012005,3-4-6,96.9
