date,race_code,venue,race,day_no,day_cat,model,target_boat,score,rank,target_name,target_grade,motor2,target_waku_st,winner,second,kimarite,head_hit,involved_hit
2026-08-03,202608030101,01,01R,4,3日目以降,4カド,4,62.03,B,龍田 真白,B1,32.4,0.12,6,4,まくり差し,0,1
2026-08-03,202608030107,01,07R,4,3日目以降,3攻め,3,61.15,B,谷川 里江,B1,38.5,0.19,3,5,まくり,1,1
2026-08-03,202608030411,04,11R,0,不明,3攻め,3,68.26,B,北野 輝季,A1,42.8,0.13,1,3,逃げ,0,1
2026-08-03,202608030501,05,01R,4,3日目以降,3攻め,3,63.08,B,相原 利章,A2,31.4,0.11,1,3,逃げ,0,1
2026-08-03,202608030806,08,06R,5,3日目以降,3攻め,3,63.05,B,中野 仁照,B2,39.7,0.15,1,2,逃げ,0,0
2026-08-03,202608031304,13,04R,4,3日目以降,4カド,4,64.52,B,前原 大道,A1,37.8,0.14,4,5,まくり,1,1
2026-08-03,202608031304,13,04R,4,3日目以降,4→5展開,5,70.3,A,益田 啓司,A1,38.3,0.14,4,5,まくり,0,1
2026-08-03,202608031307,13,07R,4,3日目以降,3攻め,3,64.34,B,中島 孝平,A1,42.8,0.14,2,3,逃げ,0,1
2026-08-03,202608031704,17,04R,0,不明,4→5展開,5,61.47,B,松村 敏,A1,39.6,0.13,1,5,逃げ,0,1
2026-08-03,202608031709,17,09R,0,不明,3攻め,3,64.06,B,藤森 陸斗,A2,40.7,0.14,1,3,逃げ,0,1
2026-08-03,202608031907,19,07R,0,不明,3攻め,3,73.03,A,飛田 江己,A1,30.3,0.08,3,4,まくり,1,1
2026-08-03,202608031908,19,08R,0,不明,4カド,4,61.68,B,三浦 敬太,A1,38.6,0.13,4,2,まくり,1,1
2026-08-03,202608031910,19,10R,0,不明,4カド,4,61.46,B,松崎 祐太郎,A2,33.3,0.15,1,3,逃げ,0,0
2026-08-03,202608031911,19,11R,0,不明,3攻め,3,60.28,B,石丸 海渡,A1,30.3,0.11,3,6,まくり差し,1,1
2026-08-03,202608031912,19,12R,0,不明,3攻め,3,64.9,B,森野 正弘,A1,35.0,0.12,1,5,逃げ,0,0
2026-08-03,202608032104,21,04R,2,2日目,3攻め,3,60.23,B,伊久間 陽優,A2,33.7,0.11,1,3,逃げ,0,1
2026-08-03,202608032111,21,11R,2,2日目,4カド,4,60.37,B,大澤 普司,A1,38.0,0.15,1,2,逃げ,0,0
2026-08-03,202608032111,21,11R,2,2日目,4→5展開,5,60.03,B,岡部 哲,B1,45.8,0.16,1,2,逃げ,0,0
2026-08-03,202608032210,22,10R,0,不明,4カド,4,61.56,B,森作 雄大,B1,21.9,0.08,1,3,逃げ,0,0
2026-08-03,202608032309,23,09R,0,不明,4カド,4,65.52,B,高橋 英之,B1,37.2,0.09,4,1,まくり差し,1,1
2026-08-04,202608040107,01,07R,5,3日目以降,3攻め,3,64.51,B,大山 千広,A2,28.9,0.15,1,2,逃げ,0,0
2026-08-04,202608040404,04,04R,2,2日目,4カド,4,61.97,B,宮之原 輝紀,A1,40.0,0.11,2,4,まくり,0,1
2026-08-04,202608040408,04,08R,2,2日目,4カド,4,82.48,S,久田 敏之,A1,57.5,0.1,4,5,抜き,0,1
2026-08-04,202608040410,04,10R,2,2日目,3攻め,3,62.3,B,永井 源,A2,64.2,0.14,1,4,逃げ,0,0
2026-08-04,202608040412,04,12R,2,2日目,4→5展開,5,60.17,B,吉島 祥之,A2,45.4,0.15,1,2,逃げ,0,0
2026-08-04,202608040507,05,07R,5,3日目以降,3攻め,3,61.66,B,上田 紗奈,B1,28.5,0.17,1,2,逃げ,0,0
2026-08-04,202608040601,06,01R,5,3日目以降,3攻め,3,66.21,B,馬袋 義則,A1,31.2,0.1,3,1,まくり差し,1,1
2026-08-04,202608040609,06,09R,5,3日目以降,3攻め,3,63.87,B,徳増 秀樹,A1,37.6,0.12,1,3,逃げ,0,1
2026-08-04,202608040612,06,12R,5,3日目以降,3攻め,3,63.03,B,寺本 重宣,A2,34.6,0.11,4,5,まくり,0,0
2026-08-04,202608040810,08,10R,0,不明,4カド,4,60.49,B,若林 義人,A1,31.9,0.13,1,3,抜き,0,0
2026-08-04,202608041003,10,03R,0,不明,3攻め,3,75.02,A,石本 裕武,A1,45.6,0.14,3,1,まくり差し,1,1
