date,race_code,venue,race,day_no,day_cat,model,target_boat,score,rank,target_name,target_grade,motor2,motor_history,prior_expo,prior_turn,prior_straight,foot_type,branch,winner,second,kimarite,head_hit,involved_hit
2026-08-03,202608030101,01,01R,4,3日目以降,4カド,4,67.41,B,龍田 真白,B1,32.4,0.503,0.547,0.4,1.0,伸び寄り,まくり寄り,6,4,まくり差し,0,1
2026-08-03,202608030411,04,11R,1,初日,3攻め,3,61.08,B,北野 輝季,A1,42.8,0.606,0.5,0.5,0.5,不明,両にらみ,1,3,逃げ,0,1
2026-08-03,202608030501,05,01R,4,3日目以降,3攻め,3,61.78,B,相原 利章,A2,31.4,0.397,0.429,0.4,0.6,伸び寄り,まくり寄り,1,3,逃げ,0,1
2026-08-03,202608031304,13,04R,4,3日目以降,4カド,4,62.31,B,前原 大道,A1,37.8,0.599,0.601,0.6,0.601,バランス,両にらみ,4,5,まくり,1,1
2026-08-03,202608031304,13,04R,4,3日目以降,4→5展開,5,68.91,B,益田 啓司,A1,38.3,0.583,0.599,0.6,0.599,バランス,4攻め→5展開,4,5,まくり,0,1
2026-08-03,202608031307,13,07R,4,3日目以降,3攻め,3,61.46,B,中島 孝平,A1,42.8,0.548,1.0,1.0,1.0,バランス,両にらみ,2,3,逃げ,0,1
2026-08-03,202608031709,17,09R,1,初日,3攻め,3,61.28,B,藤森 陸斗,A2,40.7,0.573,0.5,0.5,0.5,不明,両にらみ,1,3,逃げ,0,1
2026-08-03,202608031907,19,07R,1,初日,3攻め,3,67.81,B,飛田 江己,A1,30.3,0.507,0.5,0.5,0.5,不明,両にらみ,3,4,まくり,1,1
2026-08-03,202608031908,19,08R,1,初日,4カド,4,60.03,B,三浦 敬太,A1,38.6,0.44,0.5,0.5,0.5,不明,両にらみ,4,2,まくり,1,1
2026-08-03,202608032104,21,04R,2,2日目,3攻め,3,60.46,B,伊久間 陽優,A2,33.7,0.393,0.828,0.8,1.0,伸び寄り,まくり寄り,1,3,逃げ,0,1
2026-08-03,202608032110,21,10R,2,2日目,4カド,4,60.28,B,安東 幸治,A2,34.7,0.459,0.773,0.8,0.6,出足・回り足寄り,まくり差し寄り,5,1,まくり差し,0,0
2026-08-03,202608032210,22,10R,6,3日目以降,4カド,4,63.83,B,森作 雄大,B1,21.9,0.253,0.482,0.4,1.0,伸び寄り,まくり寄り,1,3,逃げ,0,0
2026-08-03,202608032309,23,09R,6,3日目以降,4カド,4,68.28,B,高橋 英之,B1,37.2,0.531,0.859,1.0,0.0,出足・回り足寄り,まくり差し寄り,4,1,まくり差し,1,1
2026-08-04,202608040404,04,04R,2,2日目,4カド,4,62.1,B,宮之原 輝紀,A1,40.0,0.58,1.0,1.0,1.0,バランス,両にらみ,2,4,まくり,0,1
2026-08-04,202608040408,04,08R,2,2日目,4カド,4,79.37,A,久田 敏之,A1,57.5,0.724,0.542,0.5,0.8,伸び寄り,まくり寄り,4,5,抜き,0,1
2026-08-04,202608040601,06,01R,5,3日目以降,3攻め,3,60.46,B,馬袋 義則,A1,31.2,0.469,0.685,0.7,0.6,バランス,両にらみ,3,1,まくり差し,1,1
2026-08-04,202608040810,08,10R,6,3日目以降,4カド,4,60.32,B,若林 義人,A1,31.9,0.447,0.715,0.7,0.8,バランス,両にらみ,1,3,抜き,0,0
2026-08-04,202608041003,10,03R,1,初日,3攻め,3,67.7,B,石本 裕武,A1,45.6,0.553,0.5,0.5,0.5,不明,両にらみ,3,1,まくり差し,1,1
2026-08-04,202608041007,10,07R,1,初日,4カド,4,66.06,B,守田 俊介,A1,31.3,0.456,0.5,0.5,0.5,不明,両にらみ,4,5,まくり,1,1
