date,race_code,venue,race,day_cat,model,target_boat,score,rank,target_name,target_grade,motor2,motor_history,prior_expo,prior_display,prior_straight,prior_turn,stretch_score,turn_score,foot_type,winner,second,kimarite,head_hit,involved_hit
2026-08-03,202608030101,01,01R,3日目以降,4カド,4,66.49,B,龍田 真白,B1,32.4,0.503,0.547,0.0,1.0,0.4,0.609,0.452,伸び寄り,6,4,まくり差し,0,1
2026-08-03,202608030102,01,02R,3日目以降,3攻め,3,60.19,B,塩崎 桐加,B1,29.6,0.455,0.702,0.6,0.4,0.8,0.52,0.766,出足・回り足寄り,2,3,まくり,0,1
2026-08-03,202608030111,01,11R,3日目以降,4→5展開,5,64.57,B,宮崎 安奈,B1,29.1,0.502,0.849,0.0,1.0,0.8,0.67,0.817,バランス,4,1,抜き,0,0
2026-08-03,202608030411,04,11R,初日,3攻め,3,60.4,B,北野 輝季,A1,42.8,0.606,0.5,0.5,0.5,0.5,0.5,0.5,バランス,1,3,逃げ,0,1
2026-08-03,202608030501,05,01R,3日目以降,3攻め,3,60.55,B,相原 利章,A2,31.4,0.397,0.429,0.2,0.6,0.4,0.446,0.41,バランス,1,3,逃げ,0,1
2026-08-03,202608031304,13,04R,3日目以降,4カド,4,62.15,B,前原 大道,A1,37.8,0.599,0.601,0.6,0.601,0.6,0.601,0.6,バランス,4,5,まくり,1,1
2026-08-03,202608031307,13,07R,3日目以降,3攻め,3,61.6,B,中島 孝平,A1,42.8,0.548,1.0,0.2,1.0,1.0,0.76,1,出足・回り足寄り,2,3,逃げ,0,1
2026-08-03,202608031709,17,09R,初日,3攻め,3,60.72,B,藤森 陸斗,A2,40.7,0.573,0.5,0.5,0.5,0.5,0.5,0.5,バランス,1,3,逃げ,0,1
2026-08-03,202608031902,19,02R,初日,4→5展開,5,60.25,B,重成 一人,A1,28.5,0.536,0.5,0.5,0.5,0.5,0.5,0.5,バランス,4,1,まくり差し,0,0
2026-08-03,202608031907,19,07R,初日,3攻め,3,67.77,B,飛田 江己,A1,30.3,0.507,0.5,0.5,0.5,0.5,0.5,0.5,バランス,3,4,まくり,1,1
2026-08-03,202608031910,19,10R,初日,4→5展開,5,63.47,B,岩橋 裕馬,B1,36.3,0.474,0.5,0.5,0.5,0.5,0.5,0.5,バランス,1,3,逃げ,0,0
2026-08-03,202608032104,21,04R,2日目,3攻め,3,60.21,B,伊久間 陽優,A2,33.7,0.393,0.828,0.6,1.0,0.8,0.846,0.81,バランス,1,3,逃げ,0,1
2026-08-03,202608032110,21,10R,2日目,4カド,4,60.69,B,安東 幸治,A2,34.7,0.459,0.773,0.4,0.6,0.8,0.575,0.791,出足・回り足寄り,5,1,まくり差し,0,0
2026-08-03,202608032112,21,12R,2日目,4→5展開,5,61.65,B,長谷川 充,B1,41.8,0.576,0.515,0.0,0.6,0.5,0.403,0.505,バランス,1,2,逃げ,0,0
2026-08-03,202608032210,22,10R,3日目以降,4カド,4,64.26,B,森作 雄大,B1,21.9,0.253,0.482,0.4,1.0,0.4,0.716,0.429,伸び寄り,1,3,逃げ,0,0
2026-08-03,202608032210,22,10R,3日目以降,4→5展開,5,62.26,B,牟田 奨太,B1,39.7,0.547,0.259,0.4,0.0,0.3,0.172,0.286,バランス,1,3,逃げ,0,0
2026-08-03,202608032309,23,09R,3日目以降,4カド,4,67.59,B,高橋 英之,B1,37.2,0.531,0.859,0.4,0.0,1.0,0.292,0.951,出足・回り足寄り,4,1,まくり差し,1,1
2026-08-03,202608032309,23,09R,3日目以降,4→5展開,5,63.23,B,濱本 優一,A1,28.3,0.079,0.829,0.2,0.4,0.9,0.426,0.875,出足・回り足寄り,4,1,まくり差し,0,0
2026-08-04,202608040404,04,04R,2日目,4カド,4,62.7,B,宮之原 輝紀,A1,40.0,0.58,1.0,0.6,1.0,1.0,0.88,1,バランス,2,4,まくり,0,1
2026-08-04,202608040404,04,04R,2日目,4→5展開,5,61.19,B,佐藤 悠,A2,40.6,0.521,0.914,1.0,1.0,0.9,0.983,0.905,バランス,2,4,まくり,0,0
2026-08-04,202608040408,04,08R,2日目,4カド,4,77.78,A,久田 敏之,A1,57.5,0.724,0.542,0.8,0.8,0.5,0.748,0.515,伸び寄り,4,5,抜き,0,1
2026-08-04,202608040408,04,08R,2日目,4→5展開,5,65.03,B,石原 光,B1,51.4,0.623,0.311,0.0,1.0,0.2,0.562,0.239,伸び寄り,4,5,抜き,0,1
2026-08-04,202608040411,04,11R,2日目,4→5展開,5,64.97,B,片岡 大地,A2,38.7,0.522,0.714,1.0,0.8,0.7,0.843,0.705,バランス,1,4,逃げ,0,0
2026-08-04,202608040512,05,12R,3日目以降,4→5展開,5,60.14,B,廣瀬 真也,B1,29.5,0.425,0.573,0.4,0.4,0.6,0.435,0.591,出足・回り足寄り,1,6,逃げ,0,0
