date,jcd,rno,source_type,snapshot_type,source_url,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-02-02,02,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=1,22.1,49.1,88.1,32.5,167.5,1002.0,14.9,34.3,66.9,43.9,251.2,1409.0,36.6,62.4,105.6,20.0,99.0,767.7,111.8,174.0,237.8,49.6,186.7,945.1,33.7,87.7,114.7,45.3,275.4,1401.0,23.9,71.8,94.5,67.6,475.2,1720.0,48.3,126.7,146.6,41.5,193.8,941.5,157.2,330.9,372.4,93.6,447.1,1834.0,18.8,49.4,76.3,67.9,347.0,1862.0,24.3,69.7,94.1,74.2,455.3,1919.0,17.3,69.1,86.9,54.9,350.4,1370.0,51.2,147.0,166.2,129.6,594.0,1919.0,69.5,157.9,201.3,22.2,85.0,710.8,94.8,227.0,244.6,33.8,121.5,875.5,44.9,132.1,183.7,60.7,245.3,1273.0,109.9,349.9,299.5,29.7,115.0,445.5,277.5,595.5,582.9,105.7,365.3,1176.0,365.8,884.8,681.7,140.0,564.5,2079.0,197.7,467.2,496.0,223.7,875.5,2151.0,216.9,744.8,649.7,70.4,252.0,512.3
2026-02-02,02,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=2,21.1,21.8,51.0,123.1,338.2,762.2,32.1,29.9,79.4,216.7,441.3,1305.0,51.7,43.2,103.0,253.2,788.6,1770.0,71.2,78.8,124.4,348.6,834.1,1919.0,32.2,20.0,37.2,107.7,307.5,937.1,54.6,9.4,17.1,59.8,194.7,677.9,84.1,14.8,25.8,92.2,297.7,541.8,123.9,35.2,36.3,159.4,412.7,865.8,69.8,42.0,74.1,199.3,487.2,1713.0,101.3,19.7,30.5,68.5,233.9,773.3,171.6,34.7,52.8,154.6,499.4,1027.0,226.3,67.7,78.3,235.3,686.7,1295.0,145.7,82.2,146.5,274.2,559.0,2016.0,186.1,43.9,63.4,152.8,347.8,890.0,250.8,58.5,102.0,235.6,471.3,1137.0,347.8,102.3,135.1,260.3,592.2,1327.0,318.6,231.2,406.4,755.0,1502.0,2655.0,437.6,131.4,157.8,362.9,769.6,1062.0,493.2,146.4,200.9,571.0,1041.0,1546.0,479.8,167.1,250.1,527.5,1021.0,1235.0
2026-02-02,02,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=3,33.6,63.5,272.3,24.9,930.8,146.2,9.0,19.5,390.6,136.5,1781.0,501.6,46.2,83.0,776.3,122.9,1169.0,138.6,14.0,27.0,531.5,31.1,921.6,572.1,60.6,102.8,297.9,20.7,1120.0,126.5,100.4,89.4,179.0,71.2,2102.0,398.0,239.2,366.1,498.9,76.8,736.6,62.8,142.7,151.1,306.2,13.9,831.5,390.6,16.0,22.4,368.3,255.9,2150.0,979.5,88.2,68.2,227.6,151.1,1889.0,754.4,127.6,118.6,677.8,445.4,1834.0,663.4,36.9,19.3,320.9,185.6,2254.0,1546.0,173.5,360.5,1439.0,181.4,1107.0,82.7,493.6,730.8,1033.0,127.5,751.4,50.1,305.2,359.1,1264.0,394.7,1521.0,288.2,336.5,363.3,1230.0,101.0,638.5,231.2,40.0,70.0,745.4,24.7,1417.0,1100.0,270.3,199.6,561.8,14.9,1063.0,827.8,72.7,38.1,527.0,98.9,2201.0,1670.0,262.7,215.8,1281.0,62.6,886.7,665.8
2026-02-02,02,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=4,12.2,20.6,28.7,150.3,124.8,831.6,30.5,46.3,49.4,162.1,116.3,683.1,28.6,43.7,34.0,157.0,242.1,1710.0,59.7,74.8,71.4,217.0,205.4,1479.0,12.2,26.8,38.4,194.6,154.3,906.6,20.2,36.6,46.7,177.0,166.7,685.1,16.6,29.1,39.3,168.5,274.9,1435.0,41.8,54.3,64.1,257.6,209.1,1747.0,64.1,98.4,90.1,190.1,150.7,657.1,50.4,70.9,84.3,198.9,184.9,742.0,79.0,104.7,93.0,209.3,313.2,1243.0,150.0,143.1,154.9,353.0,243.8,896.5,51.5,101.8,67.3,127.2,204.5,1629.0,39.2,74.7,69.3,148.5,245.3,1722.0,96.3,147.6,113.7,189.7,280.4,1607.0,115.6,162.0,120.1,118.8,190.3,1282.0,211.3,291.6,221.2,367.6,386.4,1176.0,187.2,229.4,203.3,342.0,352.0,1370.0,399.2,410.1,308.0,527.7,376.2,934.7,306.4,379.1,233.4,231.0,435.3,1165.0
2026-02-02,02,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=5,22.9,158.4,70.5,102.3,188.3,1626.0,22.3,161.1,26.4,54.0,105.4,1438.0,29.6,203.8,31.7,49.8,92.4,1045.0,105.0,514.1,123.2,133.8,201.6,1302.0,16.5,254.1,166.7,229.3,479.4,2998.0,6.6,409.9,170.6,336.2,678.0,3274.0,10.6,454.9,220.2,296.2,802.7,2860.0,51.8,1585.0,517.3,477.6,1126.0,3110.0,22.0,293.7,38.9,78.1,159.7,1929.0,10.0,452.4,114.6,268.7,435.0,3149.0,12.3,580.0,49.6,109.8,244.4,1421.0,53.2,932.0,121.8,244.6,448.3,2241.0,43.7,438.1,72.6,72.0,131.5,1382.0,22.2,629.9,190.3,221.0,472.1,3110.0,21.2,736.2,87.5,142.2,252.6,1692.0,65.1,1330.0,195.3,147.4,331.7,1526.0,297.3,1704.0,469.5,317.0,529.4,1517.0,198.9,2827.0,840.7,572.0,1390.0,3110.0,185.2,2304.0,462.5,434.2,849.3,1914.0,188.8,2513.0,496.7,284.3,713.0,1595.0
2026-02-02,02,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=6,17.3,37.3,34.4,81.3,609.1,285.5,26.8,52.0,32.6,54.6,508.8,152.9,94.3,158.6,92.6,136.3,748.4,358.9,38.8,55.6,24.0,51.8,575.6,794.5,17.0,47.2,53.0,96.2,898.7,373.6,18.0,62.4,42.1,77.1,830.6,264.5,62.9,220.4,159.7,166.6,909.9,342.1,18.5,59.8,43.6,72.8,987.8,1096.0,42.9,88.9,44.3,63.0,599.1,148.3,37.2,86.6,40.9,79.1,877.2,238.8,157.9,371.0,112.9,119.2,846.7,181.6,54.4,104.8,27.8,46.4,589.5,473.6,269.7,597.5,194.0,148.6,774.9,341.5,206.3,566.6,235.3,199.3,803.3,306.7,321.5,786.0,202.6,143.6,721.3,212.9,225.3,643.1,160.5,100.5,496.1,705.1,92.1,144.4,45.2,66.7,884.2,1001.0,56.8,133.0,52.1,81.9,1136.0,1345.0,109.7,186.0,45.5,57.7,698.4,745.9,224.0,594.3,149.1,107.2,925.3,1044.0
2026-02-02,02,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=7,16.7,42.0,57.4,45.6,229.4,1596.0,12.9,28.8,25.1,21.6,233.5,1016.0,59.6,144.2,74.8,56.1,189.1,913.3,150.0,262.8,135.2,89.8,407.5,1862.0,18.4,84.7,97.6,87.8,351.3,2301.0,9.1,72.9,66.5,91.6,467.5,2114.0,37.3,303.6,185.4,212.2,371.9,1676.0,79.8,482.9,283.4,302.0,740.4,2579.0,16.0,56.0,23.1,27.4,331.0,1228.0,9.7,74.6,47.6,67.5,495.1,1972.0,33.8,224.4,53.9,68.8,323.7,826.4,65.0,325.1,77.5,89.4,634.3,2006.0,103.4,304.4,146.7,86.0,215.7,859.7,88.5,422.1,242.9,209.5,320.6,1524.0,79.1,285.5,130.5,116.0,291.2,838.3,193.9,938.8,286.2,183.6,416.1,1248.0,479.0,931.4,392.5,197.2,700.6,1833.0,308.4,1156.0,670.6,409.6,909.7,2828.0,264.6,869.3,256.2,185.8,927.7,2235.0,491.0,1833.0,558.8,303.2,674.4,1414.0
2026-02-02,02,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=8,20.2,18.4,38.0,39.2,308.1,1352.0,20.8,18.5,41.2,52.5,548.5,2109.0,70.4,64.1,93.5,82.8,408.2,2460.0,213.4,188.2,208.6,173.8,831.8,2187.0,26.8,23.5,39.1,34.2,277.7,1737.0,31.8,16.0,21.8,27.0,281.2,1540.0,94.6,64.8,57.8,40.8,214.2,1121.0,233.1,157.4,188.6,118.1,723.1,2271.0,33.2,21.9,41.6,54.8,545.1,1968.0,44.1,17.5,26.1,33.3,341.3,1703.0,99.3,56.3,56.7,79.4,462.5,1100.0,217.6,118.8,118.8,163.7,927.6,2394.0,173.3,175.5,211.1,90.0,307.5,1864.0,247.4,159.7,121.3,59.5,189.0,984.3,226.5,123.6,122.6,95.9,358.6,1042.0,596.5,422.8,309.7,146.0,472.4,1205.0,555.4,684.0,780.5,256.7,1283.0,2160.0,540.1,663.5,522.6,223.1,1181.0,2271.0,533.6,456.6,326.8,265.2,1362.0,2531.0,700.2,658.6,497.6,248.1,726.1,1417.0
2026-02-02,02,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=9,7.5,65.8,43.1,54.4,360.8,629.4,7.7,63.2,40.8,75.6,504.6,687.3,28.7,163.6,93.1,85.2,411.4,658.0,34.4,239.0,113.7,128.9,733.0,1020.0,9.4,125.6,76.3,93.6,723.8,1232.0,9.0,182.9,97.6,134.2,941.6,2293.0,25.4,428.9,214.8,217.7,897.8,1898.0,26.7,586.4,291.7,347.7,1429.0,3357.0,11.5,113.4,75.6,141.7,638.1,1087.0,12.8,187.4,94.1,179.4,941.6,2227.0,28.5,409.9,164.9,286.6,1007.0,1946.0,29.3,574.7,218.9,344.1,1286.0,2859.0,72.3,518.1,259.0,178.5,486.6,919.1,75.1,769.5,376.0,310.9,848.4,1883.0,77.5,687.3,339.1,366.5,1043.0,2086.0,145.1,1346.0,550.2,307.6,867.5,1914.0,86.1,704.0,348.3,331.3,1781.0,2293.0,84.3,1146.0,598.5,590.9,2517.0,3619.0,94.6,1119.0,546.3,661.8,2293.0,4136.0,178.7,1690.0,712.7,466.0,1654.0,2049.0
2026-02-02,02,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260202&jcd=02&rno=10,12.1,39.1,30.2,119.1,508.3,399.5,13.9,44.0,21.0,82.2,351.0,356.0,50.9,132.6,52.7,207.2,543.9,474.2,28.9,82.8,44.9,129.0,498.2,888.6,13.5,51.7,44.2,175.1,754.9,562.8,10.9,62.7,39.3,147.0,627.0,578.7,34.1,154.4,84.8,294.6,936.6,611.7,26.7,107.5,69.1,223.9,814.8,1297.0,26.8,97.8,31.8,88.7,368.2,522.5,22.5,98.3,44.4,124.1,527.3,565.7,79.0,237.1,64.5,213.7,705.3,372.4,41.5,139.6,39.4,105.5,555.9,1035.0,118.0,355.4,141.1,356.0,803.2,550.5,109.4,347.2,151.8,476.2,994.3,648.6,148.7,491.7,126.1,388.5,871.5,427.5,147.1,500.4,165.8,305.4,560.1,921.3,79.6,263.6,107.7,202.8,718.8,1359.0,85.2,260.3,146.0,248.5,1085.0,1684.0,85.4,264.0,86.6,179.5,811.9,1402.0,182.3,537.4,213.7,330.9,714.3,1069.0
