date,jcd,rno,source_type,snapshot_type,source_url,odds_mapping_version,1-2-3,1-2-4,1-2-5,1-2-6,1-3-2,1-3-4,1-3-5,1-3-6,1-4-2,1-4-3,1-4-5,1-4-6,1-5-2,1-5-3,1-5-4,1-5-6,1-6-2,1-6-3,1-6-4,1-6-5,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,2-3-4,2-3-5,2-3-6,2-4-1,2-4-3,2-4-5,2-4-6,2-5-1,2-5-3,2-5-4,2-5-6,2-6-1,2-6-3,2-6-4,2-6-5,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,3-2-4,3-2-5,3-2-6,3-4-1,3-4-2,3-4-5,3-4-6,3-5-1,3-5-2,3-5-4,3-5-6,3-6-1,3-6-2,3-6-4,3-6-5,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,4-2-3,4-2-5,4-2-6,4-3-1,4-3-2,4-3-5,4-3-6,4-5-1,4-5-2,4-5-3,4-5-6,4-6-1,4-6-2,4-6-3,4-6-5,5-1-2,5-1-3,5-1-4,5-1-6,5-2-1,5-2-3,5-2-4,5-2-6,5-3-1,5-3-2,5-3-4,5-3-6,5-4-1,5-4-2,5-4-3,5-4-6,5-6-1,5-6-2,5-6-3,5-6-4,6-1-2,6-1-3,6-1-4,6-1-5,6-2-1,6-2-3,6-2-4,6-2-5,6-3-1,6-3-2,6-3-4,6-3-5,6-4-1,6-4-2,6-4-3,6-4-5,6-5-1,6-5-2,6-5-3,6-5-4
2026-03-15,03,1,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=1,official_table_v2,9.1,14.5,12.8,90.2,11.9,19.9,16.7,114.3,27.2,37.5,41.6,161.3,31.1,35.8,67.6,145.3,273.9,360.7,458.2,333.1,21.3,27.4,26.4,132.4,39.4,52.1,55.3,264.0,70.6,98.8,97.8,346.8,78.2,115.2,153.2,455.5,461.0,434.7,786.5,716.4,30.5,42.7,32.2,175.6,48.3,73.5,63.6,263.5,78.1,114.2,116.7,349.1,65.4,103.5,135.7,373.1,607.9,716.4,877.0,719.8,92.1,113.7,92.8,371.2,148.0,191.9,139.9,485.9,142.7,217.9,188.6,582.4,124.6,124.7,160.4,221.4,703.2,778.5,794.7,633.1,115.7,107.7,241.8,398.4,165.5,223.7,373.1,643.8,140.1,239.9,469.5,824.8,328.8,375.8,411.3,635.8,748.0,862.1,924.8,1067.0,633.1,1045.0,1387.0,1182.0,820.4,1067.0,1541.0,1541.0,1496.0,1589.0,1774.0,2062.0,1695.0,1481.0,1754.0,1860.0,1362.0,1816.0,1883.0,1860.0
2026-03-15,03,2,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=2,official_table_v2,25.3,40.6,23.0,186.2,33.0,38.6,33.8,205.3,75.7,81.4,76.3,270.0,38.2,46.4,71.0,164.2,445.7,624.3,552.7,403.7,34.9,68.3,22.5,202.1,54.3,56.2,23.2,239.8,133.0,92.3,63.4,389.4,26.2,19.8,42.1,97.4,639.9,440.6,730.9,264.0,70.5,83.4,63.2,305.9,76.6,71.9,37.5,273.4,102.5,94.7,67.3,275.8,64.3,43.4,67.7,167.6,856.7,752.3,717.3,483.4,228.8,220.0,188.5,645.2,227.1,226.7,179.5,544.9,240.2,225.8,172.3,521.0,167.0,160.3,130.9,307.2,1195.0,1117.0,940.3,824.7,30.7,46.0,90.2,70.2,25.6,21.2,43.1,50.8,53.0,32.6,65.2,90.2,95.3,88.5,92.2,139.3,89.7,74.7,122.6,188.5,737.9,1070.0,1318.0,569.0,871.3,1014.0,1159.0,475.9,1441.0,1402.0,1318.0,923.4,1880.0,1557.0,1793.0,1427.0,427.2,349.7,616.8,861.5
2026-03-15,03,3,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=3,official_table_v2,21.1,11.6,16.1,168.1,30.9,37.1,33.6,317.9,24.4,46.5,31.0,313.2,31.9,49.3,48.3,238.8,561.3,705.0,992.8,672.5,24.8,12.2,20.0,203.5,50.4,57.5,65.5,517.5,29.8,55.1,29.2,364.8,46.7,73.9,44.4,370.4,701.6,682.0,1081.0,900.9,63.6,75.0,59.4,491.4,67.6,76.9,73.9,631.8,94.3,76.2,64.3,530.7,80.5,81.5,84.0,451.8,1131.0,1430.0,1717.0,1089.0,66.9,149.0,79.7,590.8,65.4,114.3,50.2,472.3,172.7,144.3,113.4,705.0,86.6,58.1,118.7,373.2,1097.0,1167.0,1658.0,923.7,62.6,98.6,77.4,324.3,65.5,114.9,63.8,388.1,122.1,145.8,151.5,744.6,112.2,79.7,155.5,498.1,660.4,666.4,1013.0,912.1,1226.0,2085.0,2027.0,1536.0,1459.0,2432.0,1569.0,1326.0,2085.0,2861.0,2806.0,2806.0,2085.0,1824.0,3475.0,1946.0,1403.0,1247.0,2146.0,1895.0
2026-03-15,03,4,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=4,official_table_v2,24.2,88.3,29.9,302.5,23.7,59.2,18.4,240.9,195.0,149.9,171.4,635.8,33.1,26.9,97.2,228.8,754.6,722.8,891.8,663.4,21.5,81.5,33.2,336.6,24.8,47.4,19.4,257.6,182.6,115.0,141.7,704.2,39.9,23.4,97.7,233.1,1346.0,562.8,1543.0,644.7,27.0,60.5,20.2,256.2,31.4,46.7,16.8,213.9,124.1,107.6,76.8,399.2,20.6,15.6,49.7,123.2,775.9,707.9,767.2,426.5,383.6,278.5,325.4,1017.0,437.3,266.1,252.4,897.6,314.2,298.5,191.5,789.2,326.9,272.4,218.3,784.7,1881.0,1674.0,1415.0,1990.0,48.7,40.5,148.7,208.7,47.5,28.2,112.4,171.4,33.9,25.7,85.1,141.5,266.1,252.9,204.0,644.7,357.6,323.9,328.5,746.4,1596.0,1961.0,2692.0,1760.0,1783.0,2049.0,2641.0,1596.0,2288.0,2641.0,2080.0,1674.0,3433.0,2497.0,2861.0,2409.0,1654.0,1543.0,1674.0,2251.0
2026-03-15,03,5,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=5,official_table_v2,14.5,47.4,19.1,64.2,15.2,22.5,10.9,40.6,83.0,55.5,57.9,133.5,32.9,18.2,53.8,52.9,212.3,169.8,308.1,172.6,26.2,81.3,30.8,81.4,58.8,207.4,65.6,169.3,234.2,308.9,249.8,535.3,114.4,112.6,308.9,289.7,484.0,459.2,936.9,482.0,29.7,39.1,16.8,60.4,70.9,177.1,59.3,201.7,97.6,208.2,87.2,226.0,20.6,47.2,62.1,46.7,230.0,331.9,414.9,169.1,321.8,197.5,214.7,502.9,509.5,572.3,516.3,806.8,274.0,540.3,253.6,550.6,291.1,492.2,261.0,435.1,922.0,1139.0,1056.0,860.6,80.6,36.0,130.3,103.2,133.5,113.3,431.9,338.7,33.7,75.5,117.8,79.8,301.7,516.3,256.4,414.9,193.9,359.6,180.1,450.3,764.3,717.1,1150.0,721.6,893.7,976.3,1683.0,1222.0,829.8,1305.0,1434.0,542.9,1434.0,1787.0,1904.0,1613.0,695.6,1106.0,540.3,1320.0
2026-03-15,03,6,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=6,official_table_v2,13.6,21.6,17.7,55.7,21.9,50.8,38.1,101.2,44.9,86.1,82.1,151.2,37.4,83.5,115.6,162.2,159.0,231.2,305.4,245.6,11.5,21.0,14.9,40.5,33.0,50.6,31.7,95.3,47.3,68.9,50.2,105.9,28.1,36.4,57.2,71.4,139.6,182.0,190.2,127.4,64.5,134.4,89.1,184.4,81.6,106.8,72.8,153.8,191.5,155.2,171.5,276.5,158.7,120.8,198.5,242.1,516.8,420.6,501.5,470.9,101.1,186.0,124.1,188.9,73.5,113.0,76.2,156.5,284.4,231.5,221.6,289.2,110.5,82.6,167.8,123.5,237.0,201.8,331.1,205.4,107.2,229.0,227.2,277.0,81.7,113.5,134.3,191.1,260.0,198.7,498.6,432.4,243.9,170.3,354.6,263.6,390.6,318.0,576.6,397.9,217.3,416.5,507.5,464.4,219.5,372.5,394.2,353.1,657.0,599.0,803.4,843.4,644.5,468.3,737.0,509.0,637.3,473.5,818.9,586.5
2026-03-15,03,7,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=7,official_table_v2,21.0,60.1,232.3,54.4,15.9,22.1,89.5,20.1,61.9,37.1,344.3,66.1,556.4,360.1,740.5,577.6,95.4,68.4,134.1,371.6,56.1,111.8,396.3,108.5,56.9,45.6,228.5,47.3,150.9,100.9,596.9,128.8,907.8,871.6,1387.0,951.6,170.7,97.8,192.5,729.6,29.4,30.1,122.8,30.7,38.6,27.7,160.1,21.6,34.0,25.4,151.1,18.4,294.0,337.3,331.6,235.9,40.8,34.3,24.5,183.0,78.3,49.3,186.3,54.2,104.0,75.8,305.8,74.8,51.4,47.5,179.9,32.5,220.5,324.0,262.3,187.0,55.6,62.3,42.9,131.0,1231.0,757.6,924.8,817.4,1437.0,1216.0,1876.0,1331.0,797.5,1100.0,1026.0,703.5,852.7,1193.0,920.5,645.8,703.5,1358.0,1112.0,1026.0,222.0,164.5,267.2,883.3,285.5,145.4,264.4,1186.0,154.2,114.2,112.0,562.8,235.9,231.2,129.8,492.4,1601.0,1563.0,1223.0,1015.0
2026-03-15,03,8,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=8,official_table_v2,14.2,18.1,170.1,26.1,11.1,9.0,107.5,20.2,17.0,12.2,127.5,21.6,439.5,368.3,424.4,346.7,53.6,50.7,58.1,336.4,45.8,44.5,267.0,75.7,94.5,119.5,628.5,157.2,74.7,120.2,523.7,128.2,753.5,1230.0,1241.0,1110.0,293.0,339.5,279.7,1018.0,42.4,26.4,174.7,47.4,90.3,115.1,430.6,115.5,34.9,81.2,285.6,53.5,442.2,713.5,561.6,527.5,114.9,172.7,99.9,559.4,39.9,27.9,173.3,39.9,75.2,122.2,399.1,109.4,42.0,94.2,290.7,65.2,350.8,495.6,439.5,312.2,72.8,117.4,87.0,290.1,1210.0,844.0,928.9,1262.0,1273.0,1659.0,1678.0,1697.0,984.6,1737.0,1462.0,1779.0,1355.0,1641.0,1641.0,1342.0,1717.0,2110.0,2080.0,1969.0,219.1,160.0,162.3,769.2,382.6,511.0,365.6,1448.0,229.7,440.9,241.7,1181.0,199.5,295.4,250.3,1153.0,1823.0,1943.0,1823.0,1893.0
2026-03-15,03,9,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=9,official_table_v2,15.6,30.2,20.7,71.3,11.9,16.3,8.5,40.0,30.6,22.0,21.3,51.1,22.6,13.8,26.2,38.6,144.6,108.3,124.3,101.3,86.5,152.9,115.5,289.2,106.8,190.2,143.7,397.0,302.4,295.9,345.2,675.6,187.3,234.3,429.6,606.5,651.5,819.3,1380.0,1076.0,55.3,67.8,30.3,120.7,104.3,194.4,116.1,358.7,126.6,202.5,125.3,272.7,56.1,111.0,126.7,149.6,411.1,667.3,603.2,397.0,98.4,77.0,52.8,109.3,202.9,273.7,261.0,520.3,140.1,261.7,166.0,302.4,66.6,164.9,119.0,99.2,220.6,503.6,363.5,226.8,105.6,62.3,102.1,104.6,194.6,249.5,500.1,588.6,92.7,205.2,250.9,288.1,121.1,293.5,236.8,168.1,238.1,548.9,387.2,344.7,975.8,734.3,851.0,596.6,1514.0,2111.0,1728.0,2287.0,1108.0,1909.0,1663.0,1240.0,903.5,1638.0,1435.0,841.2,736.8,1650.0,1233.0,950.5
2026-03-15,03,10,official_closing,closing_displayed,https://www.boatrace.jp/owpc/pc/race/odds3t?hd=20260315&jcd=03&rno=10,official_table_v2,21.7,38.8,44.9,79.2,12.7,8.2,8.5,23.4,37.2,16.1,21.1,41.1,52.4,18.4,32.2,59.7,187.7,98.9,149.0,164.0,137.9,270.8,299.1,449.3,204.6,568.1,432.6,639.8,581.5,726.9,874.8,1213.0,393.0,619.8,969.2,1149.0,902.8,871.0,1675.0,1544.0,58.0,29.7,25.8,63.3,186.8,288.2,290.3,383.9,56.5,212.6,69.3,145.8,54.3,215.1,88.6,159.0,252.2,553.8,323.0,319.4,92.5,42.9,44.4,75.3,199.9,358.2,353.7,384.6,64.7,225.2,93.5,158.5,45.8,119.1,66.5,77.0,154.5,328.4,252.8,195.3,238.5,94.1,130.1,198.9,475.3,555.4,578.1,617.8,113.1,438.4,210.3,332.3,117.9,269.3,146.0,174.6,386.1,743.3,469.6,394.6,1098.0,625.7,1019.0,1086.0,1382.0,1781.0,2149.0,2353.0,719.0,1432.0,1169.0,1205.0,1063.0,1634.0,1259.0,1019.0,1191.0,2326.0,1327.0,1123.0
