レースコード,レース日,レース場コード,レース回,艇1_選手名,艇1_枠番別勝率,艇1_枠番別平均ST,艇1_枠番別平均スタート順,艇1_過去1走_着順,艇1_過去1走_進入,艇1_過去1走_グレード,艇1_過去2走_着順,艇1_過去2走_進入,艇1_過去2走_グレード,艇1_過去3走_着順,艇1_過去3走_進入,艇1_過去3走_グレード,艇1_過去4走_着順,艇1_過去4走_進入,艇1_過去4走_グレード,艇1_過去5走_着順,艇1_過去5走_進入,艇1_過去5走_グレード,艇1_過去6走_着順,艇1_過去6走_進入,艇1_過去6走_グレード,艇1_過去7走_着順,艇1_過去7走_進入,艇1_過去7走_グレード,艇1_過去8走_着順,艇1_過去8走_進入,艇1_過去8走_グレード,艇1_過去9走_着順,艇1_過去9走_進入,艇1_過去9走_グレード,艇1_過去10走_着順,艇1_過去10走_進入,艇1_過去10走_グレード,艇2_選手名,艇2_枠番別勝率,艇2_枠番別平均ST,艇2_枠番別平均スタート順,艇2_過去1走_着順,艇2_過去1走_進入,艇2_過去1走_グレード,艇2_過去2走_着順,艇2_過去2走_進入,艇2_過去2走_グレード,艇2_過去3走_着順,艇2_過去3走_進入,艇2_過去3走_グレード,艇2_過去4走_着順,艇2_過去4走_進入,艇2_過去4走_グレード,艇2_過去5走_着順,艇2_過去5走_進入,艇2_過去5走_グレード,艇2_過去6走_着順,艇2_過去6走_進入,艇2_過去6走_グレード,艇2_過去7走_着順,艇2_過去7走_進入,艇2_過去7走_グレード,艇2_過去8走_着順,艇2_過去8走_進入,艇2_過去8走_グレード,艇2_過去9走_着順,艇2_過去9走_進入,艇2_過去9走_グレード,艇2_過去10走_着順,艇2_過去10走_進入,艇2_過去10走_グレード,艇3_選手名,艇3_枠番別勝率,艇3_枠番別平均ST,艇3_枠番別平均スタート順,艇3_過去1走_着順,艇3_過去1走_進入,艇3_過去1走_グレード,艇3_過去2走_着順,艇3_過去2走_進入,艇3_過去2走_グレード,艇3_過去3走_着順,艇3_過去3走_進入,艇3_過去3走_グレード,艇3_過去4走_着順,艇3_過去4走_進入,艇3_過去4走_グレード,艇3_過去5走_着順,艇3_過去5走_進入,艇3_過去5走_グレード,艇3_過去6走_着順,艇3_過去6走_進入,艇3_過去6走_グレード,艇3_過去7走_着順,艇3_過去7走_進入,艇3_過去7走_グレード,艇3_過去8走_着順,艇3_過去8走_進入,艇3_過去8走_グレード,艇3_過去9走_着順,艇3_過去9走_進入,艇3_過去9走_グレード,艇3_過去10走_着順,艇3_過去10走_進入,艇3_過去10走_グレード,艇4_選手名,艇4_枠番別勝率,艇4_枠番別平均ST,艇4_枠番別平均スタート順,艇4_過去1走_着順,艇4_過去1走_進入,艇4_過去1走_グレード,艇4_過去2走_着順,艇4_過去2走_進入,艇4_過去2走_グレード,艇4_過去3走_着順,艇4_過去3走_進入,艇4_過去3走_グレード,艇4_過去4走_着順,艇4_過去4走_進入,艇4_過去4走_グレード,艇4_過去5走_着順,艇4_過去5走_進入,艇4_過去5走_グレード,艇4_過去6走_着順,艇4_過去6走_進入,艇4_過去6走_グレード,艇4_過去7走_着順,艇4_過去7走_進入,艇4_過去7走_グレード,艇4_過去8走_着順,艇4_過去8走_進入,艇4_過去8走_グレード,艇4_過去9走_着順,艇4_過去9走_進入,艇4_過去9走_グレード,艇4_過去10走_着順,艇4_過去10走_進入,艇4_過去10走_グレード,艇5_選手名,艇5_枠番別勝率,艇5_枠番別平均ST,艇5_枠番別平均スタート順,艇5_過去1走_着順,艇5_過去1走_進入,艇5_過去1走_グレード,艇5_過去2走_着順,艇5_過去2走_進入,艇5_過去2走_グレード,艇5_過去3走_着順,艇5_過去3走_進入,艇5_過去3走_グレード,艇5_過去4走_着順,艇5_過去4走_進入,艇5_過去4走_グレード,艇5_過去5走_着順,艇5_過去5走_進入,艇5_過去5走_グレード,艇5_過去6走_着順,艇5_過去6走_進入,艇5_過去6走_グレード,艇5_過去7走_着順,艇5_過去7走_進入,艇5_過去7走_グレード,艇5_過去8走_着順,艇5_過去8走_進入,艇5_過去8走_グレード,艇5_過去9走_着順,艇5_過去9走_進入,艇5_過去9走_グレード,艇5_過去10走_着順,艇5_過去10走_進入,艇5_過去10走_グレード,艇6_選手名,艇6_枠番別勝率,艇6_枠番別平均ST,艇6_枠番別平均スタート順,艇6_過去1走_着順,艇6_過去1走_進入,艇6_過去1走_グレード,艇6_過去2走_着順,艇6_過去2走_進入,艇6_過去2走_グレード,艇6_過去3走_着順,艇6_過去3走_進入,艇6_過去3走_グレード,艇6_過去4走_着順,艇6_過去4走_進入,艇6_過去4走_グレード,艇6_過去5走_着順,艇6_過去5走_進入,艇6_過去5走_グレード,艇6_過去6走_着順,艇6_過去6走_進入,艇6_過去6走_グレード,艇6_過去7走_着順,艇6_過去7走_進入,艇6_過去7走_グレード,艇6_過去8走_着順,艇6_過去8走_進入,艇6_過去8走_グレード,艇6_過去9走_着順,艇6_過去9走_進入,艇6_過去9走_グレード,艇6_過去10走_着順,艇6_過去10走_進入,艇6_過去10走_グレード
202601140101,2026-01-14,01,01R,鹿島 敏弘,8.10,0.12,2.1,2,,IP,2,,IP,6,,IP,1,,IP,2,,G3,1,,IP,1,,IP,1,,IP,2,,IP,2,,IP,滝沢 崚,2.70,0.19,3.6,4,,IP,3,,IP,4,,IP,6,,IP,5,,IP,4,,IP,6,,IP,5,,IP,5,,IP,6,3,IP,大串 重幸,5.80,0.15,2.9,2,,IP,2,,IP,2,,IP,6,,IP,4,,IP,3,,IP,2,,IP,3,,IP,6,4,IP,2,,IP,杉江 浩明,3.60,0.20,4.1,6,,IP,5,,IP,6,,IP,6,6,IP,1,,IP,5,5,G3,2,,G3,3,,IP,6,,IP,4,,IP,永田 義紘,4.40,0.16,3.8,4,,IP,4,,IP,3,,IP,6,,IP,3,,IP,6,4,IP,4,,IP,5,,IP,2,,IP,2,,IP,内山 文典,2.78,0.17,3.4,3,,IP,5,,IP,5,,IP,転,,IP,6,,IP,5,,G3,5,,IP,5,,IP,4,,IP,4,,IP
202601140102,2026-01-14,01,02R,大江 純,6.30,0.14,2.7,5,2,IP,3,,IP,3,,IP,3,,IP,1,,IP,6,,IP,3,,IP,3,,IP,1,,IP,1,,IP,若林 樹蘭,5.10,0.17,3.7,1,,IP,4,,IP,3,3,IP,6,,IP,6,3,IP,1,,IP,2,,IP,3,,IP,6,,IP,5,,IP,藤生 雄人,6.00,0.16,3.6,5,,IP,5,,IP,2,,IP,3,,IP,2,,IP,2,,IP,3,4,IP,2,,IP,3,,IP,3,,IP,榎 幸司,5.50,0.19,4.9,2,,IP,5,,IP,2,,IP,3,,IP,5,5,IP,3,,IP,5,,IP,4,,IP,3,,IP,2,,IP,長畑 友輔,3.30,0.14,3.4,3,,IP,5,,IP,5,,IP,6,,IP,6,,IP,6,,IP,5,,IP,3,,IP,4,,IP,2,,IP,正木 聖賢,2.90,0.14,2.9,5,4,IP,F,2,IP,3,4,IP,5,2,IP,5,2,IP,5,4,G3,5,5,IP,4,2,IP,2,2,G3,6,4,IP
202601140103,2026-01-14,01,03R,宮地 秀祈,5.89,0.16,2.8,1,,IP,6,,IP,2,,IP,3,,IP,3,,IP,3,,IP,落,,IP,4,,IP,5,,IP,1,,IP,古川 誠之,5.90,0.16,3.8,2,,IP,3,,IP,4,,IP,4,,IP,1,1,IP,6,,IP,5,,G3,1,,G3,2,,IP,3,,IP,澁川 夏,4.25,0.13,2.2,3,,IP,4,,IP,5,,IP,5,,IP,4,,IP,3,,IP,4,,IP,3,,IP,,,,,,IP,黒井 達矢,4.40,0.21,3.7,F,,IP,4,5,IP,4,,IP,6,3,G1,6,5,IP,2,,IP,5,,IP,2,,G1,2,,IP,5,,IP,松本 浩貴,2.56,0.23,4.2,欠,,IP,4,,IP,4,,IP,5,6,IP,5,6,IP,6,3,IP,5,,IP,5,,IP,4,,IP,5,,IP,松山 裕基,3.70,0.19,3.8,2,5,IP,3,,IP,5,,IP,6,,IP,4,5,IP,4,,IP,6,,IP,4,,IP,3,,IP,6,5,IP
202601140104,2026-01-14,01,04R,河上 年昭,6.70,0.15,3.6,1,,IP,6,,IP,1,,IP,3,,G3,3,,IP,3,,IP,1,,IP,5,,IP,2,,IP,2,,IP,三原 司,3.80,0.20,3.8,5,,IP,3,,IP,1,,IP,4,,IP,転,3,IP,5,,IP,5,,IP,5,3,IP,4,,IP,3,,IP,新田 智彰,5.30,0.15,2.4,4,,IP,3,,IP,3,,IP,4,,IP,2,,IP,4,,IP,2,,IP,3,,IP,3,,IP,6,,IP,村上 功祐,5.60,0.14,2.1,4,,IP,5,,IP,4,,IP,1,5,IP,5,,IP,4,,G3,2,,IP,2,,IP,2,3,IP,3,,IP,岡崎 恭裕,5.20,0.13,1.9,3,,IP,5,,IP,4,,IP,2,,IP,5,,IP,1,,G1,6,,G2,2,,G2,4,,G2,5,,G1,吉永 泰弘,3.00,0.19,4.5,6,,IP,5,,G3,2,,G3,3,4,IP,6,,IP,6,,IP,5,,IP,5,,G3,3,,IP,6,,IP
202601140105,2026-01-14,01,05R,永田 義紘,7.60,0.17,2.9,4,,IP,2,,IP,1,,IP,3,,IP,1,,IP,4,,IP,3,,IP,2,,IP,1,,IP,1,,IP,尾形 栄治,5.20,0.21,3.8,1,,IP,5,,IP,5,,G3,4,,G3,3,,IP,3,,IP,4,,IP,2,,IP,5,,IP,2,,G3,宮崎 心之介,0.00,-,-,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,,,IP,楠 将太郎,6.80,0.18,3.4,1,,IP,2,,IP,6,,IP,1,5,IP,2,,IP,4,,IP,6,,IP,2,,IP,2,,IP,1,,IP,中村 魁生,6.40,0.12,2.0,3,,IP,5,,IP,4,,IP,3,,IP,3,,IP,2,,IP,2,,IP,1,,IP,4,2,IP,3,,G1,赤岩 善生,6.10,0.15,4.0,1,4,IP,3,2,IP,4,4,SG,1,4,SG,3,3,G1,5,2,G1,2,3,IP,6,5,G1,6,4,G1,4,2,G1
202601140106,2026-01-14,01,06R,福来 剛,9.40,0.12,1.5,2,,IP,1,,IP,1,,IP,1,,IP,2,,IP,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,吉原 聖人,2.44,0.18,3.2,欠,,IP,4,3,IP,6,,IP,5,,IP,4,1,G3,6,,G3,5,,IP,5,,IP,5,,IP,4,,IP,梶原 正,5.90,0.15,2.4,4,,IP,1,,IP,3,,IP,3,,IP,4,,IP,6,5,G3,2,4,G3,4,,IP,1,,IP,3,4,IP,國弘 翔平,4.56,0.15,3.0,5,,IP,4,,IP,3,,IP,2,,IP,転,,IP,5,,IP,2,,IP,6,,IP,3,,IP,4,,IP,藤生 雄人,4.30,0.22,3.9,2,,IP,4,,IP,6,,IP,4,,IP,3,,IP,5,,IP,1,,IP,6,,IP,3,,IP,6,,IP,大谷 直弘,4.40,0.21,5.5,3,,IP,3,5,IP,3,,IP,5,,IP,3,,IP,5,,IP,3,,IP,4,,IP,5,,IP,4,,IP
202601140107,2026-01-14,01,07R,鈴木 博,8.70,0.14,2.6,1,,IP,2,,IP,1,,IP,1,,IP,1,,IP,6,,G3,2,,G3,1,,IP,1,,IP,1,,IP,澁川 夏,5.88,0.17,3.8,6,,IP,2,,IP,1,,IP,4,,IP,4,,IP,1,,IP,3,,IP,4,,IP,,,,,,IP,宇佐見 淳,5.33,0.13,2.5,転,,IP,4,,IP,6,,G3,2,,IP,2,,IP,5,,IP,3,,IP,2,,IP,2,,G3,5,,IP,坂本 一真,3.60,0.13,2.7,5,,IP,3,,IP,6,,IP,5,,IP,3,,IP,2,6,IP,2,,IP,6,6,IP,6,,IP,6,,IP,鹿島 敏弘,3.30,0.23,4.0,3,,IP,6,,IP,4,,IP,5,,IP,3,,IP,3,4,G3,6,,G3,6,,G2,4,,IP,6,,IP,長畑 友輔,2.50,0.16,3.2,5,,IP,5,,IP,6,,IP,3,,IP,5,,IP,3,5,IP,4,,IP,6,,IP,6,,IP,F,,IP
202601140108,2026-01-14,01,08R,長谷川 晴哉,7.70,0.15,2.8,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,5,,IP,5,,G3,1,,G3,4,,IP,新田 智彰,4.80,0.20,3.3,2,,IP,4,4,IP,3,,IP,6,,IP,6,,IP,3,,IP,2,,IP,3,,IP,5,3,IP,3,,IP,滝沢 崚,2.60,0.16,3.3,4,,IP,4,,IP,6,,IP,6,4,IP,3,,IP,4,,IP,5,4,IP,6,,IP,6,,IP,5,,IP,松本 浩貴,3.70,0.19,4.5,4,5,IP,6,,IP,2,,IP,5,,IP,3,3,IP,6,,IP,5,,IP,4,6,IP,2,,IP,6,,IP,小池 修平,6.50,0.14,4.0,5,,IP,1,,IP,5,,G1,2,,G1,3,,SG,3,,SG,2,,IP,2,,IP,3,,G1,6,,G1,川上 清人,2.70,0.23,4.8,6,,IP,6,,IP,1,5,IP,5,,IP,3,,IP,5,,IP,5,5,IP,6,,IP,6,,IP,6,,IP
202601140109,2026-01-14,01,09R,若林 樹蘭,9.40,0.20,3.8,1,,IP,1,,IP,3,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,1,,IP,2,,IP,岡崎 恭裕,6.00,0.11,3.2,2,,IP,6,,IP,1,,IP,5,,IP,2,6,G1,2,,G1,5,,G2,6,,G2,3,,G2,2,3,G1,楠原 正剛,5.50,0.16,2.9,6,,IP,1,,IP,4,,G3,4,2,G3,3,,IP,2,,IP,5,,IP,3,,IP,2,,IP,3,,G3,尾形 栄治,3.30,0.24,5.1,5,,IP,6,,IP,4,,G3,2,,IP,6,,IP,3,,IP,6,,IP,5,,IP,3,,G3,5,,G3,大串 重幸,5.00,0.14,2.9,6,,IP,2,,IP,6,,IP,4,,IP,2,4,IP,3,,IP,3,,IP,2,,IP,5,,IP,3,,IP,黒井 達矢,5.70,0.18,3.6,5,5,IP,4,,IP,3,,IP,3,,IP,3,,IP,2,5,IP,3,,G1,2,,IP,3,,G1,5,,G1
202601140110,2026-01-14,01,10R,楠 将太郎,5.50,0.22,3.6,4,,IP,1,,IP,1,,IP,3,,IP,4,,IP,転,,IP,5,,IP,1,,IP,6,,IP,2,,IP,木下 大將,7.70,0.14,2.2,1,,IP,1,,IP,4,4,IP,3,,IP,2,,IP,1,,IP,6,,IP,2,,IP,1,3,IP,1,1,IP,重成 一人,5.80,0.15,2.8,2,,IP,4,,G1,1,,G1,5,,IP,3,,IP,4,,IP,3,,IP,6,,IP,4,,G1,2,,G1,前沢 丈史,7.00,0.11,2.7,1,,IP,2,,IP,3,,IP,2,5,IP,2,,IP,3,,IP,3,,IP,1,,IP,5,,G3,3,5,IP,大谷 直弘,3.50,0.19,4.1,5,,IP,4,,IP,5,,IP,5,,IP,2,,IP,3,,IP,4,,IP,6,,IP,5,,IP,5,,IP,亀山 雅幸,4.90,0.21,4.3,5,,IP,3,,IP,5,,IP,3,,IP,2,,IP,2,5,IP,3,,IP,5,,IP,6,5,IP,2,,IP
