date,race_code,venue,race,day_cat,score3,p3,composite_odds,tickets,hit,return
2026-08-03,202608031907,19,07R,初日,67.77,0.1513,5.0,9,0,0
2026-08-04,202608041003,10,03R,初日,66.94,0.1474,5.01,3,0,0
2026-08-04,202608042108,21,08R,3日目以降,66.98,0.1477,5.04,5,0,0
2026-08-05,202608051004,10,04R,2日目,66.3,0.145,5.0,3,0,0
2026-08-05,202608051709,17,09R,3日目以降,71.32,0.167,5.05,10,1,34300
2026-08-06,202608061207,12,07R,3日目以降,67.5,0.1502,5.01,7,0,0
2026-08-06,202608061209,12,09R,3日目以降,70.27,0.1629,5.22,5,0,0
2026-08-06,202608061407,14,07R,2日目,69.61,0.1594,5.22,7,0,0
2026-08-06,202608061703,17,03R,3日目以降,82.35,0.118,5.0,5,0,0
2026-08-06,202608061706,17,06R,3日目以降,67.46,0.15,5.08,8,1,7100
2026-08-06,202608062406,24,06R,初日,66.02,0.1443,5.02,6,0,0
2026-08-07,202608070404,04,04R,3日目以降,65.71,0.1431,5.04,7,0,0
2026-08-07,202608071406,14,06R,3日目以降,73.69,0.1735,5.01,12,0,0
2026-08-07,202608071805,18,05R,2日目,67.45,0.15,5.05,16,1,29150
2026-08-08,202608080208,02,08R,3日目以降,65.74,0.1432,5.12,8,0,0
2026-08-09,202608090303,03,03R,初日,67.3,0.1493,5.03,7,0,0
2026-08-09,202608090307,03,07R,初日,65.98,0.1441,5.03,6,0,0
2026-08-09,202608091605,16,05R,2日目,71.47,0.1674,5.04,6,0,0
2026-08-09,202608091806,18,06R,3日目以降,65.22,0.142,5.06,6,0,0
2026-08-10,202608100808,08,08R,初日,66.88,0.1471,5.01,15,1,30690
2026-08-10,202608101603,16,03R,3日目以降,66.59,0.1459,5.05,13,1,14010
2026-08-11,202608110509,05,09R,3日目以降,65.59,0.1427,5.06,7,0,0
2026-08-11,202608112310,23,10R,3日目以降,76.91,0.1762,5.02,13,0,0
2026-08-12,202608120107,01,07R,2日目,67.08,0.1482,5.03,4,0,0
2026-08-12,202608121308,13,08R,3日目以降,65.0,0.1413,5.03,12,0,0
2026-08-12,202608121312,13,12R,3日目以降,66.06,0.1443,7.72,20,0,0
2026-08-12,202608122103,21,03R,3日目以降,65.46,0.1425,5.02,12,0,0
2026-08-12,202608122307,23,07R,3日目以降,66.11,0.1444,5.31,4,0,0
2026-08-13,202608131309,13,09R,3日目以降,66.32,0.145,5.0,5,0,0
2026-08-14,202608140101,01,01R,3日目以降,67.85,0.1517,5.06,18,0,0
2026-08-14,202608140102,01,02R,3日目以降,65.81,0.1436,5.17,20,1,26040
2026-08-14,202608140403,04,03R,3日目以降,70.09,0.1617,5.03,8,0,0
2026-08-14,202608142408,24,08R,3日目以降,65.84,0.1437,5.01,6,1,27800
2026-08-15,202608150506,05,06R,初日,69.23,0.1572,5.05,7,0,0
2026-08-15,202608150602,06,02R,3日目以降,71.58,0.1676,5.25,12,0,0
2026-08-15,202608151203,12,03R,3日目以降,66.34,0.1451,5.0,4,0,0
