date,race_code,venue,race,day_cat,score3,p3,tickets,composite_odds,hit,return
2026-08-03,202608030102,01,02R,3日目以降,60.19,0.1351,3,39.64,0,0
2026-08-03,202608030411,04,11R,初日,60.4,0.1353,4,36.26,0,0
2026-08-03,202608030501,05,01R,3日目以降,60.55,0.1356,4,26.32,0,0
2026-08-03,202608031307,13,07R,3日目以降,61.6,0.1364,7,28.55,0,0
2026-08-03,202608031709,17,09R,初日,60.72,0.1359,8,26.04,0,0
2026-08-03,202608031907,19,07R,初日,67.77,0.1513,4,37.17,0,0
2026-08-03,202608032104,21,04R,2日目,60.21,0.1352,13,20.84,0,0
2026-08-04,202608042103,21,03R,3日目以降,62.28,0.1365,2,94.4,0,0
2026-08-04,202608042108,21,08R,3日目以降,66.98,0.1477,5,24.19,0,0
2026-08-05,202608050609,06,09R,3日目以降,63.59,0.1376,5,42.34,0,0
2026-08-05,202608051004,10,04R,2日目,66.3,0.145,7,27.1,0,0
2026-08-05,202608051010,10,10R,2日目,61.36,0.1363,1,69.2,0,0
2026-08-05,202608051707,17,07R,3日目以降,64.35,0.1396,9,24.11,0,0
2026-08-05,202608051709,17,09R,3日目以降,71.32,0.167,4,36.03,1,19600
2026-08-06,202608060203,02,03R,初日,60.53,0.1356,2,44.43,0,0
2026-08-06,202608060406,04,06R,3日目以降,63.0,0.1369,8,21.69,0,0
2026-08-06,202608061207,12,07R,3日目以降,67.5,0.1502,5,24.63,0,0
2026-08-06,202608061706,17,06R,3日目以降,67.46,0.15,4,48.91,0,0
2026-08-07,202608070404,04,04R,3日目以降,65.71,0.1431,1,261.3,0,0
2026-08-07,202608071010,10,10R,3日目以降,61.65,0.1364,3,55.16,0,0
2026-08-07,202608071203,12,03R,3日目以降,63.33,0.1374,4,28.95,0,0
2026-08-07,202608071209,12,09R,3日目以降,62.93,0.1369,3,80.07,0,0
2026-08-07,202608071211,12,11R,3日目以降,64.1,0.139,15,15.26,0,0
2026-08-07,202608071406,14,06R,3日目以降,73.69,0.1735,8,28.62,0,0
2026-08-07,202608071805,18,05R,2日目,67.45,0.15,9,15.33,1,5830
2026-08-07,202608071909,19,09R,3日目以降,64.74,0.1405,9,34.37,0,0
2026-08-07,202608071910,19,10R,3日目以降,61.84,0.1366,9,29.37,0,0
2026-08-08,202608081608,16,08R,初日,63.4,0.1375,6,55.21,0,0
2026-08-08,202608081706,17,06R,3日目以降,63.64,0.1377,6,22.02,0,0
2026-08-08,202608081909,19,09R,3日目以降,62.45,0.1366,3,37.63,0,0
2026-08-08,202608082402,24,02R,3日目以降,64.3,0.1394,5,29.72,0,0
2026-08-09,202608090303,03,03R,初日,67.3,0.1493,4,26.93,0,0
2026-08-09,202608090307,03,07R,初日,65.98,0.1441,3,32.41,0,0
2026-08-09,202608091208,12,08R,3日目以降,61.54,0.1364,13,19.39,0,0
2026-08-09,202608091402,14,02R,3日目以降,61.27,0.1362,5,25.57,0,0
2026-08-09,202608091605,16,05R,2日目,71.47,0.1674,1,192.3,0,0
2026-08-10,202608100808,08,08R,初日,66.88,0.1471,10,24.36,1,30690
2026-08-10,202608101310,13,10R,2日目,63.87,0.1383,7,45.42,0,0
2026-08-10,202608101404,14,04R,3日目以降,61.98,0.1366,9,17.89,0,0
2026-08-10,202608101603,16,03R,3日目以降,66.59,0.1459,3,33.57,0,0
2026-08-10,202608101608,16,08R,3日目以降,60.06,0.1348,12,14.23,0,0
2026-08-10,202608102007,20,07R,3日目以降,63.25,0.1372,9,25.23,0,0
2026-08-10,202608102307,23,07R,2日目,63.62,0.1378,1,141.9,0,0
2026-08-11,202608111311,13,11R,3日目以降,60.48,0.1356,14,26.3,0,0
2026-08-11,202608111805,18,05R,3日目以降,60.02,0.1347,15,25.27,0,0
2026-08-11,202608112310,23,10R,3日目以降,76.91,0.1762,5,32.22,0,0
2026-08-12,202608120107,01,07R,2日目,67.08,0.1482,4,43.71,0,0
2026-08-12,202608120204,02,04R,初日,61.8,0.1365,3,38.81,0,0
2026-08-12,202608120301,03,01R,3日目以降,62.82,0.1369,1,322.1,0,0
2026-08-12,202608120605,06,05R,2日目,63.55,0.1377,7,31.14,0,0
2026-08-12,202608120702,07,02R,2日目,60.66,0.1359,6,24.24,0,0
2026-08-12,202608121308,13,08R,3日目以降,65.0,0.1413,5,52.36,0,0
2026-08-12,202608121312,13,12R,3日目以降,66.06,0.1443,15,17.79,0,0
2026-08-12,202608121902,19,02R,2日目,60.22,0.1352,12,17.9,0,0
2026-08-12,202608122103,21,03R,3日目以降,65.46,0.1425,6,38.09,0,0
2026-08-12,202608122302,23,02R,3日目以降,64.77,0.1407,9,43.48,0,0
2026-08-13,202608131309,13,09R,3日目以降,66.32,0.145,6,53.8,0,0
2026-08-14,202608140101,01,01R,3日目以降,67.85,0.1517,7,18.92,0,0
2026-08-14,202608140102,01,02R,3日目以降,65.81,0.1436,8,20.18,0,0
2026-08-14,202608140403,04,03R,3日目以降,70.09,0.1617,5,28.46,0,0
2026-08-14,202608140605,06,05R,3日目以降,60.3,0.1352,8,19.13,0,0
2026-08-14,202608140609,06,09R,3日目以降,63.12,0.1369,7,23.54,0,0
2026-08-14,202608141009,10,09R,初日,61.38,0.1363,2,91.29,0,0
2026-08-14,202608141305,13,05R,3日目以降,63.55,0.1377,15,21.86,0,0
2026-08-14,202608141907,19,07R,3日目以降,60.69,0.1359,10,21.5,0,0
2026-08-14,202608142408,24,08R,3日目以降,65.84,0.1437,7,33.23,0,0
2026-08-15,202608150506,05,06R,初日,69.23,0.1572,6,39.89,0,0
2026-08-15,202608150602,06,02R,3日目以降,71.58,0.1676,5,26.17,0,0
2026-08-15,202608151006,10,06R,2日目,61.24,0.1363,5,38.98,0,0
2026-08-15,202608151010,10,10R,2日目,63.12,0.137,8,15.19,1,44680
2026-08-15,202608151203,12,03R,3日目以降,66.34,0.1451,5,44.7,0,0
2026-08-15,202608151809,18,09R,初日,62.83,0.1369,8,26.4,0,0
2026-08-15,202608151904,19,04R,3日目以降,73.55,0.1727,11,13.69,0,0
2026-08-15,202608152103,21,03R,3日目以降,60.01,0.1347,5,58.89,0,0
2026-08-15,202608152403,24,03R,3日目以降,63.67,0.1379,10,19.27,0,0
2026-08-16,202608160403,04,03R,3日目以降,69.21,0.157,10,16.66,0,0
2026-08-16,202608160506,05,06R,2日目,62.84,0.1369,4,39.08,0,0
2026-08-16,202608160901,09,01R,2日目,61.66,0.1364,15,22.36,0,0
2026-08-16,202608160905,09,05R,2日目,63.46,0.1376,8,33.09,0,0
2026-08-16,202608161805,18,05R,2日目,69.64,0.1596,15,15.05,0,0
2026-08-16,202608162406,24,06R,3日目以降,63.29,0.1373,11,23.19,0,0
2026-08-17,202608171207,12,07R,3日目以降,64.08,0.1389,13,13.47,0,0
2026-08-17,202608171406,14,06R,2日目,61.17,0.1362,1,166.2,0,0
2026-08-17,202608171712,17,12R,3日目以降,61.22,0.1362,14,17.6,0,0
2026-08-17,202608171806,18,06R,3日目以降,61.16,0.1362,2,155.19,0,0
2026-08-17,202608171810,18,10R,3日目以降,64.68,0.1404,8,32.36,0,0
2026-08-18,202608180501,05,01R,3日目以降,70.48,0.1635,3,28.43,0,0
2026-08-18,202608180507,05,07R,3日目以降,61.19,0.1362,7,26.17,0,0
2026-08-18,202608181101,11,01R,3日目以降,71.82,0.1682,8,18.75,0,0
2026-08-18,202608181507,15,07R,2日目,68.02,0.1524,5,31.6,0,0
2026-08-18,202608181509,15,09R,2日目,60.21,0.1352,5,46.73,0,0
2026-08-18,202608181608,16,08R,初日,60.68,0.1358,7,31.43,0,0
2026-08-18,202608181805,18,05R,3日目以降,63.12,0.137,13,16.21,0,0
2026-08-18,202608181811,18,11R,3日目以降,71.02,0.1659,8,22.11,0,0
2026-08-18,202608182001,20,01R,2日目,65.75,0.1433,2,40.77,0,0
2026-08-19,202608190509,05,09R,3日目以降,69.99,0.161,11,23.07,0,0
2026-08-19,202608191008,10,08R,3日目以降,63.57,0.1376,8,23.91,0,0
2026-08-19,202608191506,15,06R,3日目以降,61.09,0.1362,3,52.07,0,0
2026-08-19,202608191606,16,06R,2日目,60.42,0.1354,7,49.79,0,0
2026-08-19,202608191608,16,08R,2日目,60.77,0.1358,5,22.73,0,0
2026-08-19,202608191705,17,05R,3日目以降,64.67,0.1404,15,14.85,0,0
2026-08-19,202608191805,18,05R,3日目以降,63.94,0.1386,2,44.34,0,0
2026-08-20,202608201301,13,01R,3日目以降,72.04,0.1685,1,186.4,0,0
2026-08-20,202608201504,15,04R,3日目以降,69.55,0.1591,5,28.12,0,0
2026-08-20,202608201608,16,08R,3日目以降,61.95,0.1366,11,26.49,0,0
2026-08-20,202608201902,19,02R,2日目,60.8,0.1359,6,25.0,0,0
2026-08-21,202608210212,02,12R,2日目,63.85,0.1383,6,25.91,0,0
2026-08-21,202608211301,13,01R,3日目以降,70.75,0.1647,1,136.3,0,0
