date,race_code,venue,race,day_cat,score3,p3,st_edge,motor_attack,inside_weak,attack3,stretch,tickets,composite_odds,head_hit,bet_hit,return
2026-08-05,202608051709,17,09R,3日目以降,71.32,0.167,0.592,0.697,0.583,0.903,0.634,10,5.05,1,1,34300
2026-08-06,202608061209,12,09R,3日目以降,70.27,0.1629,0.817,0.88,0.083,0.93,1,5,5.22,0,0,0
2026-08-06,202608061407,14,07R,2日目,69.61,0.1594,1.0,0.59,0.3,1,0.455,7,5.22,0,0,0
2026-08-06,202608061703,17,03R,3日目以降,82.35,0.118,1.0,0.766,0.35,1,0.983,5,5.0,1,0,0
2026-08-07,202608071406,14,06R,3日目以降,73.69,0.1735,0.925,0.718,0.45,1,0.871,12,5.01,1,0,0
2026-08-09,202608091605,16,05R,2日目,71.47,0.1674,0.85,0.745,0.267,0.984,0.668,6,5.04,1,0,0
2026-08-11,202608112310,23,10R,3日目以降,76.91,0.1762,0.833,0.77,0.417,1,0.834,13,5.02,1,0,0
2026-08-14,202608140403,04,03R,3日目以降,70.09,0.1617,1.0,0.843,0.065,1,0.5,8,5.03,0,0,0
2026-08-15,202608150506,05,06R,初日,69.23,0.1572,1.0,0.591,0.283,0.921,0.811,7,5.05,0,0,0
2026-08-15,202608150602,06,02R,3日目以降,71.58,0.1676,1.0,0.622,0.3,0.957,0.543,12,5.25,0,0,0
2026-08-15,202608151904,19,04R,3日目以降,73.55,0.1727,1.0,0.578,0.667,0.737,0.863,17,5.04,0,0,0
2026-08-15,202608152405,24,05R,3日目以降,74.79,0.1763,1.0,0.49,0.547,1,0.252,6,5.13,0,0,0
2026-08-16,202608160403,04,03R,3日目以降,69.21,0.157,0.925,0.788,0,0.948,0.432,8,5.0,0,0,0
2026-08-16,202608161805,18,05R,2日目,69.64,0.1596,1.0,0.83,0,0.827,1,20,5.8,0,0,0
2026-08-18,202608180501,05,01R,3日目以降,70.48,0.1635,0.55,0.849,0.7,1,0.671,8,5.1,0,0,0
2026-08-18,202608181101,11,01R,3日目以降,71.82,0.1682,0.925,0.714,0.75,0.589,0.471,9,5.02,0,0,0
2026-08-18,202608181507,15,07R,2日目,68.02,0.1524,0.925,0.449,0.017,1,0.24,12,5.05,1,0,0
2026-08-18,202608181811,18,11R,3日目以降,71.02,0.1659,1.0,0.535,0.433,0.921,0.35,9,5.02,0,0,0
2026-08-19,202608190509,05,09R,3日目以降,69.99,0.161,1.0,0.873,0,1,0.794,13,5.0,0,0,0
2026-08-20,202608201301,13,01R,3日目以降,72.04,0.1685,0.7,0.751,0.713,0.773,0.88,4,5.01,1,0,0
2026-08-20,202608201504,15,04R,3日目以降,69.55,0.1591,1.0,0.53,0.083,1,0.649,5,5.04,0,0,0
2026-08-21,202608211301,13,01R,3日目以降,70.75,0.1647,1.0,0.638,0.3,0.719,0.67,3,5.01,1,0,0
2026-08-21,202608212404,24,04R,2日目,71.39,0.1673,0.925,0.755,0,1,0.727,5,5.02,0,0,0
2026-08-21,202608212409,24,09R,2日目,75.53,0.1766,0.925,0.743,0.6,0.912,0.729,8,5.02,0,0,0
2026-08-22,202608220405,04,05R,3日目以降,70.97,0.1656,1.0,0.688,0.55,1,0.357,16,5.02,0,0,0
2026-08-22,202608220407,04,07R,3日目以降,69.36,0.1579,0.925,0.929,0,0.773,0.94,6,5.13,0,0,0
2026-08-22,202608222202,22,02R,初日,70.23,0.1626,0.925,0.591,0.433,0.966,0.5,9,5.05,0,0,0
2026-08-23,202608230401,04,01R,3日目以降,68.24,0.1531,0.775,0.778,0.167,1,0.808,7,5.05,0,0,0
2026-08-23,202608232411,24,11R,3日目以降,69.11,0.1566,0.925,0.742,0,1,0.663,20,9.44,0,1,47080
2026-08-26,202608260606,06,06R,3日目以降,69.82,0.1605,1.0,0.473,0.217,0.939,0.774,4,5.16,0,0,0
2026-08-26,202608260904,09,04R,2日目,73.97,0.1746,0.925,0.56,0.533,0.975,0.438,10,5.04,0,1,18880
2026-08-26,202608261301,13,01R,3日目以降,70.08,0.1616,0.7,0.726,0.233,0.975,1,2,5.02,0,0,0
2026-08-27,202608270909,09,09R,3日目以降,72.29,0.1694,0.85,0.726,0,0.993,0.834,9,5.07,0,0,0
2026-08-28,202608280704,07,04R,2日目,68.56,0.1541,1.0,0.78,0.517,0.8,0.703,12,5.06,0,0,0
2026-09-01,202609011612,16,12R,3日目以降,69.33,0.1578,0.925,0.74,0,0.975,1,11,5.01,0,0,0
