date,race_code,venue,race,score3,p3,tickets,composite_odds,head_hit,bet_hit,return
2026-08-05,202608051709,17,09R,71.32,0.167,3,5.04,1,0,0
2026-08-06,202608061209,12,09R,70.27,0.1629,2,5.07,0,0,0
2026-08-06,202608061407,14,07R,69.61,0.1594,3,5.2,0,0,0
2026-08-06,202608061703,17,03R,82.35,0.118,5,5.0,1,0,0
2026-08-07,202608071406,14,06R,73.69,0.1735,9,5.01,1,0,0
2026-08-09,202608091605,16,05R,71.47,0.1674,4,5.13,1,0,0
2026-08-11,202608112310,23,10R,76.91,0.1762,3,5.05,1,0,0
2026-08-14,202608140403,04,03R,70.09,0.1617,5,5.07,0,0,0
2026-08-15,202608150506,05,06R,69.23,0.1572,4,5.0,0,0,0
2026-08-15,202608150602,06,02R,71.58,0.1676,8,5.09,0,0,0
2026-08-15,202608151904,19,04R,73.55,0.1727,9,5.32,0,0,0
2026-08-15,202608152405,24,05R,74.79,0.1763,5,5.22,0,0,0
2026-08-16,202608160403,04,03R,69.21,0.157,7,5.0,0,0,0
2026-08-16,202608161805,18,05R,69.64,0.1596,9,7.04,0,0,0
2026-08-18,202608180501,05,01R,70.48,0.1635,7,5.05,0,0,0
2026-08-18,202608181101,11,01R,71.82,0.1682,4,5.0,0,0,0
2026-08-18,202608181507,15,07R,68.02,0.1524,3,5.04,1,1,23240
2026-08-18,202608181811,18,11R,71.02,0.1659,4,5.02,0,0,0
2026-08-19,202608190509,05,09R,69.99,0.161,9,5.73,0,0,0
2026-08-20,202608201301,13,01R,72.04,0.1685,4,5.01,1,0,0
2026-08-20,202608201504,15,04R,69.55,0.1591,5,5.04,0,0,0
2026-08-21,202608211301,13,01R,70.75,0.1647,3,5.07,1,0,0
2026-08-21,202608212404,24,04R,71.39,0.1673,5,5.04,0,0,0
2026-08-21,202608212409,24,09R,75.53,0.1766,4,5.18,0,1,23800
2026-08-22,202608220405,04,05R,70.97,0.1656,9,5.07,0,0,0
2026-08-22,202608220407,04,07R,69.36,0.1579,5,5.22,0,0,0
2026-08-22,202608222202,22,02R,70.23,0.1626,7,5.05,0,0,0
2026-08-23,202608230401,04,01R,68.24,0.1531,5,5.08,0,0,0
2026-08-23,202608232411,24,11R,69.11,0.1566,9,12.96,0,0,0
2026-08-26,202608260606,06,06R,69.82,0.1605,4,5.16,0,0,0
2026-08-26,202608260904,09,04R,73.97,0.1746,4,5.07,0,0,0
2026-08-26,202608261301,13,01R,70.08,0.1616,2,5.02,0,0,0
2026-08-27,202608270909,09,09R,72.29,0.1694,8,5.07,0,0,0
2026-08-28,202608280704,07,04R,68.56,0.1541,6,5.03,0,0,0
2026-09-01,202609011612,16,12R,69.33,0.1578,9,5.18,0,0,0
