strategy,date,race_code,venue,race,score3,rank,tickets,stake,actual,hit,return
①現行v13,2026-08-05,202608051709,17,09R,71.32,B,10,5000,3-1-2,1,34300
①現行v13,2026-08-06,202608061209,12,09R,70.27,B,5,5000,5-3-4,0,0
①現行v13,2026-08-06,202608061407,14,07R,69.61,B,7,5000,3-6-1,0,0
①現行v13,2026-08-06,202608061703,17,03R,82.35,A,5,5000,3-5-4,0,0
①現行v13,2026-08-07,202608071406,14,06R,73.69,A,12,5000,3-2-5,0,0
①現行v13,2026-08-09,202608091605,16,05R,71.47,B,6,5000,3-2-6,0,0
①現行v13,2026-08-11,202608112310,23,10R,76.91,A,13,5000,3-4-5,0,0
①現行v13,2026-08-14,202608140403,04,03R,70.09,B,8,5000,2-3-1,0,0
①現行v13,2026-08-15,202608150506,05,06R,69.23,B,7,5000,1-3-5,0,0
①現行v13,2026-08-15,202608150602,06,02R,71.58,B,12,5000,1-3-5,0,0
①現行v13,2026-08-15,202608151904,19,04R,73.55,A,17,5000,1-2-4,0,0
①現行v13,2026-08-15,202608152405,24,05R,74.79,A,6,5000,1-2-3,0,0
①現行v13,2026-08-16,202608160403,04,03R,69.21,B,8,5000,2-5-1,0,0
①現行v13,2026-08-16,202608161805,18,05R,69.64,B,20,5000,1-2-3,0,0
①現行v13,2026-08-18,202608180501,05,01R,70.48,B,8,5000,2-1-4,0,0
①現行v13,2026-08-18,202608181101,11,01R,71.82,B,9,5000,3-2-5,0,0
①現行v13,2026-08-18,202608181507,15,07R,68.02,B,12,5000,3-1-6,0,0
①現行v13,2026-08-18,202608181811,18,11R,71.02,B,9,5000,4-3-1,0,0
①現行v13,2026-08-19,202608190509,05,09R,69.99,B,13,5000,4-2-5,0,0
①現行v13,2026-08-20,202608201301,13,01R,72.04,A,4,5000,3-5-2,0,0
①現行v13,2026-08-20,202608201504,15,04R,69.55,B,5,5000,1-2-5,0,0
①現行v13,2026-08-21,202608211301,13,01R,70.75,B,3,5000,3-1-2,0,0
①現行v13,2026-08-21,202608212404,24,04R,71.39,B,5,5000,3-2-5,0,0
①現行v13,2026-08-21,202608212409,24,09R,75.53,A,8,5000,3-4-2,0,0
①現行v13,2026-08-22,202608220405,04,05R,70.97,B,16,5000,2-4-5,0,0
①現行v13,2026-08-22,202608220407,04,07R,69.36,B,6,5000,1-5-3,0,0
①現行v13,2026-08-22,202608222202,22,02R,70.23,B,9,5000,3-2-5,0,0
①現行v13,2026-08-23,202608230401,04,01R,68.24,B,7,5000,1-3-5,0,0
①現行v13,2026-08-23,202608232411,24,11R,69.11,B,20,5000,3-2-6,1,47080
①現行v13,2026-08-26,202608260606,06,06R,69.82,B,4,5000,1-3-4,0,0
①現行v13,2026-08-26,202608260904,09,04R,73.97,A,10,5000,3-4-2,1,18880
①現行v13,2026-08-26,202608261301,13,01R,70.08,B,2,5000,2-1-3,0,0
①現行v13,2026-08-27,202608270909,09,09R,72.29,A,9,5000,1-3-6,0,0
①現行v13,2026-08-28,202608280704,07,04R,68.56,B,12,5000,1-6-3,0,0
①現行v13,2026-09-01,202609011612,16,12R,69.33,B,11,5000,5-3-4,0,0
②A限定,2026-08-06,202608061703,17,03R,82.35,A,5,5000,3-5-4,0,0
②A限定,2026-08-07,202608071406,14,06R,73.69,A,12,5000,3-2-5,0,0
②A限定,2026-08-11,202608112310,23,10R,76.91,A,13,5000,3-4-5,0,0
②A限定,2026-08-15,202608151904,19,04R,73.55,A,17,5000,1-2-4,0,0
②A限定,2026-08-15,202608152405,24,05R,74.79,A,6,5000,1-2-3,0,0
②A限定,2026-08-20,202608201301,13,01R,72.04,A,4,5000,3-5-2,0,0
②A限定,2026-08-21,202608212409,24,09R,75.53,A,8,5000,3-4-2,0,0
②A限定,2026-08-26,202608260904,09,04R,73.97,A,10,5000,3-4-2,1,18880
②A限定,2026-08-27,202608270909,09,09R,72.29,A,9,5000,1-3-6,0,0
③A5000/B2000,2026-08-05,202608051709,17,09R,71.32,B,10,2000,3-1-2,1,14700
③A5000/B2000,2026-08-06,202608061209,12,09R,70.27,B,5,2000,5-3-4,0,0
③A5000/B2000,2026-08-06,202608061407,14,07R,69.61,B,7,2000,3-6-1,0,0
③A5000/B2000,2026-08-06,202608061703,17,03R,82.35,A,5,5000,3-5-4,0,0
③A5000/B2000,2026-08-07,202608071406,14,06R,73.69,A,12,5000,3-2-5,0,0
③A5000/B2000,2026-08-09,202608091605,16,05R,71.47,B,6,2000,3-2-6,0,0
③A5000/B2000,2026-08-11,202608112310,23,10R,76.91,A,13,5000,3-4-5,0,0
③A5000/B2000,2026-08-14,202608140403,04,03R,70.09,B,8,2000,2-3-1,0,0
③A5000/B2000,2026-08-15,202608150506,05,06R,69.23,B,7,2000,1-3-5,0,0
③A5000/B2000,2026-08-15,202608150602,06,02R,71.58,B,12,2000,1-3-5,0,0
③A5000/B2000,2026-08-15,202608151904,19,04R,73.55,A,17,5000,1-2-4,0,0
③A5000/B2000,2026-08-15,202608152405,24,05R,74.79,A,6,5000,1-2-3,0,0
③A5000/B2000,2026-08-16,202608160403,04,03R,69.21,B,8,2000,2-5-1,0,0
③A5000/B2000,2026-08-16,202608161805,18,05R,69.64,B,20,2000,1-2-3,0,0
③A5000/B2000,2026-08-18,202608180501,05,01R,70.48,B,8,2000,2-1-4,0,0
③A5000/B2000,2026-08-18,202608181101,11,01R,71.82,B,9,2000,3-2-5,0,0
③A5000/B2000,2026-08-18,202608181507,15,07R,68.02,B,12,2000,3-1-6,0,0
③A5000/B2000,2026-08-18,202608181811,18,11R,71.02,B,9,2000,4-3-1,0,0
③A5000/B2000,2026-08-19,202608190509,05,09R,69.99,B,13,2000,4-2-5,0,0
③A5000/B2000,2026-08-20,202608201301,13,01R,72.04,A,4,5000,3-5-2,0,0
③A5000/B2000,2026-08-20,202608201504,15,04R,69.55,B,5,2000,1-2-5,0,0
③A5000/B2000,2026-08-21,202608211301,13,01R,70.75,B,3,2000,3-1-2,0,0
③A5000/B2000,2026-08-21,202608212404,24,04R,71.39,B,5,2000,3-2-5,0,0
③A5000/B2000,2026-08-21,202608212409,24,09R,75.53,A,8,5000,3-4-2,0,0
③A5000/B2000,2026-08-22,202608220405,04,05R,70.97,B,16,2000,2-4-5,0,0
③A5000/B2000,2026-08-22,202608220407,04,07R,69.36,B,6,2000,1-5-3,0,0
③A5000/B2000,2026-08-22,202608222202,22,02R,70.23,B,9,2000,3-2-5,0,0
③A5000/B2000,2026-08-23,202608230401,04,01R,68.24,B,7,2000,1-3-5,0,0
③A5000/B2000,2026-08-23,202608232411,24,11R,69.11,B,20,2000,3-2-6,1,23540
③A5000/B2000,2026-08-26,202608260606,06,06R,69.82,B,4,2000,1-3-4,0,0
③A5000/B2000,2026-08-26,202608260904,09,04R,73.97,A,10,5000,3-4-2,1,18880
③A5000/B2000,2026-08-26,202608261301,13,01R,70.08,B,2,2000,2-1-3,0,0
③A5000/B2000,2026-08-27,202608270909,09,09R,72.29,A,9,5000,1-3-6,0,0
③A5000/B2000,2026-08-28,202608280704,07,04R,68.56,B,12,2000,1-6-3,0,0
③A5000/B2000,2026-09-01,202609011612,16,12R,69.33,B,11,2000,5-3-4,0,0
④A限定+3-1/3-4厚張り,2026-08-06,202608061703,17,03R,82.35,A,5,5000,3-5-4,0,0
④A限定+3-1/3-4厚張り,2026-08-07,202608071406,14,06R,73.69,A,12,5000,3-2-5,0,0
④A限定+3-1/3-4厚張り,2026-08-11,202608112310,23,10R,76.91,A,13,5000,3-4-5,0,0
④A限定+3-1/3-4厚張り,2026-08-15,202608151904,19,04R,73.55,A,17,5000,1-2-4,0,0
④A限定+3-1/3-4厚張り,2026-08-15,202608152405,24,05R,74.79,A,6,5000,1-2-3,0,0
④A限定+3-1/3-4厚張り,2026-08-20,202608201301,13,01R,72.04,A,4,3600,3-5-2,0,0
④A限定+3-1/3-4厚張り,2026-08-21,202608212409,24,09R,75.53,A,8,5000,3-4-2,0,0
④A限定+3-1/3-4厚張り,2026-08-26,202608260904,09,04R,73.97,A,10,5000,3-4-2,1,18880
④A限定+3-1/3-4厚張り,2026-08-27,202608270909,09,09R,72.29,A,9,5000,1-3-6,0,0
