date,race_code,venue,race,score3,strength3,st_edge,wallweak2,p3,tickets,composite_odds,head_hit,bet_hit,return
2026-08-03,202608030102,01,02R,60.19,0.5,0.667,0.557,0.1351,16,5.13,0,0,0
2026-08-03,202608030411,04,11R,60.4,0.781,0.925,0.646,0.1353,11,5.07,0,0,0
2026-08-03,202608030611,06,11R,48.0,0.68,0.85,0.78,0.0843,12,5.01,0,0,0
2026-08-03,202608031301,13,01R,53.98,0.575,0.775,0.633,0.1107,5,5.0,0,0,0
2026-08-03,202608031907,19,07R,67.77,0.811,1.0,0.609,0.1513,9,5.0,1,0,0
2026-08-04,202608040503,05,03R,55.23,0.522,0.925,0.719,0.1179,14,5.05,0,0,0
2026-08-04,202608040612,06,12R,55.82,0.573,0.625,0.572,0.1211,20,12.03,0,0,0
2026-08-04,202608041003,10,03R,66.94,0.7,1.0,0.792,0.1474,3,5.01,1,0,0
2026-08-04,202608041706,17,06R,54.35,0.622,0.775,0.597,0.1126,9,5.03,0,0,0
2026-08-04,202608042108,21,08R,66.98,0.799,1.0,0.67,0.1477,5,5.04,1,0,0
2026-08-05,202608050609,06,09R,63.59,0.726,1.0,0.756,0.1376,10,5.01,0,0,0
2026-08-05,202608050910,09,10R,50.61,0.837,0.683,0.558,0.0934,6,5.01,1,1,15120
2026-08-05,202608051004,10,04R,66.3,0.825,0.925,0.804,0.145,3,5.0,0,0,0
2026-08-05,202608051010,10,10R,61.36,0.671,0.775,0.67,0.1363,6,5.04,0,0,0
2026-08-05,202608051707,17,07R,64.35,0.653,1.0,0.707,0.1396,6,5.06,1,1,17200
2026-08-05,202608051709,17,09R,71.32,0.734,0.592,0.691,0.167,10,5.05,1,1,34300
2026-08-06,202608060203,02,03R,60.53,0.522,0.908,0.721,0.1356,11,5.03,0,0,0
2026-08-06,202608060211,02,11R,37.67,0.587,0.625,0.56,0.0579,20,10.44,0,0,0
2026-08-06,202608061204,12,04R,42.22,0.628,0.7,0.707,0.069,12,5.06,0,0,0
2026-08-06,202608061407,14,07R,69.61,0.747,1.0,0.62,0.1594,7,5.22,0,0,0
2026-08-06,202608061703,17,03R,82.35,0.734,1.0,0.817,0.118,5,5.0,1,0,0
2026-08-06,202608061706,17,06R,67.46,0.68,1.0,0.621,0.15,8,5.08,1,1,7100
2026-08-06,202608062406,24,06R,66.02,0.791,0.908,0.656,0.1443,6,5.02,0,0,0
2026-08-07,202608071003,10,03R,48.15,0.514,0.833,0.583,0.0848,8,5.01,1,0,0
2026-08-07,202608071210,12,10R,53.49,0.682,0.683,0.607,0.1082,7,5.0,0,0,0
2026-08-07,202608071707,17,07R,48.67,0.51,1.0,0.584,0.0864,20,9.51,0,0,0
2026-08-08,202608080402,04,02R,54.53,0.525,0.85,0.682,0.1139,9,5.12,0,0,0
2026-08-08,202608080508,05,08R,58.1,0.93,0.925,0.866,0.1306,4,5.02,0,0,0
2026-08-08,202608081003,10,03R,58.1,0.671,0.7,0.756,0.1306,5,5.01,0,0,0
2026-08-08,202608081203,12,03R,45.97,0.628,0.85,0.572,0.078,20,6.11,1,1,10320
2026-08-08,202608081706,17,06R,63.64,0.622,1.0,0.792,0.1377,16,5.03,0,0,0
2026-08-09,202608090303,03,03R,67.3,0.694,1.0,0.621,0.1493,7,5.03,0,0,0
2026-08-09,202608090307,03,07R,65.98,0.608,1.0,0.572,0.1441,6,5.03,0,0,0
2026-08-09,202608091208,12,08R,61.54,0.576,0.625,0.609,0.1364,18,5.01,0,0,0
2026-08-09,202608091305,13,05R,58.78,0.589,0.925,0.768,0.1327,10,5.02,0,0,0
2026-08-09,202608091311,13,11R,46.48,0.826,0.683,0.571,0.0797,12,5.01,1,1,11640
2026-08-09,202608092307,23,07R,55.2,0.962,0.85,0.817,0.1177,6,5.02,0,1,67250
2026-08-10,202608100304,03,04R,56.39,0.663,0.775,0.572,0.1237,8,5.08,0,0,0
2026-08-10,202608100512,05,12R,55.01,0.914,1.0,0.866,0.1164,3,5.03,1,0,0
2026-08-10,202608100808,08,08R,66.88,0.546,1.0,0.56,0.1471,15,5.01,0,1,30690
2026-08-10,202608101307,13,07R,58.43,0.671,1.0,0.768,0.1319,20,5.26,0,0,0
2026-08-10,202608101310,13,10R,63.87,0.718,0.625,0.56,0.1383,14,5.03,0,0,0
2026-08-10,202608101405,14,05R,62.8,0.747,0.775,0.597,0.1369,4,5.11,0,0,0
2026-08-10,202608101608,16,08R,60.06,0.622,0.7,0.584,0.1348,15,5.02,0,0,0
2026-08-10,202608102007,20,07R,63.25,0.538,0.833,0.791,0.1372,7,5.0,1,1,29040
2026-08-10,202608102105,21,05R,56.06,0.585,0.775,0.621,0.1223,20,5.66,0,0,0
2026-08-10,202608102307,23,07R,63.62,1.0,0.85,0.56,0.1378,6,5.08,0,0,0
2026-08-11,202608110509,05,09R,65.59,0.662,1.0,0.866,0.1427,7,5.06,0,0,0
2026-08-11,202608110707,07,07R,56.61,0.966,0.775,0.646,0.1248,6,5.03,0,1,19880
2026-08-11,202608110709,07,09R,59.81,0.813,0.85,0.67,0.1343,4,5.02,0,0,0
2026-08-11,202608111311,13,11R,60.48,0.702,0.775,0.658,0.1356,20,7.94,0,0,0
2026-08-11,202608111903,19,03R,59.5,0.633,1.0,0.633,0.134,14,5.09,0,0,0
2026-08-12,202608120301,03,01R,62.82,0.594,0.758,0.558,0.1369,7,5.08,0,0,0
2026-08-12,202608120605,06,05R,63.55,0.623,0.625,1.0,0.1377,12,5.02,0,0,0
2026-08-12,202608120704,07,04R,47.27,0.531,0.625,0.56,0.0821,19,5.03,1,1,11760
2026-08-12,202608121306,13,06R,56.23,0.855,0.817,0.654,0.123,16,5.03,0,0,0
2026-08-12,202608121308,13,08R,65.0,0.708,1.0,0.621,0.1413,12,5.03,1,0,0
2026-08-12,202608121312,13,12R,66.06,0.743,0.85,0.572,0.1443,20,7.72,0,0,0
2026-08-12,202608121905,19,05R,45.09,0.585,0.608,0.595,0.0753,15,5.0,0,0,0
2026-08-12,202608121909,19,09R,52.69,0.917,0.85,0.731,0.1041,6,5.0,0,1,15600
2026-08-12,202608122410,24,10R,54.47,0.589,0.625,0.756,0.1135,5,5.01,1,1,39270
2026-08-14,202608140303,03,03R,44.96,0.625,0.758,0.558,0.075,12,5.08,0,0,0
2026-08-14,202608140601,06,01R,55.63,0.624,0.775,0.633,0.12,7,5.09,0,0,0
2026-08-14,202608140602,06,02R,58.97,0.612,0.608,0.558,0.133,7,5.04,0,0,0
2026-08-14,202608141005,10,05R,51.06,0.757,0.925,0.621,0.0955,7,5.01,0,0,0
2026-08-14,202608141305,13,05R,63.55,0.743,0.85,0.609,0.1377,20,8.4,0,0,0
2026-08-14,202608141308,13,08R,52.0,0.571,0.625,0.768,0.1003,20,5.19,0,0,0
2026-08-14,202608141912,19,12R,57.57,0.556,0.908,0.595,0.1287,20,10.45,0,0,0
2026-08-14,202608142408,24,08R,65.84,0.614,0.775,0.572,0.1437,6,5.01,1,1,27800
2026-08-15,202608150506,05,06R,69.23,0.846,1.0,0.56,0.1572,7,5.05,0,0,0
2026-08-15,202608150509,05,09R,59.58,0.766,0.925,0.67,0.1341,7,5.04,1,0,0
2026-08-15,202608151007,10,07R,55.73,0.641,0.775,0.817,0.1206,14,5.08,0,0,0
2026-08-15,202608151706,17,06R,48.57,0.605,0.925,0.682,0.0863,13,5.0,0,0,0
2026-08-15,202608152405,24,05R,74.79,0.584,1.0,0.658,0.1763,6,5.13,0,0,0
2026-08-16,202608160403,04,03R,69.21,0.573,0.925,0.646,0.157,8,5.0,0,0,0
2026-08-16,202608160903,09,03R,56.44,0.717,1.0,0.56,0.124,9,5.15,0,0,0
2026-08-16,202608161102,11,02R,52.49,0.732,0.758,0.632,0.1031,4,5.09,0,0,0
2026-08-16,202608161806,18,06R,57.82,0.624,0.7,0.609,0.1295,13,5.01,0,0,0
2026-08-17,202608170209,02,09R,58.66,0.82,0.85,0.731,0.1324,7,5.08,0,0,0
