1_2抵抗力,3壁弱さ,4_ST優位,4攻撃力,4選手力,5取り切り力,bet_hit,composite_odds,date,head_hit,head_prob,model,race,race_code,return,score,tickets,venue
,0.653,0.6,,0.643,,0,5.72,2026-08-03,0,0.1035,4カド攻め,07R,202608031707,0,53.18,20,17
,0.64,0.933,,0.683,,0,5.01,2026-08-03,0,0.1479,4カド攻め,10R,202608031910,0,59.64,15,19
,0.773,0.567,,0.561,,0,8.56,2026-08-03,0,0.158,4カド攻め,10R,202608032110,0,60.69,20,21
,0.72,1.0,,0.861,,0,5.01,2026-08-04,1,0.1897,4カド攻め,07R,202608041007,0,66.09,8,10
,0.813,0.933,,0.682,,0,5.01,2026-08-05,0,0.198,4カド攻め,07R,202608051207,0,71.14,14,12
,0.72,1.0,,0.679,,0,5.03,2026-08-05,0,0.1943,4カド攻め,02R,202608051402,0,69.86,2,14
,0.6,0.667,,0.627,,0,5.29,2026-08-05,0,0.0969,4カド攻め,06R,202608051706,0,50.81,20,17
,0.653,0.8,,0.663,,0,7.62,2026-08-05,0,0.1734,4カド攻め,11R,202608051711,0,62.78,12,17
,0.627,1.0,,0.758,,0,5.02,2026-08-05,0,0.1935,4カド攻め,05R,202608051905,0,68.61,6,19
,0.64,1.0,,0.757,,1,5.01,2026-08-06,1,0.164,4カド攻め,10R,202608061210,19200,61.35,8,12
,0.72,0.6,,0.501,,0,6.23,2026-08-07,0,0.0988,4カド攻め,05R,202608071005,0,51.44,20,10
,0.573,0.8,,0.564,,0,5.08,2026-08-07,0,0.0919,4カド攻め,01R,202608071201,0,47.77,6,12
,0.6,1.0,,0.592,,1,5.0,2026-08-07,0,0.1777,4カド攻め,09R,202608071409,9780,63.52,11,14
,0.629,1.0,,0.804,,0,5.02,2026-08-07,1,0.1935,4カド攻め,04R,202608071904,0,68.57,6,19
,0.627,1.0,,0.506,,0,10.43,2026-08-07,0,0.1508,4カド攻め,11R,202608072411,0,59.98,20,24
,0.68,0.667,,0.625,,0,6.82,2026-08-09,0,0.1073,4カド攻め,10R,202608090310,0,54.15,20,03
,0.748,1.0,,0.662,,0,5.04,2026-08-09,0,0.1764,4カド攻め,03R,202608090503,0,63.32,4,05
,0.76,1.0,,0.93,,0,5.06,2026-08-09,0,0.1755,4カド攻め,06R,202608090506,0,76.31,4,05
,0.693,1.0,,0.508,,0,5.05,2026-08-09,0,0.1739,4カド攻め,04R,202608091004,0,76.47,10,10
,0.587,0.867,,0.764,,0,8.9,2026-08-09,0,0.1966,4カド攻め,11R,202608091411,0,70.49,20,14
,0.76,0.567,,0.826,,0,5.0,2026-08-09,0,0.1877,4カド攻め,04R,202608091504,0,65.62,5,15
,0.6,0.933,,0.743,,0,7.35,2026-08-09,0,0.183,4カド攻め,11R,202608092011,0,64.53,20,20
,0.813,1.0,,0.85,,0,5.03,2026-08-09,1,0.1097,4カド攻め,06R,202608092306,0,80.19,16,23
,0.667,0.7,,0.873,,1,5.05,2026-08-10,1,0.1217,4カド攻め,06R,202608100506,42570,56.5,9,05
,0.56,0.933,,0.625,,0,5.01,2026-08-10,0,0.1764,4カド攻め,03R,202608101403,0,63.29,6,14
,0.8,1.0,,0.984,,0,5.04,2026-08-10,1,0.1534,4カド攻め,08R,202608102308,0,77.78,6,23
,0.907,0.9,,0.778,,1,5.04,2026-08-10,0,0.1326,4カド攻め,06R,202608102406,13500,57.78,9,24
,0.627,0.867,,0.959,,0,5.03,2026-08-14,1,0.1184,4カド攻め,10R,202608141210,0,56.09,7,12
,0.707,0.933,,0.571,,0,5.02,2026-08-14,0,0.1939,4カド攻め,02R,202608141302,0,67.71,10,13
,0.653,0.767,,0.589,,0,5.01,2026-08-14,0,0.1694,4カド攻め,07R,202608141307,0,62.13,15,13
,0.8,0.933,,0.704,,0,5.05,2026-08-15,0,0.1939,4カド攻め,12R,202608150112,0,68.1,10,01
,0.585,1.0,,0.79,,0,5.0,2026-08-15,0,0.1899,4カド攻め,02R,202608150302,0,74.93,7,03
,0.653,0.933,,0.55,,0,10.18,2026-08-15,0,0.1934,4カド攻め,04R,202608151804,0,68.9,20,18
,0.587,0.667,,0.832,,0,5.09,2026-08-16,0,0.1667,4カド攻め,02R,202608160202,0,61.68,7,02
,0.667,0.867,,0.653,,0,5.0,2026-08-16,0,0.1172,4カド攻め,04R,202608160404,0,55.9,10,04
,0.587,0.867,,0.566,,0,5.06,2026-08-16,0,0.1639,4カド攻め,04R,202608160904,0,61.34,18,09
,0.76,0.6,,0.507,,0,6.32,2026-08-16,0,0.1253,4カド攻め,01R,202608161001,0,56.94,20,10
,0.6,0.867,,0.534,,0,5.36,2026-08-16,0,0.1312,4カド攻め,11R,202608161411,0,57.63,20,14
,0.583,0.7,,0.816,,0,5.01,2026-08-18,0,0.1126,4カド攻め,05R,202608181105,0,55.23,14,11
,0.667,1.0,,0.546,,0,7.19,2026-08-18,0,0.1655,4カド攻め,04R,202608181204,0,61.52,20,12
,0.627,0.9,,0.71,,0,5.01,2026-08-18,1,0.1888,4カド攻め,12R,202608181312,0,65.84,8,13
,0.587,0.7,,0.603,,1,5.57,2026-08-19,0,0.1083,4カド攻め,04R,202608191004,2100,54.37,20,10
,0.667,0.567,,0.507,,0,5.0,2026-08-19,0,0.0928,4カド攻め,07R,202608191007,0,48.48,13,10
