1弱さ,2壁弱さ,3_ST優位,3伸び,3回り足,3選手力,bet_hit,composite_odds,date,head_hit,model,race,race_code,return,score3,tickets,venue
,0.658,0.85,0.834,,0.767,0,5.07,2026-08-27,0,3まくり,09R,202608270909,0,72.29,13,09
,0.768,1.0,0.695,,0.592,0,5.05,2026-08-29,0,3まくり,10R,202608291110,0,48.3,18,11
,0.646,1.0,0.71,,0.779,0,5.04,2026-08-29,0,3まくり,09R,202608291309,0,57.81,9,13
,0.621,0.55,0.781,,0.715,0,5.06,2026-08-29,0,3まくり,07R,202608291707,0,53.07,11,17
,0.621,0.85,0.5,,0.559,1,5.03,2026-08-30,0,3まくり,10R,202608300810,6660,60.79,18,08
,0.646,1.0,0.5,,0.68,0,5.01,2026-08-30,1,3まくり,03R,202608302103,0,63.18,11,21
,0.719,0.55,0.531,,0.535,0,8.04,2026-08-30,0,3まくり,04R,202608302304,0,47.4,20,23
0.5,0.743,,,0.58,0.649,0,5.01,2026-08-31,0,3まくり差し,03R,202608310403,0,61.53,8,04
,0.597,0.775,0.843,,0.7,1,5.01,2026-08-31,0,3まくり,06R,202608310506,7800,61.16,9,05
,0.67,1.0,0.5,,0.932,0,5.0,2026-08-31,0,3まくり,09R,202608310609,0,65.97,8,06
,0.667,0.683,0.526,,0.756,0,5.01,2026-08-31,0,3まくり,05R,202608311105,0,58.45,10,11
0.567,0.548,,,0.865,0.613,0,5.04,2026-09-01,0,3まくり差し,02R,202609010602,0,63.76,12,06
,0.609,0.625,0.5,,0.748,1,5.14,2026-09-01,1,3まくり,03R,202609011203,33120,53.61,5,12
,0.56,1.0,0.5,,0.654,1,5.07,2026-09-01,0,3まくり,05R,202609012405,18970,56.41,7,24
,0.658,0.775,0.606,,0.535,1,5.07,2026-09-02,0,3まくり,06R,202609020506,11340,57.67,8,05
,0.658,0.625,0.5,,0.513,0,5.02,2026-09-02,0,3まくり,04R,202609021704,0,45.63,16,17
