1_2抵抗力,1弱さ,2壁弱さ,3_ST優位,3壁弱さ,3選手力,4_ST優位,4攻撃力_非motor,4選手力,5選手力,adjusted_score,bet_hit,composite_odds,date,ex_score,grade,head_hit,model,orig_avg,orig_lap,orig_straight,orig_turn,preview_adj,preview_comp,race,race_code,return,score,st_score,tickets,venue,venue_index
,,0.658,0.775,,0.535,,,,,57.12,0,5.1,2026-09-02,0.6,B,0,3まくり,0.133,0.0,0.0,0.4,-0.545,0.445,06R,202609020506,0,57.67,0.8,8,05,1.116
0.802,,,,,,,0.573,,0.878,65.67,0,9.47,2026-09-02,0.6,A,0,5頭展開,0.6,0.6,1.0,0.2,1.476,0.648,10R,202609020510,0,64.19,0.8,20,05,0.896
,,,,0.733,,1.0,,0.88,,73.79,0,5.01,2026-09-02,1.0,S,0,4カドまくり,0.733,0.6,1.0,0.6,4.291,0.929,08R,202609020608,0,69.5,1.0,7,06,0.989
,,,,0.72,,0.6,,0.625,,60.52,0,5.01,2026-09-02,0.2,B,0,4カドまくり,0.5,0.5,0.5,0.5,0.081,0.508,03R,202609020803,0,60.44,0.8,13,08,1.162
0.788,,,,,,,0.648,,0.741,67.58,1,5.01,2026-09-02,0.4,B,1,5頭展開,0.5,0.5,0.5,0.5,0.371,0.537,03R,202609020803,12600,67.21,1.0,10,08,0.931
0.712,,,,,,,0.622,,0.71,59.48,0,5.01,2026-09-02,0.8,B,0,5頭展開,0.5,0.5,0.5,0.5,-0.381,0.462,04R,202609020804,0,59.86,0.8,14,08,0.931
,,,,0.573,,0.667,,0.594,,49.11,1,6.56,2026-09-02,0.8,A,1,4カドまくり,0.5,0.5,0.5,0.5,0.641,0.564,09R,202609020809,19960,48.47,0.4,20,08,1.162
,,,,0.881,,0.933,,0.748,,66.26,1,5.06,2026-09-02,0.5,B,0,4カドまくり,0.7,0.6,0.5,0.8,0.103,0.51,04R,202609021204,11940,66.16,0.4,11,12,1.087
0.805,,,,,,,0.604,,0.518,62.19,0,16.29,2026-09-02,0.6,B,0,5頭展開,0.4,0.6,0.5,0.2,-0.041,0.496,06R,202609021306,0,62.23,0.6,20,13,0.991
0.629,,,,,,,0.689,,0.898,71.52,0,5.05,2026-09-02,0.8,S,1,5頭展開,0.733,0.6,0.6,1.0,2.718,0.772,03R,202609021603,0,68.8,1.0,12,16,1.05
,,0.658,0.625,,0.513,,,,,44.16,0,5.1,2026-09-02,0.6,B,0,3まくり,0.467,0.6,0.2,0.6,-1.468,0.353,04R,202609021704,0,45.63,0.2,16,17,0.617
,,,,0.72,,0.833,,0.662,,65.51,0,5.04,2026-09-02,0.2,A,0,4カドまくり,0.6,0.6,0.5,0.6,0.678,0.568,03R,202609021803,0,64.83,1.0,6,18,0.895
0.816,,,,,,,0.751,,0.601,70.84,0,9.81,2026-09-02,0.4,B,0,5頭展開,0.2,0.0,0.5,0.4,-0.446,0.455,03R,202609021803,0,71.29,0.8,20,18,0.798
,,,,0.573,,0.867,,0.728,,50.02,0,5.71,2026-09-02,0.6,B,0,4カドまくり,0.267,0.0,0.8,0.0,-0.392,0.461,06R,202609022206,0,50.41,0.2,20,22,0.81
,,,,0.587,,0.933,,0.816,,67.55,0,5.99,2026-09-02,0.6,B,0,4カドまくり,0.4,0.6,0.4,0.2,-1.045,0.396,07R,202609022207,0,68.6,0.2,20,22,0.81
