1_2抵抗力,1弱さ,2壁弱さ,3_ST優位,3壁弱さ,3選手力,4_ST優位,4攻撃力_非motor,4選手力,5選手力,adjusted_score,bet_hit,composite_odds,date,ex_score,grade,head_hit,model,orig_avg,orig_lap,orig_straight,orig_turn,preview_adj,preview_comp,race,race_code,return,score,st_score,tickets,venue,venue_index
0.871,,,,,,,0.614,,0.679,64.41,0,13.05,2026-08-27,0.6,A,0,5頭展開,0.8,1.0,0.8,0.6,1.093,0.609,12R,202608270412,0,63.32,0.6,20,04,0.808
,,0.694,0.625,,0.729,,,,,47.25,0,5.0,2026-08-27,1.0,A,0,3まくり,0.5,0.5,0.5,0.5,1.528,0.653,09R,202608270809,0,45.72,0.6,13,08,0.695
,,0.658,0.85,,0.767,,,,,74.18,0,5.07,2026-08-27,0.6,S,0,3まくり,0.667,0.6,1.0,0.4,1.886,0.689,09R,202608270909,0,72.29,0.6,13,09,0.886
,,0.633,1.0,,0.763,,,,,63.07,0,5.04,2026-08-27,0.2,A,0,3まくり,0.8,0.8,1.0,0.6,0.993,0.599,10R,202608270910,0,62.08,0.6,11,09,0.886
,,0.56,0.625,,0.849,,,,,61.28,0,5.0,2026-08-27,0.6,A,0,3まくり,0.733,0.6,0.6,1.0,0.633,0.563,12R,202608271412,0,60.65,0.4,12,14,1.032
,,,,0.587,,0.833,,0.877,,67.78,0,5.02,2026-08-27,0.8,A,0,4カドまくり,0.467,0.4,0.0,1.0,0.565,0.556,05R,202608271505,0,67.22,0.8,11,15,1.083
,,,,0.56,,0.667,,0.795,,60.21,0,5.01,2026-08-27,0.5,A,0,4カドまくり,0.667,0.4,0.6,1.0,1.385,0.638,06R,202608271506,0,58.83,0.8,14,15,1.083
0.739,,,,,,,0.551,,0.525,53.03,0,13.3,2026-08-27,1.0,B,0,5頭展開,0.467,0.2,0.6,0.6,-0.689,0.431,07R,202608271507,0,53.72,0.2,20,15,0.901
0.793,,,,,,,0.748,,0.531,65.43,0,21.59,2026-08-27,0.2,B,0,5頭展開,0.067,0.0,0.0,0.2,-0.476,0.452,04R,202608271704,0,65.91,0.8,20,17,0.874
0.791,,,,,,,0.75,,0.557,62.6,0,21.2,2026-08-27,0.4,B,0,5頭展開,0.2,0.0,0.6,0.0,-1.238,0.376,12R,202608272212,0,63.84,0.8,20,22,0.56
,,,,0.693,,0.8,,0.618,,72.07,0,5.04,2026-08-28,1.0,S,0,4カドまくり,0.933,1.0,0.8,1.0,3.547,0.855,01R,202608280401,0,68.52,0.8,10,04,0.821
,,0.829,0.85,,0.878,,,,,49.3,0,5.02,2026-08-28,0.2,B,0,3まくり,0.733,0.8,0.6,0.8,0.131,0.513,06R,202608280506,0,49.17,0.6,9,05,1.149
,,,,0.587,,0.867,,0.633,,55.74,0,8.25,2026-08-28,0.8,B,0,4カドまくり,0.333,0.4,0.4,0.2,0.095,0.509,09R,202608280509,0,55.65,0.4,20,05,1.076
,0.517,0.45,1.0,,0.604,,,,,67.47,0,5.09,2026-08-28,0.4,B,0,3まくり差し,0.333,0.0,0.4,0.6,-1.086,0.391,04R,202608280704,0,68.56,0.4,13,07,1.168
,,,,0.719,,0.867,,0.717,,48.92,0,5.01,2026-08-28,0.0,B,0,4カドまくり,0.267,0.4,0.4,0.0,-0.367,0.463,08R,202608280708,0,49.29,1.0,8,07,1.596
0.788,,,,,,,0.708,,0.544,69.56,0,13.67,2026-08-28,0.6,B,0,5頭展開,0.333,0.2,0.6,0.2,0.189,0.519,09R,202608280709,0,69.37,0.0,20,07,1.689
0.775,,,,,,,0.819,,0.525,62.27,0,10.12,2026-08-28,0.2,A,0,5頭展開,0.533,0.6,0.4,0.6,0.704,0.57,11R,202608280711,0,61.57,0.0,20,07,1.689
,,,,0.693,,0.6,,0.524,,45.56,0,7.94,2026-08-28,0.0,B,0,4カドまくり,0.467,0.6,0.2,0.6,-2.355,0.264,01R,202608280901,0,47.92,0.4,20,09,1.083
,,0.792,0.85,,0.674,,,,,62.99,0,5.04,2026-08-28,0.6,B,0,3まくり,0.667,0.6,0.6,0.8,0.446,0.545,03R,202608280903,0,62.54,0.4,13,09,0.886
,,,,0.639,,0.933,,0.577,,71.61,0,7.17,2026-08-28,0.0,B,0,4カドまくり,0.733,1.0,0.8,0.4,-0.022,0.498,12R,202608280912,0,71.63,0.6,20,09,1.083
0.666,,,,,,,0.63,,0.538,64.49,0,5.0,2026-08-28,0.6,A,0,5頭展開,0.733,0.8,1.0,0.4,1.438,0.644,01R,202608281001,0,63.05,0.4,7,10,1.131
