1ブロック力,1対3圧力,2壁弱さ,3スタート先行度,3伸び,3旋回足,3脅威度,bet_hit,composite_odds,date,head_hit,model,prob,race,race_code,return,score,tickets,venue,まくり差し指数,直まくり指数
0.345,0.0,0.557,0.85,0.52,0.766,0.667,0,5.13,2026-08-03,0,3まくり心理,0.0818,02R,202608030102,0,70.32,16,01,0.472,0.703
0.398,0.414,0.474,0.55,0.5,0.5,0.577,1,5.06,2026-08-03,0,3まくり差し心理,0.1008,05R,202608030105,93600,57.44,15,01,0.574,0.544
0.886,0.985,0.0,0.303,0.5,0.5,0.758,0,5.93,2026-08-03,0,3まくり差し心理,0.0721,02R,202608030402,0,65.38,20,04,0.654,0.405
0.861,0.444,0.312,0.416,0.5,0.5,0.859,0,5.01,2026-08-03,0,3まくり差し心理,0.0827,03R,202608030403,0,61.72,11,04,0.617,0.534
0.842,1.0,0.134,0.292,0.5,0.5,0.881,0,5.04,2026-08-03,0,3まくり差し心理,0.0677,07R,202608030407,0,69.19,7,04,0.692,0.454
0.958,0.649,0.646,0.54,0.5,0.5,0.753,0,5.02,2026-08-03,0,3まくり差し心理,0.0625,11R,202608030411,0,70.85,12,04,0.708,0.592
0.589,0.577,0.56,0.798,0.446,0.41,0.669,0,5.4,2026-08-03,0,3まくり心理,0.0887,01R,202608030501,0,65.53,13,05,0.562,0.655
0.676,0.952,0.45,0.55,0.614,0.524,0.783,1,5.02,2026-08-03,1,3まくり差し心理,0.0461,04R,202608030504,8310,74.51,13,05,0.745,0.555
0.759,0.785,0.15,0.284,0.483,0.77,0.705,0,5.01,2026-08-03,0,3まくり差し心理,0.074,01R,202608030601,0,63.44,11,06,0.634,0.4
0.589,0.536,0.0,0.4,0.669,0.98,0.684,0,5.06,2026-08-03,0,3まくり差し心理,0.0753,02R,202608030602,0,63.11,8,06,0.631,0.445
0.732,0.66,0.0,0.376,0.511,0.685,0.712,0,5.1,2026-08-03,0,3まくり差し心理,0.0868,03R,202608030603,0,60.79,14,06,0.608,0.415
0.692,0.624,0.3,0.442,0.765,0.609,0.511,0,12.98,2026-08-03,0,3まくり差し心理,0.0869,05R,202608030805,0,60.75,20,08,0.607,0.504
