1ブロック力,1ブロック成功指数,1対3圧力,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,ST接近度,bet_hit,composite_odds,date,head_hit,model,prob,race,race_code,return,score,tickets,venue,まくり差し指数,まくり差し指数v28,差し場生成指数,直まくり指数,直まくり指数v28
0.345,0.269,0.0,0.557,0.443,0.85,0.52,0.766,0.667,0.0,0,5.13,2026-08-03,0,3直まくりv28,0.0959,02R,202608030102,0,71.28,16,01,0.472,0.308,0.313,0.703,0.713
0.589,0.397,0.577,0.56,0.44,0.798,0.446,0.41,0.669,0.068,0,5.4,2026-08-03,0,3直まくりv28,0.0857,01R,202608030501,0,64.41,13,05,0.562,0.393,0.463,0.655,0.644
0.444,0.443,0.36,0.633,0.367,0.674,0.93,0.9,0.497,0.456,0,5.03,2026-08-03,0,3直まくりv28,0.0754,01R,202608031301,0,59.69,5,13,0.573,0.481,0.591,0.594,0.597
0.561,0.345,0.152,0.609,0.391,0.959,0.5,0.5,0.905,0.0,0,5.03,2026-08-03,1,3直まくりv28,0.0751,07R,202608031907,0,79.38,5,19,0.492,0.277,0.32,0.789,0.794
0.749,0.448,0.318,0.523,0.477,0.918,0.146,0.476,0.708,0.0,0,5.02,2026-08-03,0,3直まくりv28,0.0865,03R,202608032103,0,64.61,9,21,0.482,0.255,0.349,0.658,0.646
0.723,0.546,0.667,0.719,0.281,0.664,0.794,0.524,0.513,0.488,0,5.05,2026-08-04,0,3直まくりv28,0.0753,03R,202608040503,0,59.84,14,05,0.631,0.496,0.641,0.633,0.598
0.861,0.761,1.0,0.572,0.428,0.533,0.146,0.476,0.765,0.896,0,12.03,2026-08-04,0,3まくり差しv28,0.1016,12R,202608040612,0,59.87,20,06,0.794,0.599,0.763,0.579,0.466
0.801,0.496,1.0,0.792,0.208,0.725,0.5,0.5,0.751,0.297,0,5.07,2026-08-04,0,3直まくりv28,0.0932,03R,202608041003,0,66.69,4,10,0.764,0.624,0.731,0.711,0.667
0.801,0.496,1.0,0.792,0.208,0.725,0.5,0.5,0.751,0.297,0,5.01,2026-08-04,1,3まくり差しv28,0.0826,03R,202608041003,0,62.39,3,10,0.764,0.624,0.731,0.711,0.667
0.747,0.595,0.855,0.45,0.55,0.7,0.706,0.61,0.955,0.375,0,5.01,2026-08-04,0,3まくり差しv28,0.1158,03R,202608042103,0,57.47,9,21,0.761,0.575,0.632,0.696,0.651
0.746,0.406,0.0,0.67,0.33,1.0,0.668,0.315,0.865,0.0,0,5.02,2026-08-04,0,3直まくりv28,0.0812,08R,202608042108,0,81.61,8,21,0.409,0.162,0.243,0.809,0.816
0.755,0.372,0.395,0.804,0.196,0.884,0.183,0.105,0.872,0.0,0,5.0,2026-08-05,0,3直まくりv28,0.0894,04R,202608051004,0,74.12,7,10,0.527,0.303,0.367,0.769,0.741
0.707,0.468,0.55,0.67,0.33,0.747,0.392,0.685,0.707,0.227,0,5.04,2026-08-05,0,3直まくりv28,0.0813,10R,202608051010,0,63.11,6,10,0.647,0.496,0.573,0.663,0.631
0.787,0.413,0.631,0.707,0.293,0.858,0.546,0.21,0.776,0.0,1,5.17,2026-08-05,0,3直まくりv28,0.09,07R,202608051707,5160,73.63,16,17,0.583,0.365,0.445,0.758,0.736
0.308,0.224,0.0,0.691,0.309,0.816,0.634,0.79,0.771,0.012,0,5.02,2026-08-05,0,3直まくりv28,0.0861,09R,202608051709,0,75.22,7,17,0.515,0.383,0.374,0.74,0.752
0.537,0.304,0.224,0.721,0.279,0.876,0.5,0.5,0.694,0.0,0,5.03,2026-08-06,0,3直まくりv28,0.0878,03R,202608060203,0,74.64,6,02,0.504,0.325,0.373,0.749,0.746
0.58,0.374,0.151,0.536,0.464,0.959,0.741,0.8,0.87,0.0,0,5.04,2026-08-06,0,3直まくりv28,0.0768,07R,202608061207,0,78.25,10,12,0.517,0.312,0.367,0.764,0.783
0.569,0.362,0.656,0.62,0.38,0.807,0.455,0.791,0.824,0.039,0,5.0,2026-08-06,0,3直まくりv28,0.0961,07R,202608061407,0,70.84,10,14,0.697,0.544,0.584,0.724,0.708
0.495,0.259,0.121,0.817,0.183,0.959,0.983,0.905,0.817,0.0,0,5.08,2026-08-06,0,3直まくりv28,0.0907,03R,202608061703,0,88.3,7,17,0.561,0.403,0.453,0.862,0.883
0.763,0.434,0.786,0.621,0.379,0.817,0.336,0.725,0.773,0.01,1,5.06,2026-08-06,0,3直まくりv28,0.0938,06R,202608061706,4970,67.51,8,17,0.714,0.536,0.608,0.706,0.675
0.546,0.343,0.476,0.656,0.344,0.808,0.5,0.5,0.791,0.039,0,5.17,2026-08-06,0,3直まくりv28,0.0957,06R,202608062406,0,71.15,5,24,0.593,0.429,0.468,0.722,0.712
0.763,0.556,0.843,0.523,0.477,0.725,0.68,0.8,0.873,0.298,0,5.01,2026-08-07,0,3直まくりv28,0.0913,04R,202608070404,0,65.76,7,04,0.773,0.609,0.674,0.696,0.658
0.763,0.556,0.843,0.523,0.477,0.725,0.68,0.8,0.873,0.298,0,5.04,2026-08-07,0,3まくり差しv28,0.0966,04R,202608070404,0,60.93,7,04,0.773,0.609,0.674,0.696,0.658
0.784,0.626,0.941,0.45,0.55,0.685,0.741,0.8,0.667,0.422,1,5.01,2026-08-07,1,3まくり差しv28,0.1004,05R,202608071805,34980,60.17,15,18,0.764,0.602,0.712,0.642,0.595
0.868,0.642,0.841,0.866,0.134,0.59,0.5,0.5,0.765,0.717,0,5.02,2026-08-08,0,3まくり差しv28,0.1006,08R,202608080508,0,60.1,4,05,0.754,0.601,0.777,0.636,0.565
0.747,0.584,1.0,0.548,0.452,0.684,0.785,0.809,0.872,0.426,0,5.0,2026-08-08,0,3直まくりv28,0.0918,02R,202608082402,0,65.91,13,24,0.832,0.676,0.76,0.705,0.659
