1ブロック力,1ブロック成功指数,1対3圧力,2壁中間適合,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,STゾーン,ST接近度,bet_hit,date,head_hit,model,prob,race,race_code,return,score,venue,zone,まくり差し指数,まくり差し指数v28,まくり差し指数v29,中間ST適合,差し場生成指数,直まくり指数,直まくり指数v28,直まくり指数v29
0.345,0.269,0.0,0.99,0.557,0.443,0.85,0.52,0.766,0.667,大幅先行,0.0,0,2026-08-03,0,3直まくりv29,0.095,02R,202608030102,0,73.23,01,大幅先行,0.472,0.308,0.385,0.0,0.313,0.703,0.713,0.732
0.398,0.583,0.414,0.748,0.474,0.526,0.55,0.5,0.5,0.577,中間先行,0.844,1,2026-08-03,0,3まくり差しv29,0.0732,05R,202608030105,93600,60.86,01,中間先行,0.574,0.431,0.609,0.833,0.554,0.544,0.492,0.544
0.958,0.776,0.649,0.748,0.646,0.354,0.54,0.5,0.5,0.753,中間先行,0.875,0,2026-08-03,0,3まくり差しv29,0.0615,11R,202608030411,0,66.12,04,中間先行,0.708,0.502,0.661,0.778,0.673,0.592,0.492,0.56
0.589,0.397,0.577,1.0,0.56,0.44,0.798,0.446,0.41,0.669,大幅先行,0.068,0,2026-08-03,0,3直まくりv29,0.0847,01R,202608030501,0,67.37,05,大幅先行,0.562,0.393,0.438,0.0,0.463,0.655,0.644,0.674
0.416,0.589,0.392,0.676,0.45,0.55,0.564,0.81,0.9,0.553,中間先行,0.801,0,2026-08-03,0,3まくり差しv29,0.0427,03R,202608031303,0,69.18,13,中間先行,0.608,0.486,0.692,0.91,0.62,0.528,0.497,0.549
0.71,0.626,0.497,1.0,0.56,0.44,0.624,0.5,0.5,0.553,中間先行,0.612,0,2026-08-03,0,3まくり差しv29,0.075,09R,202608031709,0,62.35,17,中間先行,0.585,0.419,0.624,0.755,0.56,0.564,0.511,0.563
0.561,0.345,0.152,0.856,0.609,0.391,0.959,0.5,0.5,0.905,大幅先行,0.0,0,2026-08-03,1,3直まくりv29,0.078,07R,202608031907,0,80.58,19,大幅先行,0.492,0.277,0.381,0.0,0.32,0.789,0.794,0.806
0.749,0.448,0.318,0.892,0.523,0.477,0.918,0.146,0.476,0.708,大幅先行,0.0,0,2026-08-03,0,3直まくりv29,0.0862,03R,202608032103,0,67.73,21,大幅先行,0.482,0.255,0.383,0.0,0.349,0.658,0.646,0.677
0.746,0.612,0.726,0.784,0.633,0.367,0.633,0.577,0.895,0.503,中間先行,0.585,0,2026-08-04,0,3まくり差しv29,0.0388,08R,202608040608,0,71.19,06,中間先行,0.696,0.57,0.712,0.706,0.738,0.557,0.512,0.566
0.861,0.761,1.0,0.964,0.572,0.428,0.533,0.146,0.476,0.765,中間先行,0.896,0,2026-08-04,0,3まくり差しv29,0.0448,12R,202608040612,0,74.45,06,中間先行,0.794,0.599,0.745,0.741,0.763,0.579,0.466,0.535
0.801,0.496,1.0,0.317,0.792,0.208,0.725,0.5,0.5,0.751,大幅先行,0.297,0,2026-08-04,0,3直まくりv29,0.0918,03R,202608041003,0,69.61,10,大幅先行,0.764,0.624,0.546,0.194,0.731,0.711,0.667,0.696
0.827,0.746,0.688,0.892,0.597,0.403,0.523,0.251,0.484,0.657,中間先行,0.928,0,2026-08-04,0,3まくり差しv29,0.0692,06R,202608041706,0,64.23,17,中間先行,0.682,0.49,0.642,0.683,0.659,0.546,0.443,0.516
0.746,0.406,0.0,0.676,0.67,0.33,1.0,0.668,0.315,0.865,大幅先行,0.0,0,2026-08-04,0,3直まくりv29,0.0763,08R,202608042108,0,82.49,21,大幅先行,0.409,0.162,0.286,0.0,0.243,0.809,0.816,0.825
0.724,0.722,0.688,0.995,0.558,0.442,0.491,0.511,0.685,0.713,中間先行,0.971,1,2026-08-05,0,3まくり差しv29,0.0653,10R,202608050910,17280,65.03,09,中間先行,0.701,0.523,0.65,0.505,0.674,0.549,0.457,0.528
0.755,0.372,0.395,0.281,0.804,0.196,0.884,0.183,0.105,0.872,大幅先行,0.0,0,2026-08-05,0,3直まくりv29,0.0876,04R,202608051004,0,76.31,10,大幅先行,0.527,0.303,0.296,0.0,0.367,0.769,0.741,0.763
0.707,0.468,0.55,0.676,0.67,0.33,0.747,0.392,0.685,0.707,大幅先行,0.227,0,2026-08-05,0,3直まくりv29,0.0819,10R,202608051010,0,66.42,10,大幅先行,0.647,0.496,0.479,0.069,0.573,0.663,0.631,0.664
0.787,0.413,0.631,0.569,0.707,0.293,0.858,0.546,0.21,0.776,大幅先行,0.0,1,2026-08-05,0,3直まくりv29,0.0901,07R,202608051707,5160,75.51,17,大幅先行,0.583,0.365,0.38,0.0,0.445,0.758,0.736,0.755
0.308,0.224,0.0,0.614,0.691,0.309,0.816,0.634,0.79,0.771,大幅先行,0.012,0,2026-08-05,0,3直まくりv29,0.0865,09R,202608051709,0,76.75,17,大幅先行,0.515,0.383,0.373,0.0,0.374,0.74,0.752,0.767
0.847,0.675,0.65,0.748,0.474,0.526,0.656,0.329,0.581,0.511,中間先行,0.512,0,2026-08-05,0,3まくり差しv29,0.0683,02R,202608052102,0,58.83,21,中間先行,0.623,0.442,0.588,0.576,0.588,0.545,0.481,0.537
0.537,0.304,0.224,0.527,0.721,0.279,0.876,0.5,0.5,0.694,大幅先行,0.0,0,2026-08-06,0,3直まくりv29,0.0869,03R,202608060203,0,76.47,02,大幅先行,0.504,0.325,0.34,0.0,0.373,0.749,0.746,0.765
0.58,0.374,0.151,0.928,0.536,0.464,0.959,0.741,0.8,0.87,大幅先行,0.0,0,2026-08-06,0,3直まくりv29,0.0819,07R,202608061207,0,79.48,12,大幅先行,0.517,0.312,0.439,0.0,0.367,0.764,0.783,0.795
0.569,0.362,0.656,0.824,0.62,0.38,0.807,0.455,0.791,0.824,大幅先行,0.039,0,2026-08-06,0,3直まくりv29,0.0949,07R,202608061407,0,72.91,14,大幅先行,0.697,0.544,0.535,0.0,0.584,0.724,0.708,0.729
0.495,0.259,0.121,0.245,0.817,0.183,0.959,0.983,0.905,0.817,大幅先行,0.0,0,2026-08-06,0,3直まくりv29,0.0972,03R,202608061703,0,88.6,17,大幅先行,0.561,0.403,0.39,0.0,0.453,0.862,0.883,0.886
0.763,0.434,0.786,0.82,0.621,0.379,0.817,0.336,0.725,0.773,大幅先行,0.01,1,2026-08-06,0,3直まくりv29,0.092,06R,202608061706,4970,70.15,17,大幅先行,0.714,0.536,0.54,0.0,0.608,0.706,0.675,0.701
0.546,0.343,0.476,0.717,0.656,0.344,0.808,0.5,0.5,0.791,大幅先行,0.039,0,2026-08-06,0,3直まくりv29,0.095,06R,202608062406,0,73.25,24,大幅先行,0.593,0.429,0.425,0.0,0.468,0.722,0.712,0.732
0.763,0.556,0.843,0.892,0.523,0.477,0.725,0.68,0.8,0.873,大幅先行,0.298,0,2026-08-07,0,3直まくりv29,0.0894,04R,202608070404,0,68.49,04,大幅先行,0.773,0.609,0.636,0.197,0.674,0.696,0.658,0.685
0.581,0.56,0.525,0.676,0.45,0.55,0.666,0.923,0.905,0.752,中間先行,0.48,0,2026-08-07,0,3まくり差しv29,0.0707,11R,202608071011,0,63.9,10,中間先行,0.678,0.53,0.639,0.521,0.605,0.639,0.615,0.647
0.811,0.704,0.946,0.456,0.375,0.625,0.64,0.5,0.5,0.874,中間先行,0.561,0,2026-08-07,0,3まくり差しv29,0.0527,07R,202608072007,0,67.55,20,中間先行,0.754,0.549,0.676,0.664,0.655,0.618,0.549,0.595
0.425,0.315,0.15,0.856,0.511,0.489,0.918,0.5,0.5,0.589,大幅先行,0.0,0,2026-08-08,0,3直まくりv29,0.0934,08R,202608081608,0,71.37,16,大幅先行,0.404,0.224,0.339,0.0,0.294,0.667,0.688,0.714
0.353,0.286,0.144,0.846,0.508,0.492,0.835,0.802,0.239,0.677,大幅先行,0.0,1,2026-08-08,0,3直まくりv29,0.0932,02R,202608081902,7770,71.34,19,大幅先行,0.38,0.206,0.298,0.0,0.242,0.659,0.689,0.713
0.499,0.586,0.532,0.672,0.448,0.552,0.607,0.5,0.5,0.552,中間先行,0.665,0,2026-08-09,0,3まくり差しv29,0.0746,02R,202608090302,0,62.44,03,中間先行,0.558,0.414,0.624,0.85,0.553,0.508,0.474,0.53
0.634,0.373,0.544,0.82,0.621,0.379,0.849,0.5,0.5,0.78,大幅先行,0.0,0,2026-08-09,0,3直まくりv29,0.0943,03R,202608090303,0,74.06,03,大幅先行,0.6,0.406,0.445,0.0,0.457,0.733,0.721,0.741
0.546,0.349,0.0,0.964,0.572,0.428,1.0,0.53,0.5,0.763,大幅先行,0.0,0,2026-08-09,0,3直まくりv29,0.0817,07R,202608090307,0,79.59,03,大幅先行,0.407,0.191,0.339,0.0,0.259,0.768,0.783,0.796
