bet_hit,chain5,counter4,date,jump3,model,p,period,race,race_code,return,score,target_hit,tickets,venue
0,0.489,0.565,2026-07-19,0.884,3攻め頭,0.2551,validation,09R,202607190209,0,50.19,0,7,02
0,0.554,0.487,2026-07-19,0.801,3攻め頭,0.2761,validation,08R,202607191608,0,55.07,0,3,16
1,0.572,0.49,2026-07-19,0.785,3攻め頭,0.2743,validation,04R,202607191904,11880,56.06,1,6,19
0,0.457,0.654,2026-07-19,0.884,4刺され,0.0355,validation,01R,202607192001,0,65.35,0,20,20
0,0.658,0.548,2026-07-20,0.918,3攻め頭,0.2629,validation,11R,202607200211,0,51.85,0,16,02
0,0.796,0.657,2026-07-20,1.0,4刺され,0.036,validation,05R,202607200905,0,65.66,0,7,09
0,0.66,0.697,2026-07-20,0.858,4刺され,0.0332,validation,05R,202607201005,0,69.72,0,5,10
0,0.551,0.425,2026-07-20,0.768,3攻め頭,0.2518,validation,04R,202607201104,0,49.49,0,4,11
0,0.653,0.554,2026-07-20,0.734,3攻め頭,0.2377,validation,06R,202607201106,0,60.39,0,20,11
0,0.592,0.407,2026-07-20,0.798,3攻め頭,0.2602,validation,03R,202607201203,0,51.19,0,20,12
0,0.653,0.704,2026-07-20,0.826,4刺され,0.0334,validation,09R,202607201209,0,70.35,0,20,12
0,0.658,0.516,2026-07-20,0.966,3攻め頭,0.2597,validation,07R,202607201507,0,51.03,0,5,15
0,0.552,0.411,2026-07-20,0.794,3攻め頭,0.2516,validation,01R,202607201901,0,40.51,1,7,19
0,0.518,0.382,2026-07-20,0.908,3攻め頭,0.2728,validation,04R,202607202004,0,56.24,0,17,20
0,0.695,0.74,2026-07-20,0.884,4刺され,0.0336,validation,03R,202607202203,0,74.05,0,5,22
1,0.613,0.442,2026-07-20,0.733,3攻め頭,0.2001,validation,05R,202607202205,29700,63.88,1,12,22
0,0.615,0.595,2026-07-21,1.0,5まくり差し,0.0307,validation,02R,202607210402,0,61.48,0,12,04
0,0.516,0.762,2026-07-21,0.757,4刺され,0.0483,validation,03R,202607210403,0,76.18,1,3,04
0,0.677,0.46,2026-07-21,0.918,3攻め頭,0.2419,validation,09R,202607210909,0,59.92,0,8,09
0,0.596,0.666,2026-07-21,0.916,4刺され,0.0385,validation,02R,202607211202,0,66.63,0,20,12
0,0.573,0.384,2026-07-21,0.775,3攻め頭,0.2449,validation,04R,202607211504,0,48.67,0,17,15
