bet_hit,bonus,date,model,period,race_code,return,score,st4,stage1,stage2,straight4,target_hit,tilt4,variant
0,0.0,2026-07-19,4カドまくり,validation,202607190407,0,64.42,1.0,0,0,0.4,0,0.0,baseline
0,0.0,2026-07-19,4カドまくり,validation,202607190407,0,64.42,1.0,0,0,0.4,0,0.0,v36
0,0,2026-07-19,5頭展開,validation,202607190911,0,62.89,0.5,0,0,0.5,0,,baseline
0,0,2026-07-19,5頭展開,validation,202607190911,0,62.89,0.5,0,0,0.5,0,,v36
0,0.0,2026-07-19,4カドまくり,validation,202607191206,0,58.61,0.2,0,0,0.5,0,-0.5,baseline
0,0.0,2026-07-19,4カドまくり,validation,202607191206,0,58.61,0.2,0,0,0.5,0,-0.5,v36
0,0,2026-07-19,5頭展開,validation,202607191606,0,57.15,0.5,0,0,0.5,0,,baseline
0,0,2026-07-19,5頭展開,validation,202607191606,0,57.15,0.5,0,0,0.5,0,,v36
0,0,2026-07-19,3まくり,validation,202607191904,0,61.44,0.5,0,0,0.5,1,,baseline
0,0,2026-07-19,3まくり,validation,202607191904,0,61.44,0.5,0,0,0.5,1,,v36
1,0,2026-07-19,3まくり,validation,202607191905,110250,52.45,0.5,0,0,0.5,1,,baseline
1,0,2026-07-19,3まくり,validation,202607191905,110250,52.45,0.5,0,0,0.5,1,,v36
0,0,2026-07-19,5頭展開,validation,202607191910,0,61.97,0.5,0,0,0.5,0,,baseline
0,0,2026-07-19,5頭展開,validation,202607191910,0,61.97,0.5,0,0,0.5,0,,v36
0,0,2026-07-19,4刺され,validation,202607192001,0,65.35,0.5,0,0,0.5,0,,baseline
0,0,2026-07-19,4刺され,validation,202607192001,0,65.35,0.5,0,0,0.5,0,,v36
0,0.0,2026-07-19,4カドまくり,validation,202607192005,0,78.25,0.6,0,0,0.6,0,0.0,baseline
0,0.0,2026-07-19,4カドまくり,validation,202607192005,0,78.25,0.6,0,0,0.6,0,0.0,v36
0,0,2026-07-19,5頭展開,validation,202607192211,0,64.75,0.5,0,0,0.5,0,,baseline
0,0,2026-07-19,5頭展開,validation,202607192211,0,64.75,0.5,0,0,0.5,0,,v36
0,0.0,2026-07-20,4カドまくり,validation,202607200401,0,59.97,0.6,0,0,0.4,0,0.0,baseline
