date,race_code,venue,race,day_cat,score4,score5,p4,p5,heads_bet,tickets,composite_odds
2026-08-03,202608030111,01,11R,3日目以降,55.42,64.57,0.1289,0.0683,5,12,28.74
2026-08-03,202608031910,19,10R,初日,59.64,63.47,0.1449,0.067,5,12,29.03
2026-08-03,202608032110,21,10R,2日目,60.69,59.87,0.149,0.063,4,12,12.47
2026-08-03,202608032112,21,12R,2日目,52.73,61.65,0.1199,0.065,5,12,35.76
2026-08-03,202608032309,23,09R,3日目以降,67.59,63.23,0.189,0.0667,4,12,11.69
2026-08-04,202608040512,05,12R,3日目以降,42.55,60.14,0.0833,0.0633,5,12,61.04
2026-08-04,202608041212,12,12R,初日,56.65,67.43,0.1328,0.0658,5,12,23.94
2026-08-05,202608051706,17,06R,3日目以降,47.72,66.9,0.0994,0.0663,5,12,31.14
2026-08-05,202608051711,17,11R,3日目以降,67.78,69.97,0.1903,0.0626,4,12,7.62
2026-08-05,202608051905,19,05R,3日目以降,72.1,66.12,0.2275,0.0672,5,12,33.25
2026-08-06,202608060910,09,10R,2日目,60.99,62.01,0.1505,0.0653,4,12,15.22
2026-08-06,202608061810,18,10R,初日,50.25,64.65,0.1108,0.068,5,12,28.3
2026-08-07,202608070410,04,10R,3日目以降,63.41,77.0,0.1636,0.0507,5,12,33.76
2026-08-07,202608071508,15,08R,初日,51.8,62.61,0.1167,0.0659,5,12,24.58
2026-08-07,202608071706,17,06R,3日目以降,47.51,61.84,0.0985,0.0651,5,12,33.65
2026-08-07,202608071711,17,11R,3日目以降,53.44,60.35,0.1225,0.0632,5,12,32.23
2026-08-07,202608071807,18,07R,2日目,60.68,60.28,0.1489,0.0634,5,12,28.3
2026-08-07,202608072002,20,02R,初日,63.51,66.52,0.1641,0.0665,4,12,11.68
2026-08-07,202608072411,24,11R,2日目,59.98,66.59,0.1461,0.0666,5,12,35.29
2026-08-08,202608080901,09,01R,3日目以降,64.46,54.59,0.1694,0.0542,4,12,10.37
2026-08-08,202608080911,09,11R,3日目以降,45.55,63.58,0.0922,0.0673,5,12,42.87
2026-08-08,202608081404,14,04R,3日目以降,62.38,56.98,0.1577,0.0578,4,12,11.16
2026-08-08,202608081612,16,12R,初日,61.18,74.19,0.1516,0.0511,4,12,23.16
2026-08-08,202608081811,18,11R,3日目以降,55.64,61.47,0.1297,0.0644,5,12,55.31
2026-08-09,202608090910,09,10R,3日目以降,49.79,65.78,0.1088,0.0667,5,12,22.98
2026-08-09,202608091308,13,08R,初日,55.91,65.27,0.1306,0.0674,5,12,31.63
2026-08-09,202608091411,14,11R,3日目以降,70.49,72.53,0.2147,0.0553,4,12,12.09
2026-08-09,202608091810,18,10R,3日目以降,66.55,67.29,0.1834,0.0661,4,12,12.68
2026-08-09,202608091811,18,11R,3日目以降,50.78,60.81,0.1128,0.0634,5,12,25.49
2026-08-09,202608091812,18,12R,3日目以降,62.17,69.01,0.1566,0.0638,4,12,17.15
2026-08-09,202608092005,20,05R,3日目以降,53.74,60.01,0.1235,0.063,5,12,36.97
2026-08-09,202608092006,20,06R,3日目以降,66.18,62.29,0.1811,0.0655,5,12,36.34
2026-08-09,202608092011,20,11R,3日目以降,64.53,73.36,0.1699,0.053,4,12,11.71
2026-08-09,202608092301,23,01R,初日,53.42,61.57,0.1224,0.0647,5,12,22.8
2026-08-10,202608101805,18,05R,3日目以降,64.26,62.62,0.168,0.066,5,12,36.88
2026-08-10,202608101812,18,12R,3日目以降,60.96,56.65,0.1504,0.0569,4,12,13.69
2026-08-11,202608110710,07,10R,初日,59.54,63.9,0.1445,0.068,5,12,43.76
2026-08-11,202608111304,13,04R,3日目以降,64.66,60.7,0.1707,0.0636,5,12,33.66
2026-08-11,202608112010,20,10R,3日目以降,62.23,62.41,0.1569,0.0658,4,12,13.56
2026-08-11,202608112110,21,10R,2日目,44.36,66.18,0.0883,0.0668,5,12,30.19
2026-08-11,202608112111,21,11R,2日目,54.27,64.2,0.1252,0.0683,5,12,34.7
2026-08-11,202608112112,21,12R,2日目,63.15,77.13,0.1621,0.0506,4,12,23.13
2026-08-11,202608112305,23,05R,3日目以降,72.55,69.32,0.2311,0.0633,5,12,42.22
2026-08-12,202608120409,04,09R,2日目,64.93,66.48,0.1725,0.0664,5,12,49.57
2026-08-12,202608121305,13,05R,3日目以降,51.12,60.58,0.1141,0.0634,5,12,40.22
2026-08-12,202608121307,13,07R,3日目以降,63.8,61.69,0.1657,0.065,5,12,32.86
2026-08-12,202608121911,19,11R,2日目,54.77,63.34,0.1266,0.067,5,12,48.88
2026-08-12,202608122012,20,12R,3日目以降,47.44,68.62,0.0982,0.0641,5,12,36.19
2026-08-12,202608122105,21,05R,3日目以降,49.32,62.52,0.1065,0.0659,5,12,52.29
2026-08-12,202608122210,22,10R,初日,75.03,70.75,0.2456,0.063,5,12,59.63
2026-08-12,202608122310,23,10R,3日目以降,52.65,63.48,0.1197,0.067,5,12,51.36
2026-08-12,202608122312,23,12R,3日目以降,64.14,70.89,0.1673,0.0627,5,12,69.35
2026-08-13,202608130712,07,12R,3日目以降,52.05,65.89,0.1175,0.067,5,12,38.48
2026-08-13,202608131212,12,12R,初日,59.38,61.32,0.1439,0.0641,5,12,29.65
2026-08-14,202608140311,03,11R,3日目以降,42.65,62.51,0.0836,0.0659,5,12,34.34
2026-08-14,202608140708,07,08R,3日目以降,49.81,62.12,0.1089,0.0652,5,12,33.49
2026-08-14,202608140710,07,10R,3日目以降,52.71,60.87,0.1199,0.0635,5,12,34.91
2026-08-14,202608141003,10,03R,初日,64.13,63.47,0.1673,0.067,4,12,12.38
2026-08-14,202608141307,13,07R,3日目以降,62.13,67.61,0.1563,0.0653,5,12,40.06
