date,race_code,venue,venue_name,race,boat1_name,pre_p,p109,entry_course,ex_margin23,top7,pre_selected,baseline_buy,v123_buy,winner,head_hit,actual_combo,payout100,ticket7_hit,return7
2026-09-01,202609011910,19,下関,10,小坂 尚哉,0.8423523284973764,0.8354569015959574,1,0.19999999999999996,1-3-5;1-3-2;1-5-3;1-2-3;1-3-4;1-2-5;1-5-2,1,1,1,1,1,1-5-3,2100,1,2100
2026-09-01,202609010712,07,蒲郡,12,上野 真之介,0.8317710525027177,0.8030205470743973,1,0.19999999999999996,1-3-4;1-4-3;1-4-2;1-2-4;1-3-2;1-2-3;1-4-6,1,1,1,3,0,3-1-2,6970,0,0
2026-09-01,202609010510,05,多摩川,10,佐々木 康幸,0.825678351453538,0.7522683471997392,1,-0.4,1-3-4;1-4-3;1-4-6;1-3-6;1-4-5;1-4-2;1-3-5,1,1,0,1,1,1-4-2,1280,1,1280
2026-09-01,202609011912,19,下関,12,船岡 洋一郎,0.8194193487474809,0.7795178117826593,1,-0.4,1-2-3;1-3-2;1-2-5;1-2-6;1-3-5;1-2-4;1-5-2,1,1,0,1,1,1-2-5,890,1,890
2026-09-01,202609011312,13,尼崎,12,平田 忠則,0.8143938589185543,0.7069725681378503,1,0.19999999999999996,1-3-4;1-4-3;1-4-2;1-2-4;1-4-6;1-3-2;1-2-3,1,0,0,4,0,4-1-5,3690,0,0
2026-09-02,202609021910,19,下関,10,守田 俊介,0.8416482499596806,0.818157504511842,1,-0.8,1-2-3;1-3-2;1-2-5;1-2-6;1-3-5;1-5-2;1-2-4,1,1,0,1,1,1-3-2,500,1,500
2026-09-02,202609022409,24,大村,09,松村 敏,0.8414860708010775,0.9432568415970507,1,0.4,1-2-6;1-2-5;1-5-6;1-5-2;1-2-3;1-6-2;1-6-5,1,1,1,3,0,3-1-6,15370,0,0
2026-09-02,202609021911,19,下関,11,小坂 尚哉,0.840876724710362,0.7895972986419798,1,-0.4,1-2-5;1-5-2;1-5-4;1-2-4;1-4-5;1-4-2;1-5-3,1,1,0,1,1,1-4-6,4740,0,0
2026-09-02,202609022212,22,福岡,12,新開 航,0.8167727728129258,0.7832077594671114,1,-0.19999999999999996,1-2-3;1-3-2;1-2-5;1-2-6;1-2-4;1-5-2;1-3-5,1,1,1,1,1,1-4-5,2400,0,0
2026-09-02,202609020610,06,浜名湖,10,倉持 莉々,0.7887168331954377,0.7755446508615221,1,-0.4,1-2-5;1-2-3;1-5-2;1-2-4;1-3-2;1-3-5;1-4-2,1,1,0,1,1,1-3-5,1730,1,1730
2026-09-03,202609031912,19,下関,12,小坂 尚哉,0.8403626687275606,0.8365376713582042,1,0.19999999999999996,1-2-3;1-3-2;1-3-6;1-3-5;1-2-6;1-2-5;1-3-4,1,1,1,1,1,1-2-3,410,1,410
2026-09-03,202609031911,19,下関,11,藤原 啓史朗,0.8262813998815377,0.7600487601503315,1,-0.19999999999999996,1-4-2;1-2-4;1-4-5;1-4-3;1-2-5;1-2-3;1-3-4,1,1,1,1,1,1-2-3,690,1,690
2026-09-03,202609030910,09,津,10,山崎 郡,0.8165294574149419,0.7552456127377941,1,0.4,1-2-4;1-4-2;1-4-3;1-2-3;1-3-4;1-3-2;1-4-5,1,1,1,2,0,2-4-5,22040,0,0
2026-09-03,202609030906,09,津,06,宮之原 輝紀,0.804179249030947,0.676275099188202,1,-0.8,1-2-3;1-3-2;1-2-4;1-4-2;1-3-4;1-2-5;1-4-3,1,0,0,3,0,3-1-4,3690,0,0
2026-09-03,202609030612,06,浜名湖,12,倉持 莉々,0.8019498362171003,0.7752394375254914,1,0.4,1-3-5;1-3-4;1-5-3;1-4-3;1-3-2;1-3-6;1-4-5,1,1,1,1,1,1-4-3,1500,1,1500
2026-09-04,202609042409,24,大村,09,永田 啓二,0.8518089665819314,0.83808385048138,1,-1.0,1-3-4;1-4-3;1-3-5;1-3-2;1-3-6;1-4-5;1-5-3,1,1,0,6,0,6-1-3,235090,0,0
2026-09-04,202609040912,09,津,12,新田 雄史,0.845646470318256,0.7654557727608253,1,-0.6,1-3-6;1-3-4;1-6-3;1-3-2;1-2-3;1-4-3;1-2-6,1,1,0,1,1,1-3-2,950,1,950
2026-09-04,202609040910,09,津,10,柳生 泰二,0.8389951038265987,0.7257024894372731,1,-0.6000000000000001,1-3-6;1-3-4;1-6-3;1-4-3;1-4-6;1-3-2;1-3-5,1,1,0,1,1,1-3-2,1940,1,1940
2026-09-04,202609042410,24,大村,10,松村 敏,0.8382280120032025,0.9274946483115915,1,0.4,1-2-4;1-4-2;1-4-6;1-2-6;1-4-5;1-2-5;1-4-3,1,1,1,1,1,1-3-4,1810,0,0
2026-09-04,202609040712,07,蒲郡,12,吉田 裕平,0.8198504948725412,0.8111461081731246,1,0.19999999999999996,1-3-6;1-3-4;1-6-3;1-4-3;1-4-6;1-2-3;1-3-2,1,1,1,1,1,1-3-5,1530,0,0
