race_code,tickets,hit,payout
202603010607,3-1-6|3-1-2|3-2-6,1,3240.0
202603051307,3-1-4|3-1-2|3-4-1,1,1600.0
202603080209,3-1-2|3-2-1|3-2-6,1,2300.0
202603101301,3-1-2|3-1-5|3-1-4,1,940.0
202603111604,3-1-2|3-2-4|3-2-1,1,10170.0
202603120504,3-1-2|3-2-1|3-1-5,1,1220.0
202603121807,3-2-4|3-4-2|3-5-2,1,5090.0
202603130408,3-1-4|3-1-2|3-4-1,1,1190.0
202603140501,3-1-4|3-1-2|3-1-6,1,1080.0
202603151102,3-1-5|3-1-2|3-1-4,1,1780.0
202603160501,3-1-5|3-1-6|3-1-2,1,1330.0
202603182412,3-1-4|3-1-2|3-1-5,1,2410.0
202603190208,3-1-5|3-1-2|3-1-4,1,2620.0
202603191602,3-1-4|3-1-2|3-1-5,1,1560.0
202603201608,3-1-5|3-1-2|3-1-4,1,800.0
202603202007,3-1-4|3-1-2|3-1-6,1,510.0
202603211402,3-1-2|3-1-4|3-2-1,1,1270.0
202603211605,3-1-4|3-2-4|3-1-2,1,1550.0
202603250709,3-1-4|3-1-5|3-1-2,1,1450.0
202603250910,3-1-4|3-1-5|3-1-2,1,1760.0
202603252205,3-1-6|3-1-4|3-1-5,1,1320.0
202603261005,3-1-2|3-4-2|3-1-4,1,4420.0
202603270401,3-1-2|3-2-5|3-1-5,1,3520.0
202603280402,3-1-2|3-1-4|3-2-4,1,1160.0
202603310507,3-1-5|3-1-4|3-1-2,1,8540.0
