race_code,date,month,route
202602071007,2026-02-07,2026-02,S
202602120606,2026-02-12,2026-02,S
202602150404,2026-02-15,2026-02,S
202602161108,2026-02-16,2026-02,S
202602171607,2026-02-17,2026-02,S
202602171911,2026-02-17,2026-02,S
202602191910,2026-02-19,2026-02,A
202602270507,2026-02-27,2026-02,S
202603031807,2026-03-03,2026-03,S
202603080101,2026-03-08,2026-03,S
202603081308,2026-03-08,2026-03,B
202603101810,2026-03-10,2026-03,S
202603111810,2026-03-11,2026-03,A
202603122004,2026-03-12,2026-03,B
202603141405,2026-03-14,2026-03,S
202603200809,2026-03-20,2026-03,S
202603211406,2026-03-21,2026-03,S
202603241009,2026-03-24,2026-03,A
202603271906,2026-03-27,2026-03,A
202603281904,2026-03-28,2026-03,S
202604031706,2026-04-03,2026-04,S
202604072406,2026-04-07,2026-04,S
202604091103,2026-04-09,2026-04,S
202604180504,2026-04-18,2026-04,S
202604181006,2026-04-18,2026-04,A
202604200609,2026-04-20,2026-04,S
202604210102,2026-04-21,2026-04,S
202604211805,2026-04-21,2026-04,A
202604280406,2026-04-28,2026-04,S
202604291806,2026-04-29,2026-04,A
202604301407,2026-04-30,2026-04,B
202604301904,2026-04-30,2026-04,S
202605011704,2026-05-01,2026-05,S
202605020501,2026-05-02,2026-05,S
202605040103,2026-05-04,2026-05,S
202605051009,2026-05-05,2026-05,B
202605060206,2026-05-06,2026-05,S
202605061805,2026-05-06,2026-05,A
202605092108,2026-05-09,2026-05,B
202605120907,2026-05-12,2026-05,S
202605121106,2026-05-12,2026-05,S
202605131104,2026-05-13,2026-05,S
202605131105,2026-05-13,2026-05,S
202605131907,2026-05-13,2026-05,S
202605201104,2026-05-20,2026-05,A
202605211405,2026-05-21,2026-05,B
202605221504,2026-05-22,2026-05,A
202605231904,2026-05-23,2026-05,B
202606060605,2026-06-06,2026-06,S
202606080501,2026-06-08,2026-06,A
202606122308,2026-06-12,2026-06,A
202606140305,2026-06-14,2026-06,A
202606142203,2026-06-14,2026-06,B
202606180407,2026-06-18,2026-06,S
202606191706,2026-06-19,2026-06,S
202606201105,2026-06-20,2026-06,A
202606211009,2026-06-21,2026-06,B
202606220506,2026-06-22,2026-06,A
202606250405,2026-06-25,2026-06,A
202606280210,2026-06-28,2026-06,B
202606281703,2026-06-28,2026-06,S
202606292103,2026-06-29,2026-06,B
202607050103,2026-07-05,2026-07,B
202607091103,2026-07-09,2026-07,S
202607091605,2026-07-09,2026-07,S
202607101005,2026-07-10,2026-07,A
202607111007,2026-07-11,2026-07,A
202607120302,2026-07-12,2026-07,S
202607121405,2026-07-12,2026-07,B
202607122203,2026-07-12,2026-07,S
202607211601,2026-07-21,2026-07,B
202607242205,2026-07-24,2026-07,B
202607260608,2026-07-26,2026-07,S
202607280410,2026-07-28,2026-07,A
202607291502,2026-07-29,2026-07,S
202608010501,2026-08-01,2026-08,B
202608012203,2026-08-01,2026-08,S
202608021304,2026-08-02,2026-08,S
202608030504,2026-08-03,2026-08,A
202608041301,2026-08-04,2026-08,S
202608062406,2026-08-06,2026-08,S
202608071006,2026-08-07,2026-08,S
202608102309,2026-08-10,2026-08,S
202608110405,2026-08-11,2026-08,B
202608110508,2026-08-11,2026-08,S
202608120404,2026-08-12,2026-08,B
202608151006,2026-08-15,2026-08,S
202608181103,2026-08-18,2026-08,S
202608191110,2026-08-19,2026-08,A
202608191608,2026-08-19,2026-08,S
202608191806,2026-08-19,2026-08,S
202608241006,2026-08-24,2026-08,S
202608242203,2026-08-24,2026-08,S
202608271006,2026-08-27,2026-08,S
