approved_A,approved_S,date,ex_head,head_boat,history_adjust,history_pct,model,orig_straight_head,orig_turn_head,pair_weight,period,preview_comp,prior1,prior2,race_code,st_head,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v53_score
0,0,2026-09-02,0.4,3,1.188,0.7969,3まくり,0.0,0.4,0.0,test,0.39036666666666675,0.6793756558237146,0.5748132214060859,202609020506,0.8,3-4-6;3-4-1;3-4-5;3-5-4;3-1-4;3-4-2;3-6-4;3-2-4;3-5-6;3-1-6;3-5-1;3-1-5;3-2-6;3-6-1;3-5-2;3-1-2;3-2-1;3-6-5;3-2-5;3-6-2,3-4-6;3-4-1;3-4-5;3-5-4,3-4-6;3-4-1;3-4-5;3-5-4;3-1-4;3-4-2,3-4-6;3-4-1;3-4-5;3-5-4;3-1-4;3-4-2;3-6-4;3-2-4,-0.5,40.17466666666668
0,0,2026-09-02,0.4,3,0.291,0.5726,3まくり,0.19999999999999996,0.8,0.0,test,0.29718333333333335,0.5,0.5,202609021704,0.19999999999999996,3-5-1;3-1-4;3-5-4;3-4-1;3-1-5;3-1-6;3-5-6;3-4-5;3-4-6;3-1-2;3-5-2;3-2-1;3-4-2;3-2-4;3-2-5;3-6-1;3-2-6;3-6-4;3-6-5;3-6-2,3-5-1;3-1-4;3-5-4;3-4-1,3-5-1;3-1-4;3-5-4;3-4-1;3-1-5;3-1-6,3-5-1;3-1-4;3-5-4;3-4-1;3-1-5;3-1-6;3-5-6;3-4-5,0,29.799333333333333
1,1,2026-09-02,1.0,4,1.415,0.8536,4カドまくり,1.0,0.6,,test,0.8733,0.7018730325288562,0.707436516264428,202609020608,0.8,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-5;4-1-2;4-1-6;4-6-2;4-3-1;4-6-5;4-5-3;4-1-3;4-2-5;4-2-6;4-6-3;4-3-5;4-3-2;4-3-6;4-2-3,4-5-1;4-6-1;4-5-2;4-2-1,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-5,4-5-1;4-6-1;4-5-2;4-2-1;4-5-6;4-1-5;4-1-2;4-1-6,0,88.705
0,0,2026-09-02,0.19999999999999996,4,-1.212,0.197,4カドまくり,0.5,0.5,,test,0.5145,0.39499999999999996,0.423,202609020803,0.8,4-5-1;4-5-2;4-6-1;4-5-6;4-1-5;4-2-1;4-5-3;4-1-2;4-2-5;4-6-5;4-3-1;4-6-2;4-1-6;4-3-5;4-1-3;4-2-6;4-3-2;4-2-3;4-6-3;4-3-6,4-5-1;4-5-2;4-6-1;4-5-6,4-5-1;4-5-2;4-6-1;4-5-6;4-1-5;4-2-1,4-5-1;4-5-2;4-6-1;4-5-6;4-1-5;4-2-1;4-5-3;4-1-2,0,50.19799999999999
0,0,2026-09-02,0.8,4,-1.508,0.1231,4カドまくり,0.5,0.5,,test,0.5625,0.32499999999999996,0.353,202609020809,0.4,4-5-1;4-6-1;4-2-1;4-5-2;4-1-2;4-3-1;4-6-2;4-1-6;4-1-5;4-5-6;4-1-3;4-2-6;4-3-2;4-5-3;4-2-5;4-2-3;4-6-5;4-6-3;4-3-6;4-3-5,4-5-1;4-6-1;4-2-1;4-5-2,4-5-1;4-6-1;4-2-1;4-5-2;4-1-2;4-3-1,4-5-1;4-6-1;4-2-1;4-5-2;4-1-2;4-3-1;4-6-2;4-1-6,-0.5,53.552
0,0,2026-09-02,0.5,4,1.491,0.8728,4カドまくり,0.5,1.0,,test,0.53615,0.8,0.6717557997557998,202609021204,0.4,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-6-2;4-2-5;4-5-6;4-1-5;4-2-6;4-3-1;4-1-6;4-5-3;4-6-5;4-3-2;4-2-3;4-1-3;4-3-5;4-6-3;4-3-6,4-5-1;4-5-2;4-2-1;4-1-2,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-6-2,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-6-2;4-2-5;4-5-6,-0.5,53.916000000000004
1,0,2026-09-02,0.19999999999999996,4,1.847,0.9617,4カドまくり,0.5,0.8,,test,0.5894499999999999,0.8646947496947496,0.7844505494505494,202609021803,1.0,4-5-1;4-5-2;4-6-1;4-5-6;4-2-1;4-1-5;4-1-2;4-6-5;4-2-5;4-6-2;4-5-3;4-1-6;4-3-1;4-2-6;4-3-5;4-1-3;4-3-2;4-6-3;4-2-3;4-3-6,4-5-1;4-5-2;4-6-1;4-5-6,4-5-1;4-5-2;4-6-1;4-5-6;4-2-1;4-1-5,4-5-1;4-5-2;4-6-1;4-5-6;4-2-1;4-1-5;4-1-2;4-6-5,0,60.751999999999995
0,0,2026-09-02,0.6,4,0.047,0.5116,4カドまくり,0.8,0.0,,test,0.46835000000000004,0.5,0.5,202609022206,0.19999999999999996,4-6-1;4-5-1;4-6-2;4-5-6;4-5-2;4-1-6;4-2-1;4-3-1;4-6-3;4-2-6;4-1-2;4-6-5;4-3-6;4-5-3;4-1-3;4-3-2;4-1-5;4-2-3;4-2-5;4-3-5,4-6-1;4-5-1;4-6-2;4-5-6,4-6-1;4-5-1;4-6-2;4-5-6;4-5-2;4-1-6,4-6-1;4-5-1;4-6-2;4-5-6;4-5-2;4-1-6;4-2-1;4-3-1,0,46.842000000000006
0,0,2026-09-02,0.6,4,0.047,0.5116,4カドまくり,0.4,0.4,,test,0.40035,0.5,0.5,202609022207,0.19999999999999996,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-6-2;4-2-5;4-5-6;4-1-5;4-3-1;4-2-6;4-5-3;4-3-2;4-1-6;4-2-3;4-6-5;4-1-3;4-3-5;4-6-3;4-3-6,4-5-1;4-5-2;4-2-1;4-1-2,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-6-2,4-5-1;4-5-2;4-2-1;4-1-2;4-6-1;4-6-2;4-2-5;4-5-6,0,40.041999999999994
1,1,2026-09-02,0.8,5,0,0.5,5頭展開,1.0,0.4,0.4,test,0.7199566666666666,0.6685362014690451,0.5941227701993703,202609020510,0.8,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2;5-4-3;5-2-4;5-2-6;5-3-1;5-2-3;5-3-2;5-6-2;5-3-6;5-6-1;5-3-4;5-6-3;5-6-4,5-1-2;5-1-6;5-1-3;5-1-4,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2,-0.5,71.99566666666666
1,0,2026-09-02,0.8,5,0,0.5,5頭展開,0.5,0.5,0.4,test,0.5830100000000001,0.45,0.466,202609020803,1.0,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2;5-4-3;5-2-4;5-3-1;5-2-6;5-6-1;5-6-2;5-2-3;5-3-2;5-3-6;5-3-4;5-6-4;5-6-3,5-1-2;5-1-6;5-1-3;5-1-4,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1,5-1-2;5-1-6;5-1-3;5-1-4;5-4-1;5-2-1;5-4-6;5-4-2,0,58.301000000000016
