date,head_boat,history_adjust,history_pct,model,prior1,prior2,race_code,race_no,venue
2026-09-02,3,1.188,0.7969,3まくり,0.6793756558237146,0.5748132214060859,202609020506,6,多摩川
2026-09-02,3,0.291,0.5726,3まくり,0.5,0.5,202609021704,4,宮島
2026-09-02,4,1.415,0.8536,4カドまくり,0.7018730325288562,0.707436516264428,202609020608,8,浜名湖
2026-09-02,4,-1.212,0.197,4カドまくり,0.39499999999999996,0.423,202609020803,3,常滑
2026-09-02,4,-1.508,0.1231,4カドまくり,0.32499999999999996,0.353,202609020809,9,常滑
2026-09-02,4,1.491,0.8728,4カドまくり,0.8,0.6717557997557998,202609021204,4,住之江
2026-09-02,4,1.847,0.9617,4カドまくり,0.8646947496947496,0.7844505494505494,202609021803,3,徳山
2026-09-02,4,0.047,0.5116,4カドまくり,0.5,0.5,202609022206,6,福岡
2026-09-02,4,0.047,0.5116,4カドまくり,0.5,0.5,202609022207,7,福岡
2026-09-02,5,0.0,0.5,5頭展開,0.6685362014690451,0.5941227701993703,202609020510,10,多摩川
2026-09-02,5,0.0,0.5,5頭展開,0.45,0.466,202609020803,3,常滑
2026-09-02,5,0.0,0.5,5頭展開,0.53,0.506,202609020804,4,常滑
2026-09-02,5,0.0,0.5,5頭展開,0.8,0.8,202609021306,6,尼崎
2026-09-02,5,0.0,0.5,5頭展開,0.6020828961175236,0.6207481636935992,202609021603,3,児島
2026-09-02,5,0.0,0.5,5頭展開,0.49027472527472526,0.5858351648351648,202609021803,3,徳山
