actual_combo,approved,base_score,date,direct_comp,head,kimarite,model,payout100,proxy6_hit,race_code,score,target_hit,threshold,tickets6,winner
1-3-5,0,65.53709218559219,2026-06-09,0.43,3,逃げ,3まくり,1080,0,202606090107,55.395400702075705,0,65,3-1-6;3-1-5;3-1-2;3-6-1;3-6-5;3-6-2,1
1-3-5,1,65.53709218559219,2026-06-09,0.6220000000000001,3,逃げ,3まくり差し,1080,0,202606090107,64.0354007020757,0,55,3-1-6;3-1-5;3-1-2;3-6-1;3-6-5;3-6-2,1
3-5-2,1,66.47806166056166,2026-06-09,0.67,3,まくり差し,3まくり,4380,1,202606090108,66.71293391330892,0,65,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6,3
3-5-2,1,66.47806166056166,2026-06-09,0.596,3,まくり差し,3まくり差し,4380,1,202606090108,63.38293391330892,1,55,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6,3
1-3-4,0,53.05920451770453,2026-06-09,0.3833333333333333,4,逃げ,4カドまくり,1560,0,202606090109,46.43256248473749,0,60,4-2-3;4-2-6;4-2-5;4-3-2;4-3-6;4-3-5,1
3-4-5,0,61.384989981512014,2026-06-09,0.3826666666666667,4,まくり,4カドまくり,1030,0,202606090505,50.98174448983161,0,60,4-3-1;4-3-2;4-3-5;4-1-3;4-1-2;4-1-5,3
3-1-4,1,62.664269100084944,2026-06-09,0.894,3,抜き,3まくり差し,4010,1,202606090506,74.69534800504672,0,55,3-6-1;3-6-2;3-6-4;3-1-6;3-1-2;3-1-4,3
2-1-4,0,65.68768962674262,2026-06-09,0.45,3,差し,3まくり,1720,0,202606090507,56.37822929470845,0,65,3-5-4;3-5-2;3-5-6;3-4-5;3-4-2;3-4-6,2
2-1-4,0,65.68768962674262,2026-06-09,0.39599999999999996,3,差し,3まくり差し,1720,0,202606090507,53.94822929470844,0,55,3-5-4;3-5-2;3-5-6;3-4-5;3-4-2;3-4-6,2
2-1-4,1,72.47833990406237,2026-06-09,0.5353333333333333,4,差し,4カドまくり,1720,0,202606090507,63.95308694723431,0,60,4-5-2;4-5-3;4-5-6;4-2-5;4-2-3;4-2-6,2
4-6-5,1,59.5645814470594,2026-06-09,0.6246666666666667,4,まくり,4カドまくり,13730,0,202606090609,60.87051979588267,1,60,4-1-5;4-1-6;4-1-2;4-5-1;4-5-6;4-5-2,4
1-2-3,1,63.88981724379153,2026-06-09,0.526,3,逃げ,3まくり差し,450,0,202606090611,58.80939948408535,0,55,3-1-2;3-1-6;3-1-4;3-2-1;3-2-6;3-2-4,1
3-4-5,0,67.9209523809524,2026-06-09,0.27999999999999997,3,まくり,3まくり,2140,0,202606090708,49.956523809523816,1,65,3-5-1;3-5-6;3-5-4;3-1-5;3-1-6;3-1-4,3
3-4-5,1,67.9209523809524,2026-06-09,0.48599999999999993,3,まくり,3まくり差し,2140,0,202606090708,59.22652380952382,0,55,3-5-1;3-5-6;3-5-4;3-1-5;3-1-6;3-1-4,3
1-3-6,0,57.13774317526941,2026-06-09,0.51,3,逃げ,3まくり差し,1430,0,202606090906,54.375758746398176,0,55,3-6-4;3-6-1;3-6-5;3-4-6;3-4-1;3-4-5,1
1-3-6,0,57.19607214477257,2026-06-09,0.49933333333333335,4,逃げ,4カドまくり,1430,0,202606090906,53.927839679624924,0,60,4-6-3;4-6-1;4-6-5;4-3-6;4-3-1;4-3-5,1
1-3-5,0,60.565645655324055,2026-06-09,0.5880000000000001,4,逃げ,4カドまくり,930,0,202606090907,59.77110511042824,0,60,4-5-3;4-5-1;4-5-2;4-3-5;4-3-1;4-3-2,1
1-3-2,1,63.28620296807075,2026-06-09,0.87,3,逃げ,3まくり差し,710,0,202606090910,73.95741163243892,0,55,3-5-1;3-5-2;3-5-6;3-1-5;3-1-2;3-1-6,1
4-2-1,0,64.47788095238096,2026-06-09,0.47000000000000003,3,差し,3まくり,11180,0,202606091103,56.612834523809525,0,65,3-5-4;3-5-1;3-5-2;3-4-5;3-4-1;3-4-2,4
4-2-1,0,64.47788095238096,2026-06-09,0.432,3,差し,3まくり差し,11180,0,202606091103,54.90283452380953,0,55,3-5-4;3-5-1;3-5-2;3-4-5;3-4-1;3-4-2,4
2-3-5,0,61.28576190476191,2026-06-09,0.3,3,まくり,3まくり,1530,0,202606091107,47.207169047619054,0,65,3-2-5;3-2-4;3-2-1;3-5-2;3-5-4;3-5-1,2
2-3-5,0,61.28576190476191,2026-06-09,0.464,3,まくり,3まくり差し,1530,0,202606091107,54.58716904761906,0,55,3-2-5;3-2-4;3-2-1;3-5-2;3-5-4;3-5-1,2
1-3-6,0,57.12980952380953,2026-06-09,0.37866666666666665,4,逃げ,4カドまくり,1800,0,202606091110,48.46139523809524,0,60,4-1-6;4-1-2;4-1-5;4-6-1;4-6-2;4-6-5,1
1-3-5,0,63.7499761904762,2026-06-09,0.20999999999999996,3,逃げ,3まくり,1190,0,202606091112,44.512486904761914,0,65,3-5-1;3-5-4;3-5-6;3-1-5;3-1-4;3-1-6,1
1-3-5,1,63.7499761904762,2026-06-09,0.5,3,逃げ,3まくり差し,1190,0,202606091112,57.56248690476191,0,55,3-5-1;3-5-4;3-5-6;3-1-5;3-1-4;3-1-6,1
1-4-6,0,60.54503174603174,2026-06-09,0.312,3,逃げ,3まくり差し,2650,0,202606091308,47.33976746031746,0,55,3-1-4;3-1-6;3-1-2;3-4-1;3-4-6;3-4-2,1
