venue,metric,boat,n,baseline_corr,raw_venue_corr,selected_corr,shrink_k
01,まわり足,1,316,0.2,0.06366,0.095429,96.0
01,まわり足,2,316,0.1,0.024863,0.042371,96.0
01,まわり足,3,316,0.0,0.000654,0.000502,96.0
01,まわり足,4,316,-0.05,-0.0152,-0.023309,96.0
01,まわり足,5,316,-0.1,-0.019726,-0.03843,96.0
01,まわり足,6,316,-0.15,-0.054251,-0.076561,96.0
01,一周,1,323,0.4,0.161965,0.216503,96.0
01,一周,2,323,0.3,0.029798,0.091706,96.0
01,一周,3,323,0.2,-0.010388,0.037815,96.0
01,一周,4,322,0.1,-0.051749,-0.016898,96.0
01,一周,5,323,0.05,-0.061131,-0.035669,96.0
01,一周,6,323,0.0,-0.068654,-0.052924,96.0
01,展示,1,301,0.02,0.011733,0.013732,96.0
01,展示,2,301,0.01,0.005354,0.006478,96.0
01,展示,3,301,0.0,0.001069,0.00081,96.0
01,展示,4,301,-0.01,-0.006074,-0.007024,96.0
01,展示,5,301,-0.01,-0.004812,-0.006066,96.0
01,展示,6,301,-0.02,-0.00727,-0.010348,96.0
01,直線,1,316,0.0,0.028898,0.022164,96.0
01,直線,2,316,0.0,0.012664,0.009713,96.0
01,直線,3,316,0.0,0.001113,0.000854,96.0
01,直線,4,316,-0.01,-0.009995,-0.009996,96.0
01,直線,5,316,-0.02,-0.009868,-0.012229,96.0
01,直線,6,316,-0.02,-0.022811,-0.022156,96.0
02,まわり足,1,204,0.2,0.069028,0.110939,96.0
02,まわり足,2,204,0.1,0.011479,0.039806,96.0
02,まわり足,3,204,0.0,-0.021708,-0.014761,96.0
02,まわり足,4,204,-0.05,-0.021658,-0.030728,96.0
02,まわり足,5,204,-0.1,-0.016609,-0.043294,96.0
02,まわり足,6,204,-0.15,-0.020531,-0.061961,96.0
02,一周,1,204,0.4,0.374665,0.382772,96.0
02,一周,2,204,0.3,0.073292,0.145839,96.0
02,一周,3,204,0.2,-0.06808,0.017706,96.0
02,一周,4,204,0.1,-0.076168,-0.019794,96.0
02,一周,5,204,0.05,-0.129796,-0.072261,96.0
02,一周,6,204,0.0,-0.173913,-0.118261,96.0
02,展示,1,204,0.02,0.024714,0.023206,96.0
02,展示,2,204,0.01,0.011626,0.011106,96.0
02,展示,3,204,0.0,0.001381,0.000939,96.0
02,展示,4,204,-0.01,-0.008717,-0.009128,96.0
02,展示,5,204,-0.01,-0.015335,-0.013628,96.0
02,展示,6,204,-0.02,-0.013668,-0.015694,96.0
02,直線,1,204,0.0,0.06143,0.041772,96.0
02,直線,2,204,0.0,0.012263,0.008339,96.0
02,直線,3,204,0.0,-0.000727,-0.000494,96.0
02,直線,4,204,-0.01,-0.012541,-0.011728,96.0
02,直線,5,204,-0.02,-0.028423,-0.025728,96.0
02,直線,6,204,-0.02,-0.032002,-0.028161,96.0
03,展示,1,233,0.02,0.022937,0.02208,96.0
03,展示,2,233,0.01,0.008474,0.008919,96.0
03,展示,3,232,0.0,-0.004731,-0.003347,96.0
03,展示,4,232,-0.01,0.004614,0.000336,96.0
03,展示,5,233,-0.01,-0.007149,-0.007981,96.0
03,展示,6,233,-0.02,-0.024144,-0.022935,96.0
04,まわり足,1,216,0.2,0.124415,0.147672,96.0
04,まわり足,2,215,0.1,0.049719,0.06524,96.0
04,まわり足,3,216,0.0,-0.020122,-0.013931,96.0
04,まわり足,4,216,-0.05,-0.038455,-0.042007,96.0
04,まわり足,5,214,-0.1,-0.059179,-0.07182,96.0
04,まわり足,6,216,-0.15,-0.056696,-0.085405,96.0
04,一周,1,216,0.4,0.312497,0.339421,96.0
04,一周,2,215,0.3,0.039429,0.119863,96.0
04,一周,3,216,0.2,-0.053985,0.024165,96.0
04,一周,4,216,0.1,-0.082457,-0.026316,96.0
