model,venue,train_races,hits,raw_rate,smoothed_rate,venue_index
3まくり,01,297,19,0.06397,0.06067,1.253
3まくり,02,204,24,0.11765,0.09815,2.027
3まくり,03,226,15,0.06637,0.06168,1.274
3まくり,04,216,18,0.08333,0.0739,1.526
3まくり,05,335,19,0.05672,0.05512,1.138
3まくり,06,312,9,0.02885,0.03284,0.678
3まくり,07,323,16,0.04954,0.04932,1.018
3まくり,08,336,11,0.03274,0.03575,0.738
3まくり,09,341,13,0.03812,0.04008,0.828
3まくり,10,300,23,0.07667,0.07072,1.46
3まくり,11,312,13,0.04167,0.04305,0.889
3まくり,12,216,15,0.06944,0.06376,1.317
3まくり,13,372,12,0.03226,0.03512,0.725
3まくり,14,204,10,0.04902,0.04885,1.009
3まくり,15,216,7,0.03241,0.03674,0.759
3まくり,16,264,6,0.02273,0.0287,0.593
3まくり,17,216,5,0.02315,0.02998,0.619
3まくり,18,267,13,0.04869,0.04863,1.004
3まくり,19,263,5,0.01901,0.02587,0.534
3まくり,20,290,12,0.04138,0.0429,0.886
3まくり,21,264,12,0.04545,0.04615,0.953
3まくり,22,263,23,0.08745,0.07835,1.618
3まくり,23,311,13,0.0418,0.04316,0.891
3まくり,24,322,10,0.03106,0.03451,0.713
3まくり差し,01,297,20,0.06734,0.06298,1.346
3まくり差し,02,204,4,0.01961,0.02726,0.583
3まくり差し,03,226,12,0.0531,0.05144,1.1
3まくり差し,04,216,14,0.06481,0.05994,1.281
3まくり差し,05,335,10,0.02985,0.03311,0.708
3まくり差し,06,312,14,0.04487,0.04526,0.968
3まくり差し,07,323,17,0.05263,0.05147,1.1
3まくり差し,08,336,8,0.02381,0.02823,0.603
3まくり差し,09,341,14,0.04106,0.04214,0.901
3まくり差し,10,300,12,0.04,0.04143,0.886
3まくり差し,11,312,17,0.05449,0.05291,1.131
3まくり差し,12,216,12,0.05556,0.05318,1.137
3まくり差し,13,372,21,0.05645,0.05474,1.17
3まくり差し,14,204,18,0.08824,0.07656,1.637
3まくり差し,15,216,16,0.07407,0.0667,1.426
3まくり差し,16,264,15,0.05682,0.05448,1.165
3まくり差し,17,216,10,0.0463,0.04643,0.993
3まくり差し,18,267,7,0.02622,0.03096,0.662
3まくり差し,19,263,15,0.05703,0.05464,1.168
3まくり差し,20,290,13,0.04483,0.04525,0.967
3まくり差し,21,264,12,0.04545,0.04576,0.978
3まくり差し,22,263,8,0.03042,0.03423,0.732
3まくり差し,23,311,8,0.02572,0.03003,0.642
3まくり差し,24,322,15,0.04658,0.04662,0.997
4カドまくり,01,297,14,0.04714,0.04671,1.035
4カドまくり,02,204,11,0.05392,0.05144,1.14
4カドまくり,03,226,16,0.0708,0.06409,1.42
4カドまくり,04,216,8,0.03704,0.03922,0.869
4カドまくり,05,335,16,0.04776,0.04725,1.047
4カドまくり,06,312,14,0.04487,0.04492,0.995
4カドまくり,07,323,25,0.0774,0.07099,1.573
4カドまくり,08,336,18,0.05357,0.05195,1.151
4カドまくり,09,341,17,0.04985,0.04896,1.085
4カドまくり,10,300,10,0.03333,0.03582,0.794
4カドまくり,11,312,12,0.03846,0.03982,0.882
4カドまくり,12,216,11,0.05093,0.04936,1.094
4カドまくり,13,372,16,0.04301,0.04339,0.961
4カドまくり,14,204,11,0.05392,0.05144,1.14
4カドまくり,15,216,11,0.05093,0.04936,1.094
4カドまくり,16,264,13,0.04924,0.04829,1.07
4カドまくり,17,216,16,0.07407,0.06625,1.468
4カドまくり,18,267,10,0.03745,0.03922,0.869
4カドまくり,19,263,7,0.02662,0.03093,0.685
4カドまくり,20,290,8,0.02759,0.03138,0.695
4カドまくり,21,264,9,0.03409,0.03666,0.812
4カドまくり,22,263,9,0.03422,0.03676,0.815
4カドまくり,23,311,8,0.02572,0.02969,0.658
4カドまくり,24,322,11,0.03416,0.03634,0.805
5頭展開,01,297,20,0.06734,0.06441,1.203
5頭展開,02,204,15,0.07353,0.06789,1.268
5頭展開,03,226,12,0.0531,0.05321,0.994
5頭展開,04,216,9,0.04167,0.04487,0.838
5頭展開,05,335,17,0.05075,0.05128,0.958
5頭展開,06,312,21,0.06731,0.06449,1.205
5頭展開,07,323,30,0.09288,0.08507,1.589
5頭展開,08,336,17,0.0506,0.05116,0.956
5頭展開,09,341,19,0.05572,0.0553,1.033
5頭展開,10,300,17,0.05667,0.056,1.046
5頭展開,11,312,18,0.05769,0.05684,1.062
5頭展開,12,216,10,0.0463,0.04825,0.901
5頭展開,13,372,19,0.05108,0.05151,0.962
5頭展開,14,204,14,0.06863,0.06437,1.203
5頭展開,15,216,10,0.0463,0.04825,0.901
5頭展開,16,264,15,0.05682,0.05605,1.047
5頭展開,17,216,10,0.0463,0.04825,0.901
5頭展開,18,267,11,0.0412,0.04404,0.823
5頭展開,19,263,11,0.04183,0.04455,0.832
5頭展開,20,290,10,0.03448,0.0386,0.721
5頭展開,21,264,16,0.06061,0.05896,1.102
5頭展開,22,263,6,0.02281,0.02998,0.56
5頭展開,23,311,12,0.03859,0.04164,0.778
5頭展開,24,322,18,0.0559,0.05543,1.036
