race_code,venue,race,boat4,boat5,s4,s5,attack4,resist12,4stretch,5turn,market4_head,market5_head,value_index4,value_index5,winner,second,third,kimarite,top4_longshots,top5_longshots
202609022207,22,07R,北山 康介,有山 望,68.6,62.7,0.7,0.609,0.5,0.5,0.1251,0.0322,5.48,19.51,1,4,6,逃げ,4-6-5@544.8 / 4-5-3@462.2 / 4-3-5@299.1,5-6-4@1525.0 / 5-4-6@1386.0 / 5-6-3@1173.0
202609020809,08,09R,荒井 翔伍,中村 楓,48.5,62.9,0.528,0.85,0.35,0.5,0.1141,0.0438,4.25,14.35,4,2,1,まくり,4-5-3@495.1 / 4-3-5@495.1 / 4-3-6@435.6,5-6-3@1556.0 / 5-6-4@837.8 / 5-6-2@680.7
202609022105,21,05R,一宮 稔弘,村田 浩司,61.4,68.7,0.67,0.78,0.669,0.704,0.1135,0.0496,5.41,13.84,1,5,4,逃げ,4-3-6@477.1 / 4-3-2@450.2 / 4-6-3@371.6,5-6-3@998.9 / 5-3-4@863.9 / 5-3-2@743.3
202609021306,13,06R,小山 勉,佐藤 太亮,56.7,62.2,0.534,0.805,0.379,0.8,0.254,0.0459,2.23,13.56,4,6,5,まくり,4-6-2@272.0 / 4-3-2@272.0 / 4-3-6@268.7,5-6-3@881.4 / 5-6-2@734.5 / 5-3-2@710.8
202609020509,05,09R,川原 正明,木下 雄介,59.0,70.4,0.58,0.812,0.651,0.99,0.1118,0.0532,5.27,13.24,1,2,4,逃げ,4-6-3@350.7 / 4-3-6@324.0 / 4-6-5@278.6,5-6-3@693.3 / 5-6-4@634.3 / 5-6-1@532.3
202609021204,12,04R,木谷 賢太,草場 康幸,66.2,67.5,0.794,0.69,0.8,0.5,0.2607,0.0538,2.54,12.55,4,5,2,差し,4-6-3@424.0 / 4-3-5@378.6 / 4-3-6@294.5,5-6-3@2120.0 / 5-6-1@963.8 / 5-6-2@757.2
202609021610,16,10R,入海 馨,高田 明,39.7,63.5,0.412,0.893,0.477,0.676,0.0895,0.0528,4.44,12.02,1,4,3,逃げ,4-6-3@1477.0 / 4-3-6@848.2 / 4-6-1@610.7,5-6-3@1761.0 / 5-6-4@1388.0 / 5-3-6@1041.0
202609022104,21,04R,堂原 洋史,長畑 友輔,39.7,66.1,0.577,0.787,0.74,0.505,0.0601,0.0578,6.61,11.45,1,4,2,逃げ,4-3-2@520.2 / 4-5-3@485.5 / 4-3-6@420.2,5-4-3@753.4 / 5-3-4@728.3 / 5-4-2@575.0
202609022210,22,10R,山本 英志,松本 一毅,55.9,60.8,0.535,0.707,0.5,0.5,0.0618,0.0531,9.04,11.44,1,2,5,逃げ,4-6-5@642.9 / 4-5-6@456.2 / 4-6-2@442.0,5-4-3@1178.0 / 5-6-4@943.0 / 5-6-2@943.0
202609022102,21,02R,井内 将太郎,佐藤 旭,60.8,61.1,0.694,0.573,0.628,0.79,0.3007,0.0649,2.02,9.4,1,4,5,逃げ,4-6-3@173.4 / 4-3-6@173.4 / 4-6-2@132.7,5-3-4@660.1 / 5-3-2@540.1 / 5-2-6@516.6
202609021803,18,03R,稗田 聖也,柘植 政浩,64.8,71.3,0.742,0.816,0.87,0.5,0.2576,0.0762,2.52,9.36,1,2,3,逃げ,4-3-6@594.1 / 4-6-3@513.5 / 4-3-5@488.7,5-6-3@1515.0 / 5-3-6@1010.0 / 5-3-4@865.7
202609022412,24,12R,相原 利章,青木 蓮,45.2,61.0,0.559,0.817,0.834,0.43,0.0485,0.1016,9.33,6.0,1,2,6,逃げ,4-3-5@950.5 / 4-3-6@857.0 / 4-3-2@853.4,5-3-2@802.2 / 5-3-4@689.2 / 5-2-4@659.7
202609020510,05,10R,佐藤 悠,田中 信一郎,61.7,64.2,0.577,0.802,0.56,0.524,0.2274,0.0791,2.71,8.12,2,5,1,まくり,4-3-6@212.2 / 4-6-3@198.4 / 4-3-5@177.2,5-6-1@424.5 / 5-6-3@347.7 / 5-3-6@347.7
202609020608,06,08R,川野 芽唯,池田 浩美,69.5,65.1,0.783,0.586,0.722,0.105,0.4442,0.0954,1.56,6.82,1,5,2,逃げ,4-6-3@228.0 / 4-3-6@195.4 / 4-6-2@165.0,5-6-3@689.9 / 5-3-6@606.9 / 5-6-2@549.1
202609020803,08,03R,森 悠稀,中澤 和志,60.4,67.2,0.597,0.788,0.41,0.5,0.1732,0.1904,3.49,3.53,5,4,1,まくり差し,4-6-3@640.6 / 4-3-6@410.0 / 4-3-2@330.6,5-6-3@683.3 / 5-6-2@465.9 / 5-3-6@427.0
202609021603,16,03R,日笠 勝弘,中村 日向,58.8,68.8,0.736,0.629,0.731,0.695,0.2333,0.3096,2.52,2.22,5,4,6,まくり差し,4-3-2@391.5 / 4-2-3@301.1 / 4-3-6@293.6,5-3-2@279.6 / 5-2-3@189.4 / 5-3-6@177.9
